"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","provincial_capital"
"09","Khost","خوست","خوست","0911","11","ESPERA","ESPERA","سپیره","NO"
"09","Khost","خوست","خوست","0912","12","TANAI","TANAI","تنی","NO"
"09","Khost","خوست","خوست","0913","13","GURBUZ","GURBUZ","گربز","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1001","01","PROVINCIAL CENTER (JALALABAD )","PROVINCIAL CENTER (JALALABAD )","جلال اباد ( مرکز)","YES"
"10","Nangerhar","ننگرهار","ننگرهار","1002","02","BEHSOOD","BEHSOOD","بهسود","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1003","03","SURKHROD","SURKHROD","سرخرود","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1004","04","CHIPERHAR","CHIPERHAR","چپرهار","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1005","05","RODAT","RODAT","رودات","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1006","06","KAMA","KAMA","کامه","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1007","07","KOOZ KONAR","KOOZ KONAR","کوزکنر","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1008","08","DARAH NOOR","DARAH NOOR","دره نور","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1010","10","HESARAK","HESARAK","حصارک","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1011","11","KHOGYANI","KHOGYANI","خوگیانی","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1012","12","PACHAR WAGAM","PACHAR WAGAM","پچیرواگام","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1013","13","DAHBALA","DAHBALA","ده بالا","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1014","14","KOTT","KOTT","کوت","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1015","15","ACHIN","ACHIN","اچین","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1016","16","NAZYAN","NAZYAN","نازیان","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1017","17","DUR BABA","DUR BABA","دربابا","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1018","18","SHENWAR","SHENWAR","شینوار","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1019","19","BATI KOT","BATI KOT","بتی کوت","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1020","20","MUHMAND DARA","MUHMAND DARA","مهمنددره","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1021","21","GOSHTA","GOSHTA","گوشته","NO"
"10","Nangerhar","ننگرهار","ننگرهار","1022","22","LALPOOR","LALPOOR","لعل پور","NO"
"11","Kunarha","کنرها","کنرها","1101","01","PROVINCIAL CENTER (ASAD ABAD)","PROVINCIAL CENTER (ASAD ABAD)","مرکزکنرها - اسعدآباد","YES"
"11","Kunarha","کنرها","کنرها","1102","02","WATAPOOR","WATAPOOR","وته پور","NO"
"11","Kunarha","کنرها","کنرها","1103","03","DAREH PEICH","DAREH PEICH","دره پیچ","NO"
"11","Kunarha","کنرها","کنرها","1104","04","NARANG WA BADIL (TARANGO BADIL)","NARANG WA BADIL (TARANGO BADIL)","نرنگ وبادیل","NO"
