province_code,district_code,district_number,matched_to_2012_AGCHO_district_code,matched_to_2018_422_AGCHO_district_code,district_name_eng,district_name_dari,district_or_subdivision_name_eng,provincial_capital
6,612,12,1112,,NAWUR,ناور,NAWUR,NO
6,613,13,1116,,AJRESTAN,اجرستان,AJRESTAN,NO
6,614,14,1117,,MALESTAN,مالستان,MALESTAN,NO
6,615,15,1113,,JAGHORI,جاغوری,JAGHORI,NO
6,616,16,1114,,MUQUR (GHAZNI),مقر,MUQUR (GHAZNI),NO
6,617,17,1115,,AB BAND,آب بند,AB BAND,NO
6,618,18,1118,,GELLAN,گیلان,GELLAN,NO
7,701,1,2501,,PROVINCIAL CENTER (SHARAN),مرکز پکتیکا - شرن,PROVINCIAL CENTER (SHARAN),YES
7,702,2,2502,,MATA KHAN,متاخان,MATA KHAN,NO
7,703,3,2503,,YOSEF KHEIL,یوسف خیل,YOSEF KHEIL,NO
7,704,4,2506,,YAHYA KHEIL,یحیی خیل,YAHYA KHEIL,NO
7,705,5,2507,,OMANAH,اومنه,OMANAH,NO
7,706,6,2504,,SAR RAWZA,سرروضه,SAR RAWZA,NO
7,707,7,2505,,ZARGHOON SHAHER,زرغون شهر,ZARGHOON SHAHER,NO
7,708,8,2512,,JANI KHEIL (PAKTIKA),جانی خیل,JANI KHEIL (PAKTIKA),NO
7,709,9,2508,,GOMAL,گومل,GOMAL,NO
7,710,10,2509,,SURUBI (PAKTIKA),سروبی,SURUBI (PAKTIKA),NO
7,711,11,2510,,URGOON,ارگون,URGOON,NO
7,712,12,2517,,ZIROK,زیروک,ZIROK,NO
7,714,14,2518,,DELA,دیله وخوشامند,DELA,NO
7,715,15,2513,,WAZAKHWA,وازه خواه,WAZAKHWA,NO
7,716,16,2519,,TURWU,تروو,TURWU,NO
7,717,17,2514,,WARMAMAI,ورممی,WARMAMAI,NO
7,718,18,2515,,BARMAL,برمل,BARMAL,NO
7,719,19,2516,,GAYAN,گیان,GAYAN,NO
8,801,1,1201,,PROVINCIAL CENTER (GARDEIZ),مرکز پکتیا - گردیز,PROVINCIAL CENTER (GARDEIZ),YES
8,802,2,1202,,SAID KARAM,سید کرم,SAID KARAM,NO
8,803,3,1204,,ZURMAT,زرمت,ZURMAT,NO
8,804,4,1205,,SHAWAK,شواک,SHAWAK,NO
8,805,5,1206,,WAZA ZADRAN,وزه حًدران,WAZA ZADRAN,NO
8,806,6,1207,,LAJA AHMAD KHEIL,لجه احمد خیل,LAJA AHMAD KHEIL,NO
8,807,7,1209,,JANI KHEIL (PAKTIA),جانی خیل,JANI KHEIL (PAKTIA),NO
8,808,8,1211,,DAND PATAN,دند پتان,DAND PATAN,NO
8,809,9,1210,,SAMKANAI,حمکنی,SAMKANAI,NO
8,810,10,1208,,JAJI,جاجی,JAJI,NO
8,811,11,1203,,AHMAD ABAD,احمدآباء,AHMAD ABAD,NO
9,901,1,2601,,PROVINCIAL CENTER (KHOST),مرکزخوست - خوست,PROVINCIAL CENTER (KHOST),YES
9,902,2,2608,,TERZAYI,علیشیر,TERZAYI,NO
9,903,3,2612,,BAK,باک,BAK,NO
9,904,4,2613,,JAJI MAIDAN,جاجی میدان,JAJI MAIDAN,NO
9,905,5,2602,,SABARI,صبری (یعقوبی),SABARI,NO
9,906,6,2603,,MUSA KHEIL,موسی خیل,MUSA KHEIL,NO
9,907,7,2609,,QALANDER,قلندر,QALANDER,NO
9,908,8,2604,,NADERSHAH KOTT,نادرشاه کوت,NADERSHAH KOTT,NO
9,909,9,2605,,MANDOZAYI,مندوزی (اسمعیل خیل),MANDOZAYI,NO
9,910,10,2610,,SHEMAL,شمل,SHEMAL,NO
9,911,11,2611,,ESPERA,سپیره,ESPERA,NO
9,912,12,2606,,TANAI,تنی,TANAI,NO
9,913,13,2607,,GURBUZ,گربز,GURBUZ,NO
10,1001,1,601,,PROVINCIAL CENTER (JALALABAD ),جلال اباد ( مرکز),PROVINCIAL CENTER (JALALABAD ),YES
10,1002,2,602,,BEHSOOD,بهسود,BEHSOOD,NO
10,1003,3,603,,SURKHROD,سرخرود,SURKHROD,NO
10,1004,4,605,,CHIPERHAR,چپرهار,CHIPERHAR,NO
10,1005,5,606,,RODAT,رودات,RODAT,NO
10,1006,6,607,,KAMA,کامه,KAMA,NO
10,1007,7,608,,KOOZ KONAR,کوزکنر,KOOZ KONAR,NO
10,1008,8,609,,DARAH NOOR,دره نور,DARAH NOOR,NO
10,1010,10,610,,HESARAK,حصارک,HESARAK,NO
10,1011,11,604,,KHOGYANI,خوگیانی,KHOGYANI,NO
10,1012,12,612,,PACHAR WAGAM,پچیرواگام,PACHAR WAGAM,NO
10,1013,13,613,,DAHBALA,ده بالا,DAHBALA,NO
10,1014,14,614,,KOTT,کوت,KOTT,NO
10,1015,15,617,,ACHIN,اچین,ACHIN,NO
10,1016,16,621,,NAZYAN,نازیان,NAZYAN,NO
10,1017,17,622,,DUR BABA,دربابا,DUR BABA,NO
10,1018,18,618,,SHENWAR,شینوار,SHENWAR,NO
10,1019,19,615,,BATI KOT,بتی کوت,BATI KOT,NO
10,1020,20,619,,MUHMAND DARA,مهمنددره,MUHMAND DARA,NO
10,1021,21,616,,GOSHTA,گوشته,GOSHTA,NO
10,1022,22,620,,LALPOOR,لعل پور,LALPOOR,NO
11,1101,1,1301,,PROVINCIAL CENTER (ASAD ABAD),مرکزکنرها - اسعدآباد,PROVINCIAL CENTER (ASAD ABAD),YES
11,1102,2,1302,,WATAPOOR,وته پور,WATAPOOR,NO
11,1103,3,1307,,DAREH PEICH,دره پیچ,DAREH PEICH,NO
11,1104,4,1303,,NARANG WA BADIL (TARANGO BADIL),نرنگ وبادیل,NARANG WA BADIL (TARANGO BADIL),NO
11,1105,5,1304,,SAR KANI,سرکانی,SAR KANI,NO
11,1106,6,1305,,MURWARA,مروره,MURWARA,NO
11,1107,7,1310,,DANGAM,دانگام,DANGAM,NO
11,1108,8,1311,,BAR KUNAR,برکنر,BAR KUNAR,NO
11,1109,9,1306,,SHIGAL-WA-SHELTAN,شیگل وشلتن,SHIGAL-WA-SHELTAN,NO
11,1111,11,1314,,NOOR GOOL,نورگل,NOOR GOOL,NO
11,1112,12,1308,,CHAWKI,حوکی,CHAWKI,NO
11,1113,13,1309,,KHAS KUNAR,خاص کنر,KHAS KUNAR,NO
11,1114,14,1315,,NARAI,نرئی,NARAI,NO
11,1115,15,1312,,GHAZI ABAD,غازی آباد,GHAZI ABAD,NO
12,1201,1,701,,PROVINCIAL CENTER (MEHTERLAM),مرکزلغمان - مهترلام,PROVINCIAL CENTER (MEHTERLAM),YES
12,1202,2,703,,QARGHAI,قرغه ئی,QARGHAI,NO
12,1203,3,704,,ALINGAR,علینگار,ALINGAR,NO
12,1204,4,702,,ALISHING,علیشنگ,ALISHING,NO
12,1205,5,705,,DAWLAT SHAH,دولت شاه,DAWLAT SHAH,NO
13,1301,1,1401,,PROVINCIAL CENTER (NOORISTAN),مرکز نورستان - پارون,PROVINCIAL CENTER (NOORISTAN),YES
13,1302,2,1404,,NOOR GRAM,نورگرام,NOOR GRAM,NO
13,1304,4,1406,,WAIGAL,وایگل,WAIGAL,NO
13,1305,5,1405,,WAMA,واما,WAMA,NO
13,1308,8,1408,,BARGUMTAL,برگ متال,BARGUMTAL,NO
14,1401,1,1501,,FAIZ ABAD,مرکزبدخشان - فیض آباد,FAIZ ABAD,YES
14,1402,2,1502,,YAFTAL PAYAN,یفتل سفلی,YAFTAL PAYAN,NO
14,1403,3,1503,,URGO,ارگو,URGO,NO
14,1404,4,1510,,DARAYEM,درایم,DARAYEM,NO
14,1405,5,1511,,KHASH,خاش,KHASH,NO
14,1406,6,1521,,JURM,جرم,JURM,NO
14,1407,7,1522,,WARDOUJ,وردوج,WARDOUJ,NO
14,1408,8,1512,,BAHARAK (BADAKHSHAN),بهارک,BAHARAK (BADAKHSHAN),NO
14,1409,9,1513,,SHUHADA,شهدا,SHUHADA,NO
14,1410,10,1505,,KOHISTAN (BADAKHSHAN),کوهستان,KOHISTAN (BADAKHSHAN),NO
14,1411,11,1507,,YAWAN,یاوان,YAWAN,NO
14,1412,12,1508,,SHAHR-E-BUZURG,شهربزرگ,SHAHR-E-BUZURG,NO
14,1413,13,1518,,KISHM,کشم,KISHM,NO
14,1414,14,1519,,TAGAB (KESHM BALA),تگاب,TAGAB (KESHM BALA),NO
14,1415,15,1509,,TASHKAN,تشکان,TASHKAN,NO
14,1416,16,1526,,KARAN-O-MENJAN,کران و منجان,KARAN-O-MENJAN,NO
14,1417,17,1527,,ZEBAK,زیباک,ZEBAK,NO
14,1418,18,1523,,ESHKASHAM,اشکاشم,ESHKASHAM,NO
14,1419,19,1528,,WAKHAN,واخان,WAKHAN,NO
14,1420,20,1514,,SHEGHNAN,شیغنان,SHEGHNAN,NO
14,1421,21,1504,,ARGHANJ KHAWA,ارغنجخواه,ARGHANJ KHAWA,NO
14,1422,22,1506,,RAGHISTAN,راغستان,RAGHISTAN,NO
14,1423,23,1517,,KHWAHAN,خواهان,KHWAHAN,NO
14,1424,24,1516,,KOF AB,کوف آب,KOF AB,NO
14,1425,25,1520,,YAMGAN (GRIWAN),یمگان,YAMGAN (GRIWAN),NO
14,1426,26,1524,,DARWAZE-E PAYAN NUSAY,درواز پایان نسی,DARWAZE-E PAYAN NUSAY,NO
14,1427,27,1515,,DARWAZE BALA MAMAI,دروازۀ بالا مامی,DARWAZE BALA MAMAI,NO
14,1428,28,1525,,SHEIKE,شکی,SHEIKE,NO
15,1501,1,1601,,TALOQAN - CENTER OF TALOQAN,مرکزتخار- تالقان,TALOQAN - CENTER OF TALOQAN,YES
15,1502,2,1602,,HAZAR SOMOCH,هزارسموچ,HAZAR SOMOCH,NO
15,1503,3,1603,,BAHARAK,بهارک,BAHARAK,NO
15,1504,4,1614,,KHWAJA GHAR,خواجه غار,KHWAJA GHAR,NO
15,1505,5,1604,,BANGI,بنگی,BANGI,NO
15,1506,6,1615,,ESHKAMESH,اشکمش,ESHKAMESH,NO
15,1507,7,1605,,CHAAL,چال,CHAAL,NO
15,1508,8,1606,,NAMAK  AAB,نمک آب,NAMAK  AAB,NO
15,1509,9,1607,,FARKHAR,فرخار,FARKHAR,NO
15,1510,10,1608,,KALAFGAN,کلفگان,KALAFGAN,NO
15,1511,11,1609,,RUSTAQ,رستاق,RUSTAQ,NO
15,1512,12,1610,,CHAH AAB,چاه آب,CHAH AAB,NO
15,1513,13,1611,,YANGI QALA,ینگی قلعه,YANGI QALA,NO
15,1514,14,1612,,KHWAJA BAHAWODDIN,خواجه بهاوالدین,KHWAJA BAHAWODDIN,NO
15,1515,15,1617,,DARQAD,درقد,DARQAD,NO
15,1516,16,1613,,DASHTE QALA,دشت قلعه,DASHTE QALA,NO
15,1517,17,1616,,WARSAJ,ورسج,WARSAJ,NO
16,1601,1,901,,PROVINCIAL CENTER (PUL-I-KHUMRI),مرکزبغلان - پلخمری,PROVINCIAL CENTER (PUL-I-KHUMRI),YES
16,1602,2,902,,BAGHLAN JADEED,بغلان جید,BAGHLAN JADEED,NO
16,1603,3,903,,DHANA-I-GHORI,دهنه غوری,DHANA-I-GHORI,NO
16,1604,4,904,,DOOSHI,دوشی,DOOSHI,NO
16,1605,5,907,,KHENJAN,خنجان,KHENJAN,NO
16,1606,6,908,,BANO ANDARAB,اندراب,BANO ANDARAB,NO
16,1607,7,905,,NAHREEN,نهرین,NAHREEN,NO
16,1608,8,910,,BORKA,برکه,BORKA,NO
16,1609,9,906,,TALA-O-BARFAK,تاله و برفک,TALA-O-BARFAK,NO
16,1610,10,911,,PUL-I-HESAR,پل حصار,PUL-I-HESAR,NO
16,1611,11,912,,DEHE SALAH,ده صلاح,DEHE SALAH,NO
16,1612,12,909,,JELGA (KHWAJA HEJRAN),جلگه,JELGA (KHWAJA HEJRAN),NO
16,1613,13,913,,KHOST-O-FERENG,خوست و فرنگ,KHOST-O-FERENG,NO
16,1614,14,915,,FRENG-GHARO,فرنگ وغارو,FRENG-GHARO,NO
16,1615,15,914,,GOZAR-GAHE-NOOR,گذرگاه نور,GOZAR-GAHE-NOOR,NO
17,1701,1,1701,,PROVINCIAL CENTER (KUNDUZ),مرکزکندز- کندز,PROVINCIAL CENTER (KUNDUZ),YES
17,1702,2,1702,,IMAM SAHEB,حضرت امام صاحب,IMAM SAHEB,NO
17,1703,3,1703,,QALA-I-ZAL,قلعه ذال,QALA-I-ZAL,NO
17,1704,4,1704,,CHAR DARA,چاردره,CHAR DARA,NO
17,1705,5,1705,,ALI ABAD,علی آباد,ALI ABAD,NO
17,1706,6,1706,,KHAN ABAD,خان آباد,KHAN ABAD,NO
17,1707,7,1707,,DASHT-I-ARCHI,دشت ارچی,DASHT-I-ARCHI,NO
18,1801,1,1901,,PROVINCIAL CENTER (AIBAK),مرکزسمنگان - ایبک,PROVINCIAL CENTER (AIBAK),YES
18,1802,2,1902,,HAZRAT-E-SULTAN,حضرت سلطان,HAZRAT-E-SULTAN,NO
18,1803,3,1903,,FEROZ NAKHCHEER,فیروزنخچیر,FEROZ NAKHCHEER,NO
18,1804,4,1905,,DARAH-E-SUF HULYA,دره صوف بالا,DARAH-E-SUF HULYA,NO
18,1805,5,1904,,DARAH-I-SUF PAYEN,دره صوف پائین,DARAH-I-SUF PAYEN,NO
18,1806,6,1907,,RAI-DO-AB,روی دوآب,RAI-DO-AB,NO
18,1807,7,1906,,KHOURAM SAR BAGH,خرم و سارباغ,KHOURAM SAR BAGH,NO
19,1901,1,1801,,PROVINCIAL CENTER (MAZAR SHARIF),مزار شريف,PROVINCIAL CENTER (MAZAR SHARIF),YES
19,1902,2,1806,,DEHDADI,دهدادی,DEHDADI,NO
19,1903,3,1802,,NAHR-E-SHAHI,نهر شاهی,NAHR-E-SHAHI,NO
19,1904,4,1808,,MARMOL,مارمل,MARMOL,NO
19,1905,5,1809,,KHOLM,خلم,KHOLM,NO
19,1906,6,1810 AND 1811,,KALDAR,کلدار,KALDAR,NO
19,1907,7,1803,,SHORTAPA,شورتیپه,SHORTAPA,NO
19,1908,8,1806,,DAWLATABAD,دولت آباد,DAWLATABAD,NO
19,1909,9,1805,,BALKH,بلخ,BALKH,NO
19,1910,10,1812,,CHARBOLAK,چار بولک,CHARBOLAK,NO
19,1911,11,1813,,CHAMTAL,چمتال,CHAMTAL,NO
19,1912,12,1814,,SHOLGARA,شولگره,SHOLGARA,NO
19,1913,13,1807,,CHARKENT,چارکنت,CHARKENT,NO
19,1914,14,1815,,KOSHENDAH,کشنده,KOSHENDAH,NO
19,1915,15,1816,,ZAREE,زاری,ZAREE,NO
20,2001,1,2701,,PROVINCIAL CENTER (SHEIRGHAN),مرکزجوزجان - شبرغان,PROVINCIAL CENTER (SHEIRGHAN),YES
20,2002,2,2707,,AQCHAH,آقچه,AQCHAH,NO
20,2003,3,2705,,FAIZ ABAD,مرکزبدخشان - فیض آباد,FAIZ ABAD,NO
20,2004,4,2708,,MARDYAN,مردیان,MARDYAN,NO
20,2005,5,2702,,MANGAJAK,منگجیک,MANGAJAK,NO
20,2006,6,2709,,QARQIN,قرقین,QARQIN,NO
20,2007,7,2710,,KHAMYAB,خمیاب,KHAMYAB,NO
20,2010,10,2703,,KHWAJA DUKOH,خواجه دوکوه,KHWAJA DUKOH,NO
20,2011,11,2706,,KHANAQA,خانقا,KHANAQA,NO
21,2101,1,2001,,PROVINCIAL CENTER (SAR-I-PUL),مرکزسرپل - سرپل,PROVINCIAL CENTER (SAR-I-PUL),YES
21,2102,2,2004,,SUZMA QULA,سوزمه قلعه,SUZMA QULA,NO
21,2103,3,2002,,SAYAD,صیاد,SAYAD,NO
21,2104,4,2003,,KOHISTANAT,کوهستانات,KOHISTANAT,NO
21,2105,5,2006,,BALKHAB,بلخاب,BALKHAB,NO
21,2106,6,2007,,SANGCHARAK,سنگ چارک,SANGCHARAK,NO
21,2107,7,2005,,GOSFANDI,گوسفندی,GOSFANDI,NO
22,2201,1,2801,,PROVINCIAL CENTER (MAIMANA),مرکز ولايت ميمنه,PROVINCIAL CENTER (MAIMANA),YES
22,2202,2,2803,,PASHTOON KOTT,پشتون کوت,PASHTOON KOTT,NO
22,2203,3,2802,,KHUWAJA SABZ POSHE WALI,خواجه سبز پوش ولی,KHUWAJA SABZ POSHE WALI,NO
22,2204,4,2805,,ALMAR,المار,ALMAR,NO
22,2205,5,2806,,QAISAR,قیصار,QAISAR,NO
22,2206,6,2807,,KOHISTAN (FARYAB),کوهستان,KOHISTAN (FARYAB),NO
22,2207,7,2808,,GARZIWAN,گرزیوان,GARZIWAN,NO
22,2208,8,2809,,BALCHERAGH,بل چراغ,BALCHERAGH,NO
22,2209,9,2804,,SHERIN TAGAB,شیرین تگاب,SHERIN TAGAB,NO
22,2210,10,2810,,DAWLAT ABAD,دولت آباد,DAWLAT ABAD,NO
22,2211,11,2812,,QARAM QUL,قرم قل,QARAM QUL,NO
22,2212,12,2813,,KHAN-E-CHARBAGH,خان چارباغ,KHAN-E-CHARBAGH,NO
22,2213,13,2811,,ANDKHOI,اندخوی,ANDKHOI,NO
22,2214,14,2814,,QURGHAN,قرغان,QURGHAN,NO
23,2301,1,2901,,PROVINCIAL CENTER (QALA-I-NOW),مرکزبادغیس - قلعه نو,PROVINCIAL CENTER (QALA-I-NOW),YES
23,2302,2,2902,,MUQUR (BADGHIS),مقر,MUQUR (BADGHIS),NO
23,2303,3,2903,,AB KAMARI,آبکمری,AB KAMARI,NO
23,2304,4,2904,,QADIS,قادس,QADIS,NO
23,2305,5,2905,,JAWAND,جوند,JAWAND,NO
23,2306,6,2907,,GHORMACH,غورماچ,GHORMACH,NO
23,2307,7,2906,,MURGHAB,بالا مرغاب,MURGHAB,NO
24,2401,1,3001,,PROVINCIAL CENTER (HERAT),(مرکزولايت (هرات,PROVINCIAL CENTER (HERAT),YES
24,2402,2,3002,,ENJIL,انجیل,ENJIL,NO
24,2403,3,3005,,GUZERA,(نظام شهید (گذره,GUZERA,NO
24,2404,4,3006,,PASHTON ZARGHOON,پشتون زرغون,PASHTON ZARGHOON,NO
24,2405,5,3007,,KARUKH,کرخ,KARUKH,NO
24,2406,6,3003,,KUSHK,کشک (رباط سنگی),KUSHK,NO
24,2407,7,3008,,GULRAN,گلران,GULRAN,NO
24,2408,8,3014,,KOHSAN,کهسان,KOHSAN,NO
24,2409,9,3009,,GHORYAN,غوریان,GHORYAN,NO
24,2410,10,3004,,ZENDAJAN,زنده جان,ZENDAJAN,NO
24,2411,11,3010,,ADRASKAN,ادرسکن,ADRASKAN,NO
24,2412,12,3015,,SHINDAND,شیندند,SHINDAND,NO
24,2413,13,3011,,FARSI,فرسی,FARSI,NO
24,2414,14,3012,,OBEH,اوبه,OBEH,NO
24,2415,15,3016,,CHESHTOSHARIF,چشت شریف,CHESHTOSHARIF,NO
24,2416,16,3013,,KISHK-I-KAHNA,کشک کهنه,KISHK-I-KAHNA,NO
25,2501,1,3101,,PROVINCIAL CENTER (FARAH),مرکزفراه - فراه,PROVINCIAL CENTER (FARAH),YES
25,2502,2,3105,,POSHT-I- ROOD,پشت رود,POSHT-I- ROOD,NO
25,2503,3,3104,,KHAK-I-SAFEID,خاک سفید,KHAK-I-SAFEID,NO
25,2504,4,3111,,ANAR DARAH,انار دره,ANAR DARAH,NO
25,2505,5,3106,,QALA-I-KAH,قلعه کاه,QALA-I-KAH,NO
25,2506,6,3107,,SHEIB KOH,شیب کوه,SHEIB KOH,NO
25,2507,7,3108,,LASH JAWEEN,لاش جوین,LASH JAWEEN,NO
25,2508,8,3102,,BAKWA,بکواه,BAKWA,NO
25,2509,9,3103,,BALA BLOOK,بالا بلوک,BALA BLOOK,NO
25,2510,10,3109,,GULESTAN,گلستان,GULESTAN,NO
25,2511,11,3110,,PUR CHAMAN,پرچمن,PUR CHAMAN,NO
26,2601,1,3401,,PROVINCIAL CENTER - ZARANJ,مرکزنیمروز- زرنج,PROVINCIAL CENTER - ZARANJ,YES
26,2602,2,3402,,KANG,کنگ,KANG,NO
26,2603,3,3403,,CHAR BORJAK,چار برجک,CHAR BORJAK,NO
26,2604,4,3404,,ASEL CHAKHANSUR,اصل چخانسور,ASEL CHAKHANSUR,NO
26,2605,5,3405,,KHASHROAD,خاشرود,KHASHROAD,NO
26,2606,6,NA,3405,DELARAM,دلارام,DELARAM,NO
27,2701,1,3201,,PROVINCIAL CENTER (LASHKAR GAH),مرکزهلمند- لشکرگاه,PROVINCIAL CENTER (LASHKAR GAH),YES
27,2702,2,3202,,NAHRE SARAJ,نهرسراج,NAHRE SARAJ,NO
27,2703,3,3203,,NAD ALI,نادعلی,NAD ALI,NO
27,2704,4,3204,,NAWEI BARUKZAI,ناوه بارکزایی,NAWEI BARUKZAI,NO
27,2705,5,3209,,GARM SEIR,گرم سیر,GARM SEIR,NO
27,2706,6,3205,,SANGIN QALAH,سنگین قلعه,SANGIN QALAH,NO
27,2707,7,3210,,KAJAKI,کجکی,KAJAKI,NO
27,2709,9,3206,,MOOSA QALAH,موسی قلعه,MOOSA QALAH,NO
27,2710,10,3207,,NAWZAD,نوزاد,NAWZAD,NO
28,2801,1,3301,,PROVINCIAL CENTER (KANDAHAR),مرکزکندهار- کندهار,PROVINCIAL CENTER (KANDAHAR),YES
28,2802,2,3305,,DAMAN,دامان,DAMAN,NO
