"province_code","province_code_2018","province_name_eng","province_name_dari","province_name_pashto","district_code","provincial_capital","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","pc_code","pc_location","pc_location_dari","ps_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101042","mirwais maidan,sang kashan masque","ميرويس ميدان, مسجد سنگ کشان",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101043","tapa salam,wais masque","تپه سلام, مسجد ويس",3,2,1,0,2400,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101044","karti mamorin,karti mamori masque","کارته مامورين, مسجد کارته مامورين",5,3,2,0,3400,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101045","university,law and political seince faqolty","پوهنتون, پوهيځي حقوق",5,3,2,0,4800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101046","karti char, higher education ministry","کارته چهار, وزارت تحصيلات عالي",4,2,2,0,3000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101047","karti char,rabeh balkhi high school","کارته چهار, ليسه رابعه بلخي",5,3,2,0,4800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101048"," Masjid Milad Nabi, Bagh Bala Area.","مسجد میلادالنبی، باغ بالا",5,3,2,0,4300,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101049","charahi sadarat,malalay girls school","چهار راهي صدارت, ليسه نسوان ملالي",6,4,2,0,4800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101050","charahi taymani,tajoor sultana girl high school","چهار راهي تايمني, ليسه نسوان تاجور سلطانه",8,4,3,1,7500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101051","charahi taymani,jamaat khana ismayalya","چهار راهي تايمني, جماعت خانه اسماعيليه",5,3,2,0,4500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101052","Manochehrey Female school, Charahi Taimani","مکتب نسوان منوچهری، چاراهی تایمنی",4,2,2,0,3000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101053","charahi taymani,nasir khisrow sacandry school","چهار راهي تايمني, مکتب متوسطه ناصر خسرو بلخي",8,6,2,0,7200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101054","karti parwan,rabya high school","کارته پروان, ليسه رابيا",6,4,2,0,5700,""
