"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101050","050","0101050-01","M","YES"
"General","01","0101","01","0101050","050","0101050-02","M","YES"
"General","01","0101","01","0101050","050","0101050-03","M","YES"
"General","01","0101","01","0101050","050","0101050-04","M","YES"
"General","01","0101","01","0101050","050","0101050-05","F","YES"
"General","01","0101","01","0101050","050","0101050-06","F","YES"
"General","01","0101","01","0101050","050","0101050-07","F","YES"
"General","01","0101","01","0101051","051","0101051-01","M","YES"
"General","01","0101","01","0101051","051","0101051-02","M","YES"
"General","01","0101","01","0101051","051","0101051-03","M","YES"
"General","01","0101","01","0101051","051","0101051-04","F","YES"
"General","01","0101","01","0101051","051","0101051-05","F","YES"
"General","01","0101","01","0101052","052","0101052-01","M","YES"
"General","01","0101","01","0101052","052","0101052-02","M","YES"
"General","01","0101","01","0101052","052","0101052-03","F","YES"
"General","01","0101","01","0101053","053","0101053-01","M","YES"
"General","01","0101","01","0101053","053","0101053-02","M","YES"
"General","01","0101","01","0101053","053","0101053-03","M","YES"
"General","01","0101","01","0101053","053","0101053-04","M","YES"
"General","01","0101","01","0101053","053","0101053-05","M","YES"
"General","01","0101","01","0101053","053","0101053-06","M","YES"
"General","01","0101","01","0101053","053","0101053-07","F","YES"
"General","01","0101","01","0101053","053","0101053-08","F","YES"
"General","01","0101","01","0101054","054","0101054-01","M","YES"
"General","01","0101","01","0101054","054","0101054-02","M","YES"
"General","01","0101","01","0101054","054","0101054-03","M","YES"
"General","01","0101","01","0101054","054","0101054-04","M","YES"
"General","01","0101","01","0101054","054","0101054-05","F","YES"
"General","01","0101","01","0101054","054","0101054-06","F","YES"
"General","01","0101","01","0101055","055","0101055-01","M","YES"
"General","01","0101","01","0101055","055","0101055-02","M","YES"
"General","01","0101","01","0101055","055","0101055-03","M","YES"
"General","01","0101","01","0101055","055","0101055-04","M","YES"
"General","01","0101","01","0101055","055","0101055-05","F","YES"
"General","01","0101","01","0101055","055","0101055-06","F","YES"
"General","01","0101","01","0101056","056","0101056-01","M","YES"
"General","01","0101","01","0101056","056","0101056-02","M","YES"
"General","01","0101","01","0101056","056","0101056-03","M","YES"
"General","01","0101","01","0101056","056","0101056-04","M","YES"
"General","01","0101","01","0101056","056","0101056-05","F","YES"
"General","01","0101","01","0101056","056","0101056-06","F","YES"
"General","01","0101","01","0101057","057","0101057-01","M","YES"
"General","01","0101","01","0101057","057","0101057-02","M","YES"
"General","01","0101","01","0101057","057","0101057-03","M","YES"
"General","01","0101","01","0101057","057","0101057-04","M","YES"
"General","01","0101","01","0101057","057","0101057-05","M","YES"
"General","01","0101","01","0101057","057","0101057-06","F","YES"
"General","01","0101","01","0101057","057","0101057-07","F","YES"
"General","01","0101","01","0101058","058","0101058-01","M","YES"
"General","01","0101","01","0101058","058","0101058-02","M","YES"
"General","01","0101","01","0101058","058","0101058-03","M","YES"
"General","01","0101","01","0101058","058","0101058-04","M","YES"
"General","01","0101","01","0101058","058","0101058-05","M","YES"
"General","01","0101","01","0101058","058","0101058-06","F","YES"
"General","01","0101","01","0101058","058","0101058-07","F","YES"
"General","01","0101","01","0101059","059","0101059-01","M","YES"
"General","01","0101","01","0101059","059","0101059-02","M","YES"
"General","01","0101","01","0101059","059","0101059-03","M","YES"
"General","01","0101","01","0101059","059","0101059-04","M","YES"
"General","01","0101","01","0101059","059","0101059-05","F","YES"
"General","01","0101","01","0101059","059","0101059-06","F","YES"
"General","01","0101","01","0101060","060","0101060-01","M","YES"
"General","01","0101","01","0101060","060","0101060-02","M","YES"
"General","01","0101","01","0101060","060","0101060-03","M","YES"
"General","01","0101","01","0101060","060","0101060-04","M","YES"
"General","01","0101","01","0101060","060","0101060-05","F","YES"
