"province_code","district_code","pc_code","ps_code","ps_number","ps_station_type"
"01","0101","0101069","0101069-03","03","F"
"01","0101","0101070","0101070-01","01","M"
"01","0101","0101070","0101070-02","02","M"
"01","0101","0101070","0101070-03","03","M"
"01","0101","0101070","0101070-04","04","M"
"01","0101","0101070","0101070-05","05","F"
"01","0101","0101070","0101070-06","06","F"
"01","0101","0101071","0101071-02","02","M"
"01","0101","0101072","0101072-01","01","M"
"01","0101","0101072","0101072-02","02","M"
"01","0101","0101072","0101072-03","03","F"
"01","0101","0101073","0101073-01","01","M"
"01","0101","0101073","0101073-02","02","M"
"01","0101","0101073","0101073-03","03","M"
"01","0101","0101073","0101073-04","04","M"
"01","0101","0101073","0101073-05","05","F"
"01","0101","0101073","0101073-06","06","F"
"01","0101","0101074","0101074-01","01","M"
"01","0101","0101074","0101074-02","02","M"
"01","0101","0101074","0101074-03","03","M"
"01","0101","0101074","0101074-04","04","M"
"01","0101","0101074","0101074-05","05","M"
"01","0101","0101074","0101074-06","06","F"
"01","0101","0101074","0101074-07","07","F"
"01","0101","0101075","0101075-01","01","M"
"01","0101","0101075","0101075-02","02","M"
"01","0101","0101075","0101075-03","03","M"
"01","0101","0101075","0101075-04","04","F"
"01","0101","0101076","0101076-01","01","M"
"01","0101","0101076","0101076-02","02","F"
"01","0101","0101077","0101077-01","01","M"
"01","0101","0101077","0101077-02","02","M"
"01","0101","0101077","0101077-03","03","M"
"01","0101","0101077","0101077-04","04","M"
"01","0101","0101077","0101077-05","05","F"
"01","0101","0101077","0101077-06","06","F"
"01","0101","0101079","0101079-01","01","M"
"01","0101","0101079","0101079-02","02","F"
"01","0101","0101080","0101080-01","01","M"
"01","0101","0101080","0101080-02","02","M"
"01","0101","0101080","0101080-03","03","F"
"01","0101","0101081","0101081-01","01","M"
"01","0101","0101081","0101081-02","02","M"
"01","0101","0101081","0101081-03","03","F"
"01","0101","0101082","0101082-01","01","M"
"01","0101","0101082","0101082-02","02","M"
"01","0101","0101082","0101082-03","03","M"
"01","0101","0101082","0101082-04","04","M"
"01","0101","0101082","0101082-05","05","F"
"01","0101","0101082","0101082-06","06","F"
"01","0101","0101083","0101083-01","01","M"
"01","0101","0101083","0101083-02","02","M"
"01","0101","0101083","0101083-03","03","F"
"01","0101","0101084","0101084-02","02","F"
"01","0101","0101084","0101084-03","03","K"
"01","0101","0101085","0101085-01","01","M"
"01","0101","0101085","0101085-02","02","F"
"01","0101","0101086","0101086-01","01","M"
