"province_code","district_code","pc_code","ps_code","ps_number","ps_type","results_status","reporting_results","pre_prelim_invalidated_votes","final_votes","prelim_votes","net_prelim_final_change"
"01","0101","0101013","0101013-05","05","F","FINAL","YES",0,63,63,0
"01","0101","0101013","0101013-05","05","F","PRELIMINARY","YES",0,63,63,0
"01","0101","0101014","0101014-01","01","M","FINAL","YES",2,212,212,0
"01","0101","0101014","0101014-01","01","M","PRELIMINARY","YES",2,212,212,0
"01","0101","0101014","0101014-02","02","F","FINAL","YES",2,118,118,0
"01","0101","0101014","0101014-02","02","F","PRELIMINARY","YES",2,118,118,0
"01","0101","0101015","0101015-01","01","M","FINAL","YES",1,50,50,0
"01","0101","0101015","0101015-01","01","M","PRELIMINARY","YES",1,50,50,0
"01","0101","0101015","0101015-02","02","M","FINAL","YES",7,45,45,0
"01","0101","0101015","0101015-02","02","M","PRELIMINARY","YES",7,45,45,0
"01","0101","0101015","0101015-03","03","F","FINAL","YES",1,22,24,-2
"01","0101","0101015","0101015-03","03","F","PRELIMINARY","YES",1,22,24,-2
"01","0101","0101016","0101016-01","01","M","FINAL","YES",1,51,51,0
"01","0101","0101016","0101016-01","01","M","PRELIMINARY","YES",1,51,51,0
"01","0101","0101016","0101016-02","02","M","FINAL","YES",4,126,126,0
"01","0101","0101016","0101016-02","02","M","PRELIMINARY","YES",4,126,126,0
"01","0101","0101016","0101016-03","03","F","FINAL","YES",5,99,99,0
"01","0101","0101016","0101016-03","03","F","PRELIMINARY","YES",5,99,99,0
"01","0101","0101017","0101017-01","01","M","FINAL","YES",16,289,289,0
"01","0101","0101017","0101017-01","01","M","PRELIMINARY","YES",16,289,289,0
"01","0101","0101017","0101017-02","02","M","FINAL","YES",9,230,230,0
"01","0101","0101017","0101017-02","02","M","PRELIMINARY","YES",9,230,230,0
"01","0101","0101017","0101017-03","03","F","FINAL","YES",59,424,424,0
"01","0101","0101017","0101017-03","03","F","PRELIMINARY","YES",59,424,424,0
"01","0101","0101018","0101018-01","01","M","FINAL","YES",2,73,73,0
"01","0101","0101018","0101018-01","01","M","PRELIMINARY","YES",2,73,73,0
"01","0101","0101018","0101018-02","02","M","FINAL","YES",0,129,129,0
"01","0101","0101018","0101018-02","02","M","PRELIMINARY","YES",0,129,129,0
"01","0101","0101018","0101018-03","03","F","FINAL","YES",4,30,30,0
"01","0101","0101018","0101018-03","03","F","PRELIMINARY","YES",4,30,30,0
"01","0101","0101019","0101019-01","01","M","FINAL","YES",5,85,85,0
"01","0101","0101019","0101019-01","01","M","PRELIMINARY","YES",5,85,85,0
"01","0101","0101019","0101019-02","02","M","FINAL","YES",3,96,97,-1
"01","0101","0101019","0101019-02","02","M","PRELIMINARY","YES",3,96,97,-1
"01","0101","0101019","0101019-03","03","M","FINAL","YES",5,115,115,0
"01","0101","0101019","0101019-03","03","M","PRELIMINARY","YES",5,115,115,0
"01","0101","0101019","0101019-04","04","F","FINAL","YES",7,94,94,0
"01","0101","0101019","0101019-04","04","F","PRELIMINARY","YES",7,94,94,0
"01","0101","0101020","0101020-01","01","M","FINAL","YES",7,220,220,0
"01","0101","0101020","0101020-01","01","M","PRELIMINARY","YES",7,220,220,0
"01","0101","0101020","0101020-02","02","F","FINAL","YES",0,44,44,0
"01","0101","0101020","0101020-02","02","F","PRELIMINARY","YES",0,44,44,0
"01","0101","0101021","0101021-01","01","M","FINAL","YES",22,103,104,-1
"01","0101","0101021","0101021-01","01","M","PRELIMINARY","YES",22,103,104,-1
"01","0101","0101021","0101021-02","02","M","FINAL","YES",0,108,108,0
"01","0101","0101021","0101021-02","02","M","PRELIMINARY","YES",0,108,108,0
"01","0101","0101021","0101021-03","03","M","FINAL","YES",0,46,47,-1
"01","0101","0101021","0101021-03","03","M","PRELIMINARY","YES",0,46,47,-1
"01","0101","0101021","0101021-04","04","M","FINAL","YES",0,43,43,0
"01","0101","0101021","0101021-04","04","M","PRELIMINARY","YES",0,43,43,0
"01","0101","0101021","0101021-05","05","M","FINAL","YES",0,24,24,0
"01","0101","0101021","0101021-05","05","M","PRELIMINARY","YES",0,24,24,0
"01","0101","0101021","0101021-06","06","F","FINAL","YES",0,17,17,0
"01","0101","0101021","0101021-06","06","F","PRELIMINARY","YES",0,17,17,0
"01","0101","0101021","0101021-07","07","F","FINAL","YES",0,15,15,0
"01","0101","0101021","0101021-07","07","F","PRELIMINARY","YES",0,15,15,0
"01","0101","0101022","0101022-01","01","M","FINAL","YES",0,38,38,0
"01","0101","0101022","0101022-01","01","M","PRELIMINARY","YES",0,38,38,0
"01","0101","0101022","0101022-02","02","M","FINAL","YES",1,72,72,0
"01","0101","0101022","0101022-02","02","M","PRELIMINARY","YES",1,72,72,0
"01","0101","0101022","0101022-03","03","M","FINAL","YES",0,33,33,0
"01","0101","0101022","0101022-03","03","M","PRELIMINARY","YES",0,33,33,0
"01","0101","0101022","0101022-04","04","F","FINAL","YES",9,39,39,0
"01","0101","0101022","0101022-04","04","F","PRELIMINARY","YES",9,39,39,0
"01","0101","0101022","0101022-05","05","F","FINAL","YES",0,12,12,0
"01","0101","0101022","0101022-05","05","F","PRELIMINARY","YES",0,12,12,0
"01","0101","0101023","0101023-01","01","M","FINAL","YES",0,120,120,0
"01","0101","0101023","0101023-01","01","M","PRELIMINARY","YES",0,120,120,0
"01","0101","0101023","0101023-02","02","M","FINAL","YES",0,127,128,-1
"01","0101","0101023","0101023-02","02","M","PRELIMINARY","YES",0,127,128,-1
"01","0101","0101023","0101023-03","03","M","FINAL","YES",4,132,132,0
"01","0101","0101023","0101023-03","03","M","PRELIMINARY","YES",4,132,132,0
"01","0101","0101023","0101023-04","04","F","FINAL","YES",0,77,77,0
"01","0101","0101023","0101023-04","04","F","PRELIMINARY","YES",0,77,77,0
"01","0101","0101023","0101023-05","05","F","FINAL","YES",0,55,55,0
"01","0101","0101023","0101023-05","05","F","PRELIMINARY","YES",0,55,55,0
"01","0101","0101024","0101024-01","01","M","FINAL","YES",4,117,117,0
"01","0101","0101024","0101024-01","01","M","PRELIMINARY","YES",4,117,117,0
"01","0101","0101024","0101024-02","02","M","FINAL","YES",0,138,138,0
"01","0101","0101024","0101024-02","02","M","PRELIMINARY","YES",0,138,138,0
"01","0101","0101024","0101024-03","03","M","FINAL","YES",0,134,134,0
"01","0101","0101024","0101024-03","03","M","PRELIMINARY","YES",0,134,134,0
"01","0101","0101024","0101024-04","04","F","FINAL","YES",0,65,65,0
"01","0101","0101024","0101024-04","04","F","PRELIMINARY","YES",0,65,65,0
"01","0101","0101024","0101024-05","05","F","FINAL","YES",1,53,53,0
"01","0101","0101024","0101024-05","05","F","PRELIMINARY","YES",1,53,53,0
"01","0101","0101025","0101025-01","01","M","FINAL","YES",0,235,235,0
"01","0101","0101025","0101025-01","01","M","PRELIMINARY","YES",0,235,235,0
"01","0101","0101025","0101025-02","02","M","FINAL","YES",0,236,236,0
