"district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital"
"0608","KHOGYANI","خوګیاڼي","خوګیاڼي","0608","KHOGYANI","خوګیاڼي","خوګیاڼي","NO"
"0609","BATIKOT","بټي کوټ","بټي کوټ","0609","BATIKOT","بټي کوټ","بټي کوټ","NO"
"0610","DEHBALA","ده بالا","ده بالا","0610","DEHBALA","ده بالا","ده بالا","NO"
"0611","PACHERAGAM","پچیر و اګام","پچیر و اګام","0611","PACHERAGAM","پچیر و اګام","پچیر و اګام","NO"
"0612","DARA NOOR","دره نور","دره نور","0612","DARA NOOR","دره نور","دره نور","NO"
"0613","KOT","کوټ","کوټ","0613","KOT","کوټ","کوټ","NO"
"0614","GOSHTA","ګوشته","ګوشته","0614","GOSHTA","ګوشته","ګوشته","NO"
"0615","ACHEEN","اچین","اچین","0615","ACHEEN","اچین","اچین","NO"
"0616","SHINWAR","شینوار","شینوار","0616","SHINWAR","شینوار","شینوار","NO"
"0617","MUHMAND DARA","مهمند دره","مهمند دره","0617","MUHMAND DARA","مهمند دره","مهمند دره","NO"
"0618","LAL POOR","لعل پور","لعل پور","0618","LAL POOR","لعل پور","لعل پور","NO"
"0619","SHIRZAD","شیرزاد","شیرزاد","0619","SHIRZAD","شیرزاد","شیرزاد","NO"
"0620","NAZYAN","نازیان","نازیان","0620","NAZYAN","نازیان","نازیان","NO"
"0621","HISARAK","حصارک","حصارک","0621","HISARAK","حصارک","حصارک","NO"
"0622","DURBABA","در بابا","در بابا","0622","DURBABA","در بابا","در بابا","NO"
"0623","SPIN GHAR","سپین غر","سپین غر","0623","SPIN GHAR","سپین غر","سپین غر","NO"
"0701","MEHTARLAM","مهترلام","مهترلام","0701","MEHTARLAM","مهترلام","مهترلام","YES"
"0702","QARGHAYE","قرغه یي","قرغه یي","0702","QARGHAYE","قرغه یي","قرغه یي","NO"
"0703","ALISHENG","علیشنګ","علیشنګ","0703","ALISHENG","علیشنګ","علیشنګ","NO"
"0704","ALINGAR","علینگار","علینگار","0704","ALINGAR","علینگار","علینگار","NO"
"0705","DAWLATSHAH","دولت شاه","دولت شاه","0705","DAWLATSHAH","دولت شاه","دولت شاه","NO"
"0706","BAD PAKH","بادپښ","بادپښ","0706","BAD PAKH","بادپښ","بادپښ","NO"
"0801","BAZARAK","بازارک","بازارک","0801","BAZARAK","بازارک","بازارک","YES"
"0802","RUKHA","رخه","رخه","0802","RUKHA","رخه","رخه","NO"
"0803","DARA","دره","دره","0803","DARA","دره","دره","NO"
"0804","KHENJ (HESAE AWAL)","حصه اول خنج","حصه اول خنج","0804","KHENJ (HESAE AWAL)","حصه اول خنج","حصه اول خنج","NO"
"0805","ONABA","عنابه","عنابه","0805","ONABA","عنابه","عنابه","NO"
"0806","SHUTUL","شتل","شتل","0806","SHUTUL","شتل","شتل","NO"
"0807","PARYAN","پریان","پریان","0807","PARYAN","پریان","پریان","NO"
"0808","ABSHAR","آبشار","آبشار","0808","ABSHAR","آبشار","آبشار","NO"
"0901","PULE KHUMRI","پلخمری","پلخمری","0901","PULE KHUMRI","پلخمری","پلخمری","YES"
"0902","DAHANAE GHORI","دهنه غوری","دهنه غوری","0902","DAHANAE GHORI","دهنه غوری","دهنه غوری","NO"
"0903","DOSHI","دوشی","دوشی","0903","DOSHI","دوشی","دوشی","NO"
"0904","NAHREEN","نهرین","نهرین","0904","NAHREEN","نهرین","نهرین","NO"
"0905","BAGHLAN JADID","بغلان جدید","بغلان جدید","0905","BAGHLAN JADID","بغلان جدید","بغلان جدید","NO"
"0906","KHINJAN","خنجان","خنجان","0906","KHINJAN","خنجان","خنجان","NO"
"0907","ANDARAB","اندراب","اندراب","0907","ANDARAB","اندراب","اندراب","NO"
"0908","DEHSALAH","ده صلاح","ده صلاح","0908","DEHSALAH","ده صلاح","ده صلاح","NO"
"0909","KHWAJAHEJRAN","جلگه","جلگه","0909","KHWAJAHEJRAN","جلگه","جلگه","NO"
"0910","BORKA","برکه","برکه","0910","BORKA","برکه","برکه","NO"
"0911","TALA WA BARFAK","تاله و برفک","تاله و برفک","0911","TALA WA BARFAK","تاله و برفک","تاله و برفک","NO"
"0912","PULE HESAR","پل حصار","پل حصار","0912","PULE HESAR","پل حصار","پل حصار","NO"
"0913","KHOST WA FERENG","خوست و فرنگ","خوست و فرنگ","0913","KHOST WA FERENG","خوست و فرنگ","خوست و فرنگ","NO"
"0914","GUZARGAHE NOOR","گذرگاه نور","گذرگاه نور","0914","GUZARGAHE NOOR","گذرگاه نور","گذرگاه نور","NO"
"0915","FIRING GHARO","فرنگ و غارو","فرنگ و غارو","0915","FIRING GHARO","فرنگ و غارو","فرنگ و غارو","NO"
"1001","BAMYAN","بامیان","بامیان","1001","BAMYAN","بامیان","بامیان","YES"
"1002","SHEBAR","شیبر","شیبر","1002","SHEBAR","شیبر","شیبر","NO"
"1003","SAYGHAN","سیغان","سیغان","1003","SAYGHAN","سیغان","سیغان","NO"
"1004","KAHMARD","کهمرد","کهمرد","1004","KAHMARD","کهمرد","کهمرد","NO"
"1005","YAKAWLANG","یکاولنگ نمبر اول","یکاولنگ نمبر اول","1005","YAKAWLANG","یکاولنگ نمبر اول","یکاولنگ نمبر اول","NO"
"1006","PANJAB","پنجاب","پنجاب","1006","PANJAB","پنجاب","پنجاب","NO"
"1007","WARAS","ورس","ورس","1007","WARAS","ورس","ورس","NO"
"1008","YAKAWLANG NUMBER 2","یکاولنگ نمبر دوم","یکاولنگ نمبر دوم","1008","YAKAWLANG NUMBER 2","یکاولنگ نمبر دوم","یکاولنگ نمبر دوم","NO"
"1101","GHAZNI","غزنی","غزنی","1101","GHAZNI","غزنی","غزنی","YES"
"1102","WALEMUHAMMAD SHAHEED","ولی محمد شهید","ولی محمد شهید","1102","WALEMUHAMMAD SHAHEED","ولی محمد شهید","ولی محمد شهید","NO"
"1103","KHWAJAUMARI","خواجه عمری","خواجه عمری","1103","KHWAJAUMARI","خواجه عمری","خواجه عمری","NO"
"1104","WAGHAZ","واغظ","واغظ","1104","WAGHAZ","واغظ","واغظ","NO"
"1105","DEHYAK","ده یک","ده یک","1105","DEHYAK","ده یک","ده یک","NO"
"1106","JAGHATO","جغتو","جغتو","1106","JAGHATO","جغتو","جغتو","NO"
"1107","ANDAR","اندر","اندر","1107","ANDAR","اندر","اندر","NO"
"1108","ZANAKHAN","زنخان","زنخان","1108","ZANAKHAN","زنخان","زنخان","NO"
"1109","RASHEEDAN","رشیدان","رشیدان","1109","RASHEEDAN","رشیدان","رشیدان","NO"
"1110","NAWUR","ناور","ناور","1110","NAWUR","ناور","ناور","NO"
"1111","QARABAGH","قره باغ","قره باغ","1111","QARABAGH","قره باغ","قره باغ","NO"
"1112","GEERO","گیرو","گیرو","1112","GEERO","گیرو","گیرو","NO"
"1113","AB BAND","آب بند","آب بند","1113","AB BAND","آب بند","آب بند","NO"
"1114","JAGHORI","جاغوری","جاغوری","1114","JAGHORI","جاغوری","جاغوری","NO"
"1115","MUQUR","مقر","مقر","1115","MUQUR","مقر","مقر","NO"
"1116","MALESTAN","مالستان","مالستان","1116","MALESTAN","مالستان","مالستان","NO"
"1117","GELAN","گیلان","گیلان","1117","GELAN","گیلان","گیلان","NO"
"1118","AJRESTAN","اجرستان","اجرستان","1118","AJRESTAN","اجرستان","اجرستان","NO"
"1119","NAWA","ناوه","ناوه","1119","NAWA","ناوه","ناوه","NO"
"1201","SHARAN","شرن","شرن","1201","SHARAN","شرن","شرن","YES"
"1202","MATAKHAN","مټا خان","مټا خان","1202","MATAKHAN","مټا خان","مټا خان","NO"
"1203","YOSUFKHEL","یوسف خیل","یوسف خیل","1203","YOSUFKHEL","یوسف خیل","یوسف خیل","NO"
"1204","YAHYAKHEL","یحی خیل","یحی خیل","1204","YAHYAKHEL","یحی خیل","یحی خیل","NO"
"1205","SAR RAWZA","سروضه","سروضه","1205","SAR RAWZA","سروضه","سروضه","NO"
"1206","OMNA","اومنه","اومنه","1206","OMNA","اومنه","اومنه","NO"
"1207","ZARGHONSHAHR","زرغون شهر","زرغون شهر","1207","ZARGHONSHAHR","زرغون شهر","زرغون شهر","NO"
"1208","GOMAL","گومل","گومل","1208","GOMAL","گومل","گومل","NO"
"1209","JANIKHEL","جانی خیل","جانی خیل","1209","JANIKHEL","جانی خیل","جانی خیل","NO"
"1210","SAROBI","سروبی","سروبی","1210","SAROBI","سروبی","سروبی","NO"
"1211","URGUN","اورگون","اورگون","1211","URGUN","اورگون","اورگون","NO"
"1212","‌‌ZEEROK‌‎‌‎‌‎‌‎","زیړوک","زیړوک","1212","‌‌ZEEROK‌‎‌‎‌‎‌‎","زیړوک","زیړوک","NO"
"1213","NEEKA‌‎‌‎‌‎‌‎","نیکه","نیکه","1213","NEEKA‌‎‌‎‌‎‌‎","نیکه","نیکه","NO"
"1214","BARAL","برمل","برمل","1214","BARAL","برمل","برمل","NO"
"1215","GYAN","گیان","گیان","1215","GYAN","گیان","گیان","NO"
"1216","DELA","دیله و خوش امند","دیله و خوش امند","1216","DELA","دیله و خوش امند","دیله و خوش امند","NO"
"1217","WAZAKHUA","وازه خواه","وازه خواه","1217","WAZAKHUA","وازه خواه","وازه خواه","NO"
"1218","WORMAMAY","وړممی","وړممی","1218","WORMAMAY","وړممی","وړممی","NO"
"1219","TURWO ","تروو","تروو","1219","TURWO ","تروو","تروو","NO"
"1301","GARDEZ","گردیز","گردیز","1301","GARDEZ","گردیز","گردیز","YES"
"1302","AHMADABA","احمد آبا","احمد آبا","1302","AHMADABA","احمد آبا","احمد آبا","NO"
"1303","ZURMAT","زرمت","زرمت","1303","ZURMAT","زرمت","زرمت","NO"
"1304","SHUWAK","شواک","شواک","1304","SHUWAK","شواک","شواک","NO"
"1305","ZADRAN","وزه ځدراڼ","وزه ځدراڼ","1305","ZADRAN","وزه ځدراڼ","وزه ځدراڼ","NO"
"1306","SAYEDKARAM","سید کرم","سید کرم","1306","SAYEDKARAM","سید کرم","سید کرم","NO"
"1307","JAJEE","جاجی","جاجی","1307","JAJEE","جاجی","جاجی","NO"
"1308","LEJA AHMADKHEL","لجه احمد خیل","لجه احمد خیل","1308","LEJA AHMADKHEL","لجه احمد خیل","لجه احمد خیل","NO"
"1309","JANIKHEL","جانی خیل","جانی خیل","1309","JANIKHEL","جانی خیل","جانی خیل","NO"
"1310","CHAMKANI","څمکنی","څمکنی","1310","CHAMKANI","څمکنی","څمکنی","NO"
"1311","DAND WA PATAN","ډنډ پټان","ډنډ پټان","1311","DAND WA PATAN","ډنډ پټان","ډنډ پټان","NO"
"1312","LEJAMANGAL","لجه منګل","لجه منګل","1312","LEJAMANGAL","لجه منګل","لجه منګل","NO"
"1313","MEARZAKA","میرزکه","میرزکه","1313","MEARZAKA","میرزکه","میرزکه","NO"
"1314","GARDA SIRAY","گرده څیړی","گرده څیړی","1314","GARDA SIRAY","گرده څیړی","گرده څیړی","NO"
"1315","ROHANI BABA","روحانی بابا","روحانی بابا","1315","ROHANI BABA","روحانی بابا","روحانی بابا","NO"
"1401","KHOST (MATON)","خوست","خوست","1401","KHOST (MATON)","خوست","خوست","YES"
"1402","MANDOZAY","مندوزی","مندوزی","1402","MANDOZAY","مندوزی","مندوزی","NO"
"1403","GURBUZ","گربز","گربز","1403","GURBUZ","گربز","گربز","NO"
"1404","TANI","تڼي","تڼي","1404","TANI","تڼي","تڼي","NO"
"1405","MOSAKHEL","موسی خیل","موسی خیل","1405","MOSAKHEL","موسی خیل","موسی خیل","NO"
"1406","NADIRSHAHKOT","نادرشاه کوت","نادرشاه کوت","1406","NADIRSHAHKOT","نادرشاه کوت","نادرشاه کوت","NO"
"1407","SABARI","صبری","صبری","1407","SABARI","صبری","صبری","NO"
"1408","TIREZAYE","علی شیر","علی شیر","1408","TIREZAYE","علی شیر","علی شیر","NO"
"1409","BAK","باک","باک","1409","BAK","باک","باک","NO"
"1410","QALANDAR","قلندر","قلندر","1410","QALANDAR","قلندر","قلندر","NO"
"1411","SPERA","سپیره","سپیره","1411","SPERA","سپیره","سپیره","NO"
"1412","SHAMAL","شمل","شمل","1412","SHAMAL","شمل","شمل","NO"
"1413","JAJIMAYDAN","ځاځي میدان","ځاځي میدان","1413","JAJIMAYDAN","ځاځي میدان","ځاځي میدان","NO"
"1501","ASADABAD","اسعد آباد","اسعد آباد","1501","ASADABAD","اسعد آباد","اسعد آباد","YES"
"1502","MARAWARA","مره وره","مره وره","1502","MARAWARA","مره وره","مره وره","NO"
"1503","WATAPOOR","واټه پور","واټه پور","1503","WATAPOOR","واټه پور","واټه پور","NO"
"1504","NARANG","نرنګ","نرنګ","1504","NARANG","نرنګ","نرنګ","NO"
"1505","SARKANI","سرکاڼو","سرکاڼو","1505","SARKANI","سرکاڼو","سرکاڼو","NO"
"1506","SHEGAL","شیگل","شیگل","1506","SHEGAL","شیگل","شیگل","NO"
"1507","DARAE PECH","دره پیچ","دره پیچ","1507","DARAE PECH","دره پیچ","دره پیچ","NO"
"1508","BARKUNAR","بر کنړ","بر کنړ","1508","BARKUNAR","بر کنړ","بر کنړ","NO"
"1509","SAWKAY","څوکی","څوکی","1509","SAWKAY","څوکی","څوکی","NO"
"1510","KHASKUNAR","خاص کنړ","خاص کنړ","1510","KHASKUNAR","خاص کنړ","خاص کنړ","NO"
"1511","GHAZIABAD","غازی آباد","غازی آباد","1511","GHAZIABAD","غازی آباد","غازی آباد","NO"
"1512","DANGAM","دانګام","دانګام","1512","DANGAM","دانګام","دانګام","NO"
"1513","CHAPADARA","چپه دره","چپه دره","1513","CHAPADARA","چپه دره","چپه دره","NO"
"1514","NORGAL","نور ګل","نور ګل","1514","NORGAL","نور ګل","نور ګل","NO"
"1515","NARI","ناړی","ناړی","1515","NARI","ناړی","ناړی","NO"
"1516","SHELTAN","شلتن","شلتن","1516","SHELTAN","شلتن","شلتن","NO"
"1601","PAROON","پارون","پارون","1601","PAROON","پارون","پارون","YES"
