"province_code","district_code","pc_code","ps_code"
"01","0101","0101068","0101068-03"
"01","0101","0101069","0101069-01"
"01","0101","0101069","0101069-02"
"01","0101","0101069","0101069-03"
"01","0101","0101069","0101069-04"
"01","0101","0101069","0101069-05"
"01","0101","0101070","0101070-01"
"01","0101","0101070","0101070-02"
"01","0101","0101070","0101070-03"
"01","0101","0101070","0101070-04"
"01","0101","0101070","0101070-05"
"01","0101","0101070","0101070-06"
"01","0101","0101070","0101070-07"
"01","0101","0101071","0101071-01"
"01","0101","0101071","0101071-02"
"01","0101","0101071","0101071-03"
"01","0101","0101071","0101071-04"
"01","0101","0101071","0101071-05"
"01","0101","0101071","0101071-06"
"01","0101","0101072","0101072-01"
"01","0101","0101072","0101072-02"
"01","0101","0101072","0101072-03"
"01","0101","0101072","0101072-04"
"01","0101","0101073","0101073-01"
"01","0101","0101073","0101073-02"
"01","0101","0101073","0101073-03"
"01","0101","0101073","0101073-04"
"01","0101","0101073","0101073-05"
"01","0101","0101074","0101074-01"
"01","0101","0101074","0101074-02"
"01","0101","0101074","0101074-03"
"01","0101","0101074","0101074-04"
"01","0101","0101074","0101074-05"
"01","0101","0101074","0101074-06"
"01","0101","0101075","0101075-01"
"01","0101","0101075","0101075-02"
"01","0101","0101075","0101075-03"
"01","0101","0101075","0101075-04"
"01","0101","0101076","0101076-01"
"01","0101","0101076","0101076-02"
"01","0101","0101076","0101076-03"
"01","0101","0101076","0101076-04"
"01","0101","0101077","0101077-01"
"01","0101","0101077","0101077-02"
"01","0101","0101077","0101077-03"
"01","0101","0101077","0101077-04"
"01","0101","0101077","0101077-05"
"01","0101","0101077","0101077-06"
"01","0101","0101078","0101078-01"
"01","0101","0101078","0101078-02"
"01","0101","0101078","0101078-03"
"01","0101","0101079","0101079-01"
"01","0101","0101079","0101079-02"
"01","0101","0101079","0101079-03"
"01","0101","0101079","0101079-04"
"01","0101","0101080","0101080-01"
"01","0101","0101080","0101080-02"
"01","0101","0101080","0101080-03"
"01","0101","0101080","0101080-04"
"01","0101","0101080","0101080-05"
"01","0101","0101080","0101080-06"
"01","0101","0101081","0101081-01"
"01","0101","0101081","0101081-02"
"01","0101","0101081","0101081-03"
"01","0101","0101081","0101081-04"
"01","0101","0101081","0101081-05"
"01","0101","0101081","0101081-06"
"01","0101","0101082","0101082-01"
"01","0101","0101082","0101082-02"
"01","0101","0101082","0101082-03"
"01","0101","0101082","0101082-04"
"01","0101","0101082","0101082-05"
"01","0101","0101082","0101082-06"
"01","0101","0101082","0101082-07"
"01","0101","0101082","0101082-08"
"01","0101","0101082","0101082-09"
"01","0101","0101082","0101082-10"
"01","0101","0101083","0101083-01"
"01","0101","0101083","0101083-02"
"01","0101","0101083","0101083-03"
"01","0101","0101083","0101083-04"
"01","0101","0101084","0101084-01"
"01","0101","0101084","0101084-02"
"01","0101","0101084","0101084-03"
"01","0101","0101084","0101084-04"
"01","0101","0101084","0101084-05"
"01","0101","0101085","0101085-01"
"01","0101","0101085","0101085-02"
"01","0101","0101085","0101085-03"
"01","0101","0101086","0101086-01"
"01","0101","0101086","0101086-02"
"01","0101","0101086","0101086-03"
"01","0101","0101086","0101086-04"
"01","0101","0101086","0101086-05"
"01","0101","0101086","0101086-06"
"01","0101","0101087","0101087-01"
"01","0101","0101087","0101087-02"
"01","0101","0101087","0101087-03"
"01","0101","0101087","0101087-04"
"01","0101","0101088","0101088-01"
"01","0101","0101088","0101088-02"
"01","0101","0101088","0101088-03"
"01","0101","0101088","0101088-04"
"01","0101","0101088","0101088-05"
"01","0101","0101088","0101088-06"
"01","0101","0101088","0101088-07"
"01","0101","0101088","0101088-08"
"01","0101","0101088","0101088-09"
"01","0101","0101088","0101088-10"
"01","0101","0101088","0101088-11"
"01","0101","0101089","0101089-01"
"01","0101","0101089","0101089-02"
"01","0101","0101089","0101089-03"
"01","0101","0101089","0101089-04"
