"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0109486","Not Reporting","KABUL","01","KHAKEJABAR","0109","Chinar Primary School","Shinwar","Old","no change",2400,69,5,0,22,0,0,4,38,2183,1109,1074,148,0,1176,1155,2331
"0114518","Not Reporting","KABUL","01","QARABAGH","0114","Sabz Sang High School","Sabz Sang","Old","no change",2610,76,28,0,12,0,0,9,27,2524,1911,613,10,0,1919,615,2534
"0114521","Not Reporting","KABUL","01","QARABAGH","0114","Langar Jame Mosque","Langar","Relocated","no change",3000,190,1,0,17,0,0,27,145,2808,1748,1060,2,0,1750,1060,2810
"0115538","Not Reporting","KABUL","01","SUROBI","0115","Sher Khan Kas Mosque","Sher Khan Kas","Old","no change",1494,56,22,0,13,0,0,10,11,1420,841,579,18,0,859,579,1438
"0115539","Not Reporting","KABUL","01","SUROBI","0115","Goga Monda School","Goga Munda","Old","no change",1440,71,44,0,4,0,0,6,17,1323,833,490,46,0,877,492,1369
"0115545","Not Reporting","KABUL","01","SUROBI","0115","Sperkundai School","Sperkundai","Old","no change",3594,71,10,0,26,0,0,4,31,3483,1721,1762,40,0,1761,1762,3523
"0115546","Not Reporting","KABUL","01","SUROBI","0115","Rodbar School","Rodbar","Old","no change",1800,29,0,0,17,0,0,1,11,1655,1063,592,116,0,1179,592,1771
"0115547","Not Reporting","KABUL","01","SUROBI","0115","Qalla e Kalan School","Qalla e Kalan","Old","no change",2400,99,6,1,17,0,0,3,72,2193,1083,1110,108,0,1152,1149,2301
"0115548","Not Reporting","KABUL","01","SUROBI","0115","Baam Darrai Mosque","Bam Darrai","Not Assessed","no change",3000,171,3,0,47,0,0,2,119,2675,1611,1064,154,0,1761,1068,2829
"0115549","Not Reporting","KABUL","01","SUROBI","0115","Gaz Ulya School","Wozbeen, Gaz Ulya","Old","no change",2400,300,4,0,23,0,0,1,272,1932,863,1069,168,0,1021,1079,2100
"0115550","Not Reporting","KABUL","01","SUROBI","0115","Yakhdand School","Yakhdand","New","no change",4200,145,53,0,72,0,0,3,17,3974,2232,1742,81,0,2303,1752,4055
"0115551","Not Reporting","KABUL","01","SUROBI","0115","Husain Khil High School","Hussain Khil","New","no change",7200,135,7,0,67,0,0,14,47,6529,4606,1923,536,0,4703,2362,7065
"0203027","Not Reporting","KAPISA","02","KOHBAND","0203","Nahr e Khwaja, Sar e Joi Jame Mosque","Nawabad ","Old","no change",3476,204,6,0,14,0,0,122,62,3184,2182,1002,88,0,2252,1020,3272
"0207087","Not Reporting","KAPISA","02","ALASAY","0207","Sultan Khil Mosque","Sultan Khil","Not Assessed","no change",1201,102,25,0,13,0,0,26,38,1088,1088,0,11,0,1099,0,1099
"0207089","Not Reporting","KAPISA","02","ALASAY","0207","Hassan Shaheed Primary School","Rasang","Not Assessed","no change",1200,67,8,0,4,0,0,29,26,1111,1111,0,22,0,1133,0,1133
"0401006","Not Reporting","MAYDANWARDAK","04","MAYDANSHAHR","0401","Ibrahim Khil Clinic","Ibrahim Khil  ","Not Assessed","no change",2310,130,7,0,16,0,0,28,79,2175,1985,190,5,0,1990,190,2180
"0401007","Not Reporting","MAYDANWARDAK","04","MAYDANSHAHR","0401","Ibrahim Khil High School","ibrahim Khil   ","Old","no change",888,34,4,0,9,0,0,10,11,854,854,0,0,0,854,0,854
"0401009","Not Reporting","MAYDANWARDAK","04","MAYDANSHAHR","0401","Pul E Surkh School","Shahbuddin village","Old","no change",600,16,3,0,5,0,0,2,6,584,584,0,0,0,584,0,584
"0402014","Not Reporting","MAYDANWARDAK","04","NIRKH","0402","Been Badam High School","Been Badam village","Relocated","no change",1800,74,5,0,5,0,0,56,8,1722,1722,0,4,0,1726,0,1726
"0402016","Not Reporting","MAYDANWARDAK","04","NIRKH","0402","Durani High School","Awal Khil","Relocated","no change",1525,1024,5,0,1000,0,0,11,8,500,192,308,1,0,192,309,501
"0402020","Not Reporting","MAYDANWARDAK","04","NIRKH","0402","Speen Masjid Mosque","Sour Baghal","Relocated","no change",1686,109,10,0,19,0,0,29,51,1577,1142,435,0,0,1142,435,1577
"0402022","Not Reporting","MAYDANWARDAK","04","NIRKH","0402","Karmo Khil Yak School","Karmo Khil Yak","Old","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0402025","Not Reporting","MAYDANWARDAK","04","NIRKH","0402","Hassan Khil Village Clinic","Hasan Khil village","Old","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0403031","Not Reporting","MAYDANWARDAK","04","JALRIZ","0403","Imam Mohammad Baqer High School","Qalla e Aslam","Old","no change",1050,58,23,0,20,0,0,14,1,991,549,442,1,0,550,442,992
"0403036","Not Reporting","MAYDANWARDAK","04","JALRIZ","0403","Khwaja Mohammad Wali High School ","Zyarat Bazzar","Relocated","no change",2244,138,8,0,17,0,0,89,24,2105,1655,450,1,0,1656,450,2106
"0404048","Not Reporting","MAYDANWARDAK","04","CHAK","0404","Zaman Khil Village Mosque","Zaman Khil village","Relocated","no change",2346,172,4,0,9,0,0,122,37,2172,1716,456,2,0,1718,456,2174
"0404055","Not Reporting","MAYDANWARDAK","04","CHAK","0404","Private house of the Malik of the village","Mongyar Khil","Not Assessed","no change",2310,76,6,0,15,0,0,36,19,2234,1689,545,0,0,1689,545,2234
"0405065","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Lowarrah School","Lowarrah","Not Assessed","no change",2082,105,10,1,16,0,0,13,65,1972,1697,275,5,0,1702,275,1977
