"province_name","province_code","district_name","district_code","pc_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"KABUL","01","NAHIA 04","0101","0101053","Jamhoriat High School","Salang Watt","Old","no change",906,27,13,0,3,0,0,3,8,878,656,222,1,0,657,222,879
"KABUL","01","NAHIA 04","0101","0101054","Malalai Girls High School","Char Rahi Sedarat (Sedarat Square)","Old","no change",1974,51,8,0,17,0,0,14,12,1920,1626,294,2,1,1628,295,1923
"KABUL","01","NAHIA 04","0101","0101055","Khwaja Abdullah Ansari Mosque","Shahr e Naw Petrol pump","Old","no change",954,41,10,0,6,0,0,22,3,910,797,113,3,0,800,113,913
"KABUL","01","NAHIA 04","0101","0101056","Khwaja Ali Mowafaq Mosque","Shahr e Naw    ","Old","no change",2436,53,13,0,13,0,0,10,17,2381,2106,275,2,0,2108,275,2383
"KABUL","01","NAHIA 04","0101","0101057","Haji Mohammad Dad Mosque","Taimani","Old","no change",3647,103,26,0,12,0,0,41,24,3538,2463,1075,6,0,2465,1079,3544
"KABUL","01","NAHIA 04","0101","0101058","Naser Khesraw Balkhi Secondary School","Char Rahi Taimani ","Old","no change",1794,62,13,0,11,0,0,18,20,1703,1243,460,29,0,1261,471,1732
"KABUL","01","NAHIA 04","0101","0101059","Ismaelia Jamat Khana","Char Rahi Taimani ","Old","no change",7529,181,22,0,29,0,0,36,94,7344,4625,2719,4,0,4626,2722,7348
"KABUL","01","NAHIA 04","0101","0101060","Ustad Misbah High School","Sark e doum Taimani","Old","no change",3683,105,13,0,15,0,0,41,36,3495,2288,1207,83,0,2334,1244,3578
"KABUL","01","NAHIA 04","0101","0101061","Malika Suraya Girls School","Puroujah Taimani","Old","no change",7794,240,29,0,65,0,0,73,73,7516,4242,3274,38,0,4244,3310,7554
"KABUL","01","NAHIA 04","0101","0101062","Tajwar Sultana Girls School","Char Rahi Taimani ","Old","no change",5604,245,27,0,43,0,0,125,50,5244,3248,1996,115,0,3317,2042,5359
"KABUL","01","NAHIA 04","0101","0101063","Mohammad Sediq Farhang School","Shahrak Police","Old","no change",3336,101,14,0,28,0,0,31,28,3192,2193,999,43,0,2225,1010,3235
"KABUL","01","NAHIA 04","0101","0101064","Deh Keepak Girls School","Nawabad Dehkeepak","Old","no change",3200,103,18,0,13,0,0,44,28,3096,2010,1086,1,0,2010,1087,3097
"KABUL","01","NAHIA 05","0101","0101065","Fazel Baig Secondary School","Aabrasani","Old","no change",3330,169,31,0,17,0,0,88,33,3143,2412,731,18,0,2426,735,3161
"KABUL","01","NAHIA 05","0101","0101066","Shuhadai Fazel Baig Mosque","Fazel Baig","New","no change",1794,91,33,0,5,0,0,46,7,1703,1341,362,0,0,1341,362,1703
"KABUL","01","NAHIA 05","0101","0101067","Hazrat Usman Mosque","Fazel Baig village","Old","no change",2808,108,15,0,9,0,0,63,21,2689,2161,528,11,0,2168,532,2700
"KABUL","01","NAHIA 05","0101","0101068","Itefaq Mosque","Qalla e Toofan","Old","no change",2226,168,35,0,19,0,0,94,20,1984,1596,388,74,0,1653,405,2058
"KABUL","01","NAHIA 05","0101","0101069","Haji Yaqoub Jame Mosque","Niaz Baig village","Old","no change",2238,66,9,0,16,0,0,34,7,2142,1573,569,30,0,1587,585,2172
"KABUL","01","NAHIA 05","0101","0101070","Naheed Shaheed High School","B Section- Khusahal Khan Mena","Old","no change",3846,172,44,0,30,0,0,79,19,3650,2072,1578,24,0,2085,1589,3674
"KABUL","01","NAHIA 05","0101","0101071","Mohammad Ismael Hasanzai High School","B Section- Khusahal Khan Mena","Old","no change",3408,152,30,0,19,0,0,81,22,3250,2271,979,6,0,2277,979,3256
"KABUL","01","NAHIA 05","0101","0101072","Mir Ghulam Mohammad Ghubar High School","Speen Kalai","Old","no change",2364,165,44,0,10,0,0,96,15,2187,1811,376,12,0,1820,379,2199
"KABUL","01","NAHIA 05","0101","0101073","Mohammadi Darulhefaz Mosque","B Section- Khusahal Khan Mena","Old","no change",2778,181,76,0,13,0,0,67,25,2592,2075,517,5,0,2079,518,2597
"KABUL","01","NAHIA 05","0101","0101074","Wardaki ha Mosque","Sarai Herati ha","Old","no change",3882,176,83,0,17,0,0,67,9,3688,2724,964,18,0,2734,972,3706
"KABUL","01","NAHIA 05","0101","0101075","Imam Hussain Mosque","Dewan Begi","Old","no change",1572,96,43,0,7,0,0,34,12,1432,957,475,44,0,972,504,1476
"KABUL","01","NAHIA 05","0101","0101076","Speen Kalai Girls High School","Section A - Khushal Khan Mena","Old","no change",3000,80,31,0,11,0,0,21,17,2914,1825,1089,6,0,1831,1089,2920
"KABUL","01","NAHIA 05","0101","0101077","Hazrat Shamsul Mashaikh High School","Section A - Khushal Khan Mena","Old","no change",3138,122,47,0,44,0,0,17,14,2991,2174,817,25,0,2199,817,3016
"KABUL","01","NAHIA 05","0101","0101078","Prof. Rasoul Amin High School","B Section- Khusahal Khan Mena","Old","no change",1980,110,34,0,11,0,0,38,27,1868,1284,584,2,0,1285,585,1870
"KABUL","01","NAHIA 05","0101","0101079","Polytechnic Mosque","Polytechnic ","Old","no change",2244,134,45,0,9,0,0,72,8,2108,1803,305,1,1,1804,306,2110
"KABUL","01","NAHIA 05","0101","0101080","Jaghori ha Mosque","Afshar Seelo","Old","no change",3330,257,48,0,15,0,0,170,24,3070,1754,1316,3,0,1757,1316,3073
"KABUL","01","NAHIA 05","0101","0101081","Sahib Zaman Mosque","Afshar Seelo","Old","no change",3569,178,103,0,19,0,0,47,9,3390,2086,1304,1,0,2087,1304,3391
"KABUL","01","NAHIA 05","0101","0101082","Abu Zar Ghafari High School","Char Rahi Qambar","Relocated","no change",6234,256,44,0,40,0,0,77,95,5962,3805,2157,16,0,3818,2160,5978
"KABUL","01","NAHIA 05","0101","0101083","Ayub Saber Mosque","Nawabad Qargha","Old","no change",6846,360,127,3,63,0,0,56,111,6257,4638,1619,228,1,4846,1640,6486
"KABUL","01","NAHIA 05","0101","0101084","Deh e Araban School","Qargha","Old","no change",2874,89,39,0,7,0,0,33,10,2778,1643,1135,7,0,1649,1136,2785
"KABUL","01","NAHIA 05","0101","0101085","Shah e Awlya Mosque","Qargha","Old","no change",1110,54,32,0,3,0,0,15,4,1048,704,344,8,0,712,344,1056
"KABUL","01","NAHIA 05","0101","0101086","Hazrat Bilal Mosque","Qalla e Kashif","Old","no change",2778,176,44,0,19,0,0,90,23,2548,2164,384,54,0,2216,386,2602
"KABUL","01","NAHIA 05","0101","0101087","Hazrat Mohammad (pbuh) Mosque","Rigration","Relocated","no change",3486,179,64,0,13,0,0,68,34,3163,2151,1012,144,0,2269,1038,3307
"KABUL","01","NAHIA 05","0101","0101088","Qalla e Kashif High School","Company Bazzar","Old","no change",8610,369,40,1,43,0,0,171,114,7398,5698,1700,843,0,6303,1938,8241
"KABUL","01","NAHIA 05","0101","0101089","Shaheed Mosque","Qaryah e Wardaki ha (Wardaki ha village)","Old","no change",2964,100,11,0,10,0,0,64,15,2822,2246,576,42,0,2284,580,2864
"KABUL","01","NAHIA 06","0101","0101090","Sar Aasyab Girls High School","Sar Aasyab","Old","no change",2286,86,30,0,16,0,0,19,21,2194,1194,1000,6,0,1200,1000,2200
"KABUL","01","NAHIA 06","0101","0101091","Shah E Welayat Ma'ab Mosque","Afshar Darul Aman","Old","no change",2022,81,29,0,7,0,0,19,26,1920,1209,711,21,0,1222,719,1941
"KABUL","01","NAHIA 06","0101","0101092","Qalla e Bakhtyar High School","Nawabad Qalla e Bakhtyar","Relocated","no change",3540,155,38,0,13,0,0,31,73,3377,2208,1169,8,0,2210,1175,3385
"KABUL","01","NAHIA 06","0101","0101093","Tuberculosis Institute","Darulaman","Old","no change",1508,66,23,0,6,0,0,11,26,1441,737,704,1,0,737,705,1442
"KABUL","01","NAHIA 06","0101","0101094","Finance and Accounting Institute (Mali wa Hesabi *","Darulaman","Old","no change",2076,89,25,0,17,0,0,19,28,1983,1408,575,4,0,1412,575,1987
"KABUL","01","NAHIA 06","0101","0101095","Jafaria Mosque","Alauddin","Old","no change",2166,90,26,0,26,0,0,8,30,2076,1091,985,0,0,1091,985,2076
"KABUL","01","NAHIA 06","0101","0101096","Mohammadia Mosque","Kart e seh(3)","Old","no change",3288,144,54,0,19,0,0,24,47,3135,2199,936,9,0,2207,937,3144
"KABUL","01","NAHIA 06","0101","0101097","Abdul Ghani Mostaghni High School","Kart e seh(3)","Old","no change",1524,66,40,0,2,0,0,9,15,1456,1046,410,2,0,1048,410,1458
"KABUL","01","NAHIA 06","0101","0101098","Markaz Nahia e Shashum (Nahia 6 Center)","Markaz Nahia e Shashum (Nahia 6 Center)","Old","no change",678,18,4,0,0,0,0,8,6,618,492,126,42,0,517,143,660
"KABUL","01","NAHIA 06","0101","0101099","Resalat Madrassah","Qalla e Wazir","Old","no change",3516,129,37,0,24,0,0,23,45,3387,1756,1631,0,0,1756,1631,3387
"KABUL","01","NAHIA 06","0101","0101100","Safed Mosque (White Mosque)","Qalla e Wazir","Old","no change",4662,134,15,0,14,0,0,33,72,4525,2201,2324,3,0,2203,2325,4528
"KABUL","01","NAHIA 06","0101","0101101","Ahmadi Mosque","Dash hai Haji Hussain","Old","no change",5730,190,19,0,27,0,0,58,86,5540,3461,2079,0,0,3461,2079,5540
"KABUL","01","NAHIA 06","0101","0101102","Wahdat Takya Khanahh","Pul e Wahdat","Old","no change",2688,96,43,0,7,0,0,12,34,2591,1516,1075,1,0,1516,1076,2592
"KABUL","01","NAHIA 06","0101","0101103","Ummul Baneen High School","Qalla e Shahadah","Old","no change",3918,157,27,0,21,0,0,26,83,3761,2003,1758,0,0,2003,1758,3761
"KABUL","01","NAHIA 06","0101","0101104","Jamia Al Islam Madrassah","Pul e Sukhta","Old","no change",1632,84,35,0,6,0,0,7,36,1547,717,830,1,0,717,831,1548
"KABUL","01","NAHIA 06","0101","0101105","Wali Aser Jame Mosque","Markaz e Telegraph (Telegraph center)","Relocated","no change",2232,93,24,0,7,0,0,19,43,2139,1175,964,0,0,1175,964,2139
"KABUL","01","NAHIA 06","0101","0101106","Mohammad Asef Mael High School","Qalla e Nazer","Old","no change",2154,95,36,0,27,0,0,12,20,2059,1314,745,0,0,1314,745,2059
"KABUL","01","NAHIA 06","0101","0101107","Khatemul Anbya Madrassah","Qalla e Nazer","Relocated","no change",1980,75,15,0,12,0,0,28,20,1905,1151,754,0,0,1151,754,1905
"KABUL","01","NAHIA 06","0101","0101108","Gul Khana Secondary School","Deh Qabil village","Old","no change",3504,245,67,0,25,0,0,22,131,3259,1783,1476,0,0,1783,1476,3259
"KABUL","01","NAHIA 06","0101","0101109","Hazrat e Rasoul Mosque","Nawabad Qalla e Jabar Khan","Old","no change",1266,46,22,0,6,0,0,7,11,1219,592,627,1,0,593,627,1220
"KABUL","01","NAHIA 06","0101","0101110","Nabi Akram Mosque","Phase-III, Shahrak Hji Nabi","Old","no change",3714,80,32,0,6,0,0,18,24,3629,2340,1289,5,0,2345,1289,3634
"KABUL","01","NAHIA 06","0101","0101111","Qayem Aale Mohammad Mosque","Nawabad Qalla e Jabar Khan","Old","no change",3396,185,62,0,19,0,0,28,76,3211,1676,1535,0,0,1676,1535,3211
"KABUL","01","NAHIA 06","0101","0101112","Sarwar e Kainat Mosque","Qalla e Mohammad Hayat","Old","no change",1890,70,26,0,24,0,0,9,11,1816,1081,735,4,0,1085,735,1820
"KABUL","01","NAHIA 06","0101","0101113","Chahar Qalla High School","Chahar Qalla","Old","no change",4440,123,28,0,26,0,0,12,57,4317,2732,1585,0,0,2732,1585,4317
"KABUL","01","NAHIA 06","0101","0101114","Baqer ul Uloom Madrassah","Qalla e Ainullah","Old","no change",3184,118,19,0,15,0,0,18,66,3065,2399,666,1,0,2400,666,3066
"KABUL","01","NAHIA 06","0101","0101115","Salman e Farsi Mosque","Qalla e Abbas Quli","Old","no change",5082,172,43,0,27,0,0,35,67,4905,2191,2714,5,0,2196,2714,4910
"KABUL","01","NAHIA 06","0101","0101116","Safiullah Afzali High School","Qalla e Muslim, Sar Aasyab","New","no change",1448,78,29,0,7,0,0,7,35,1320,926,394,50,0,952,418,1370
"KABUL","01","NAHIA 07","0101","0101117","Lais Bin e Qais Mosque","Reeshkhor Sufla","Old","no change",444,27,17,0,1,0,0,1,8,417,290,127,0,0,290,127,417
"KABUL","01","NAHIA 07","0101","0101118","Family Haee Reeshkhor High School","Family hai Reeshkhor","Old","no change",3882,199,27,1,26,0,0,113,32,3682,2206,1476,1,0,2206,1477,3683
"KABUL","01","NAHIA 07","0101","0101119","Qalla e Fatoh Ahmadia Mosque","Qalla e Fatoh","Old","no change",2574,68,21,0,17,0,0,8,22,2493,1605,888,13,0,1617,889,2506
"KABUL","01","NAHIA 07","0101","0101120","Ghazi Abdullah High School","Qalla e Asfandyar","Old","no change",2220,89,27,0,11,0,0,8,43,2130,1503,627,1,0,1504,627,2131
"KABUL","01","NAHIA 07","0101","0101121","Ibrahim Khalil Jame Mosque","Dogh Abad Shahsdarak","Old","no change",5532,246,26,0,36,0,0,31,153,5270,3584,1686,16,0,3595,1691,5286
"KABUL","01","NAHIA 07","0101","0101122","Chehlsutoon Girls High School","Noh Burjah Chehelsutoon","Old","no change",3234,77,35,0,8,0,0,13,21,3147,1860,1287,10,0,1866,1291,3157
"KABUL","01","NAHIA 07","0101","0101123","Eidgah Mosque","Chehelsutoon","Old","no change",2076,46,8,0,15,0,0,11,12,1998,1465,533,32,0,1495,535,2030
"KABUL","01","NAHIA 07","0101","0101124","Ghazi Ade Girls High School","Tannai Kot","Old","no change",3708,116,30,0,19,0,0,37,30,3592,2303,1289,0,0,2303,1289,3592
"KABUL","01","NAHIA 07","0101","0101125","Technical Institute","Tannai Kot","Old","no change",2809,135,19,1,14,0,0,62,39,2661,2093,568,13,0,2106,568,2674
"KABUL","01","NAHIA 07","0101","0101126","Omara Khan High School","Wasel Abad","Old","no change",2676,129,55,0,20,0,0,33,21,2546,1718,828,1,0,1719,828,2547
"KABUL","01","NAHIA 07","0101","0101127","Hazarat E Nabawi Mosque","Wasel Abad","Old","no change",3017,104,37,0,11,0,0,29,27,2911,2018,893,2,0,2020,893,2913
"KABUL","01","NAHIA 07","0101","0101128","Aaqa Ali Shams High Shool","Aqa Ali Shams, Chehelsutoon","Old","no change",4998,122,55,0,25,0,0,29,13,4875,2893,1982,1,0,2893,1983,4876
"KABUL","01","NAHIA 07","0101","0101129","Sultan Razia Girls High School","Bagh e Raees","Old","no change",4032,112,21,0,22,0,0,29,40,3915,2013,1902,4,1,2017,1903,3920
"KABUL","01","NAHIA 07","0101","0101130","Aemeni Girls High School","Jangalak","Old","no change",2280,43,12,0,10,0,0,13,8,2236,1303,933,1,0,1303,934,2237
"KABUL","01","NAHIA 07","0101","0101131","Khushal Khan High School","Chehelsutoon Road","Old","no change",2130,110,24,0,12,0,0,19,55,2018,1718,300,2,0,1719,301,2020
"KABUL","01","NAHIA 07","0101","0101132","Guzargah Girls Secondary School","Hesa e Doum","Old","no change",2850,133,34,0,13,0,0,52,34,2711,1722,989,6,0,1727,990,2717
"KABUL","01","NAHIA 07","0101","0101133","Guzargah Girls High School","Guzargah","Old","no change",516,34,14,0,3,0,0,11,6,482,298,184,0,0,298,184,482
"KABUL","01","NAHIA 07","0101","0101134","Habibia Girls High School","Darulaman road","Old","no change",4434,159,34,0,33,0,0,66,26,4263,3454,809,12,0,3465,810,4275
"KABUL","01","NAHIA 07","0101","0101135","Ayub Khan Mosque","Ayub Khan Mena","Old","no change",1500,83,33,0,5,0,0,23,22,1395,938,457,22,0,952,465,1417
"KABUL","01","NAHIA 07","0101","0101136","Sardar e Kabuli Girls High School","Seh(3) Rahi Allauddin","Old","no change",7488,256,21,0,87,0,0,38,110,7227,3876,3351,5,0,3881,3351,7232
"KABUL","01","NAHIA 07","0101","0101137","Mohammadia Mosque","Jai Raees","Relocated","no change",1722,72,18,0,8,0,0,17,29,1649,969,680,1,0,969,681,1650
"KABUL","01","NAHIA 07","0101","0101138","Ataullah Faizani Secondary School","Deh Murad Khan Road","Old","no change",1457,63,23,0,6,0,0,15,19,1393,794,599,1,0,795,599,1394
"KABUL","01","NAHIA 07","0101","0101139","Deh Dana Girls High School","Deh Dana","Old","no change",4931,153,30,0,25,0,0,29,69,4773,2864,1909,5,0,2865,1913,4778
"KABUL","01","NAHIA 07","0101","0101140","Mehrabuddin High School","Chehelsutoon Road, Deh Dana","Old","no change",5622,95,15,0,19,0,0,46,15,5512,3851,1661,15,0,3858,1669,5527
"KABUL","01","NAHIA 08","0101","0101141","Abdul Rahman e Pazhwak High School","Puroujah Rahman Mena","Old","no change",5999,216,15,0,24,0,0,37,140,5682,3984,1698,101,0,4059,1724,5783
"KABUL","01","NAHIA 08","0101","0101142","Zabihullah Esmati High School","Du sad Family","Old","no change",3210,121,22,0,18,0,0,16,65,3031,1946,1085,58,0,1994,1095,3089
"KABUL","01","NAHIA 08","0101","0101143","Hazrat Bilal Mosque","Rahman Mena Chamandi","New","no change",1770,79,27,0,38,0,0,7,7,1521,994,527,170,0,1125,566,1691
