electorate,province_code,candidate_code,ballot_position,candidate_name_eng,incumbent,candidate_gender,prelim_winner,final_winner,candidate_name_dari,candidate_name_dari_utf,candidate_name_no_format
Kuchi,35,6413088,19,Parween Momand Talwasa,NA,Female,NA,NA,_____ _____ _____ ,______ _____ _____ ,_____ _____ _____ 
Kuchi,35,4025652,20,Hajji Jan Muhammad,NA,Male,NA,NA,____ ___ ____ ,_____ ___ ____ ,____ ___ ____ 
Kuchi,35,2852034,21,Kumari Niazai,NA,Female,NA,NA,_____ _____ ,______ _____ ,_____ _____ 
Kuchi,35,7824679,22,Ustad Khapalwak Lakan Khil,NA,Male,NA,NA,_____ ______ ___ ___ ,______ ______ ___ ___ ,_____ ______ ___ ___ 
Kuchi,35,997752,23,Parween Durani,NA,Female,NA,NA,_____ _____ ,______ _____ ,_____ _____ 
Kuchi,35,102317654,24,Muhammad Rasol Kuchi,NA,Male,NA,NA,____ ____ ____ ,_____ ____ ____ ,____ ____ ____ 
Kuchi,35,3664603,25,Hajji Ashraf Niazai,NA,Male,NA,NA,____ ____ _____ ,_____ ____ _____ ,____ ____ _____ 
Kuchi,35,529737,26,Said Muhammad Hareq,NA,Male,NA,NA,___ ____ ____ ,____ ____ ____ ,___ ____ ____ 
Kuchi,35,8913420,27,Ezatullah Ahmadzai,NA,Male,NA,NA,___ ____ ______ ,____ ____ ______ ,___ ____ ______ 
Kuchi,35,5765426,28,Helay Irshad,NA,Male,NA,NA,____ _____ ,_____ _____ ,____ _____ 
Kuchi,35,13285032,29,Alhaj Muhsin Sahraye,NA,Male,NA,NA,_____ ___ ______ ,______ ___ ______ ,_____ ___ ______ 
Kuchi,35,7732204,30,Abdul Rahman Mamozai,NA,Male,NA,NA,_________ _____ ,__________ _____ ,_________ _____ 
Kuchi,35,100267684,31,Tajwar Kakar,NA,Female,NA,NA,_____ ____ ,______ ____ ,_____ ____ 
Kuchi,35,81159975,32,Noorudin Kochi,NA,Male,NA,NA,________ ____ ,_________ ____ ,________ ____ 
Kuchi,35,3955932,33,Raies Farida Kuchi,NA,Female,NA,NA,____ _____ ____ ,_____ _____ ____ ,____ _____ ____ 
Kuchi,35,6984703,34,Fazal Ahmad,NA,Male,NA,NA,___ ____ ,____ ____ ,___ ____ 
Kuchi,35,8197811,35,Bibi Sakina Jabarkhil,NA,Female,NA,NA,__ __ _____ ____ ___ ,___ __ _____ ____ ___ ,__ __ _____ ____ ___ 
Kuchi,35,4059717,36,Hajji Sarfaraz,NA,Male,NA,NA,____ ______ ,_____ ______ ,____ ______ 
Kuchi,35,5765410,37,Zarghuna Ahmadzai,NA,Female,NA,NA,______ ______ ,_______ ______ ,______ ______ 
Kuchi,35,102546679,38,Hajji Abdul Qadar Kuchi,NA,Male,NA,NA,____ _________ ____ ,_____ _________ ____ ,____ _________ ____ 
Kuchi,35,6208234,39,Alhaj Wakil Mullah Tarakhil Muhammadi,NA,Male,NA,NA,_____ ____ ___ ___ ___ _____ ,______ ____ ___ ___ ___ _____ ,_____ ____ ___ ___ ___ _____ 
Kuchi,35,5768615,40,Dawa Khan Mina Pal,NA,Male,NA,NA,______ ____ ___ ,_______ ____ ___ ,______ ____ ___ 
Kuchi,35,3466605,41,Zarab Shah Zahir,NA,Male,NA,NA,____ ___ ____ ,_____ ___ ____ ,____ ___ ____ 
Kuchi,35,3867451,42,Wakil Muhammad Ashraf Ahmadzai,NA,Male,NA,NA,____ ____ ____ ______ ,_____ ____ ____ ______ ,____ ____ ____ ______ 
Kuchi,35,3466682,43,Hajji Saifullah,NA,Male,NA,NA,____ ___ ____ ,_____ ___ ____ ,____ ___ ____ 
Kuchi,35,6495736,44,Alhaj Maulawi Rahmatullah Hutak,NA,Male,NA,NA,_____ _____ ____ ____ ____ ,______ _____ ____ ____ ____ ,_____ _____ ____ ____ ____ 
Kuchi,35,6168130,45,Hajji Muhammad Nazir Ahmadzai,NA,Male,NA,NA,____ ____ ____ ____ __ ,_____ ____ ____ ____ __ ,____ ____ ____ ____ __ 
Kuchi,35,100568297,46,Hajji Pari Kuchi,NA,Male,NA,NA,____ ___ ____ ,_____ ___ ____ ,____ ___ ____ 
Kuchi,35,14257252,47,Abdul Ghafar Ahmadzai,NA,Male,NA,NA,_________ ______ ,__________ ______ ,_________ ______ 
Kuchi,35,11297556,48,Hajji Haidar Jan Naiemzai,NA,Male,NA,NA,____ ____ ___ ____ ___ ,_____ ____ ___ ____ ___ ,____ ____ ___ ____ ___ 
Kuchi,35,5765347,49,Hajji Sher Ali Ahmadzai,NA,Male,NA,NA,____ ___ ___ ____ __ ,_____ ___ ___ ____ __ ,____ ___ ___ ____ __ 
Kuchi,35,6505781,50,Azad Khan Kuchi,NA,Male,NA,NA,____ ___ ____ ,_____ ___ ____ ,____ ___ ____ 
Kuchi,35,7519361,51,Hajji Muhammad Arif Noorzai,NA,Male,NA,NA,____ ____ ____ _____ ,_____ ____ ____ _____ ,____ ____ ____ _____ 
Kuchi,35,8913427,52,Bahram Khan,NA,Male,NA,NA,_____ ___ ,______ ___ ,_____ ___ 
