province_code,candidate_id,candidate_name_eng
1,11336260, Ustad Dr. Ahmad Zia Amiri Safi
1,5570894,Ustad Salih  Muhammad A.K.A Hajji Qandahari
1,11202201,Yardil Nizami
1,5765329,Sofi Muhammad Sharif Mujahed
1,6004888,Muhammad Dawood
1,5765339, Ahmad Haidar Haidar
1,6217415,Eng. Muhammad  Dawood Ameri Wardak
1,5765365,Hajji Muhammad Daood Safi
1,5765383,Hajji Shireen Agha Rahmani
1,5765371,Saranwal Muhammad Shakir Baryal
1,5765375,Alhaj Samunwal  Muhammad Roshan Roshan
1,3772252,Nafisa Selay Wardak
1,6350934, Abdul Hameed Islampor
1,5765389,Muhammad Ibrahim Karimi
1,6219312,Alhaj Muhammad Sharif Nashat
1,5765391,Hamidullah Adib Faiz
1,11096571, Abdullah Shahkar
1,5765425, Dr. Raisa Seddiqi
1,5765413, Rana Nooristani
1,5765431,Anisa Azizi
1,8681345, Sayed Najeebullah Hashimi
1,5765435, Hamida Osman
30,5794702,Hajji Obaidullah Barikzai
30,579470200,Muhibullah Zahid
1,6492372,Ustad Nima Suratgar
1,6149939,Dr. Amin Alizai
1,10568153,Sabrullah Faiez
1,6350606, Eng. Farid Ahmad Mutaqi
1,12865581,Muhammad Asif Shefajo
1,6371308, Afifa Shams
1,7810007, Rabia Lami
1,6483661, Sadar
10,8913434,Nigar Shaliz
10,7571246, Fauzia Hotak
6,8948623,Ustad Nawroz Ali Karemi
6,8948632,Muhammad Sharif Nazari
21,13874583,Sayed Muhammad Hassan Sharifi Balkhabi
21,1468083,Sayed Ghulam Hussain Balkhabi
