"province_code","province_name_eng","district_code","district_name_eng","district_or_subdivision_name","provincial_capital","pc_code","pc_name_eng","pc_location","ps_count","prelim_results_status","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101063","Mohammad Sediq Farhang School","Shahrak Police",6,"Reporting","Old","no change",3336,101,14,0,28,0,0,31,28,3192,2193,999,43,0,2225,1010,3235
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101064","Deh Keepak Girls School","Nawabad Dehkeepak",6,"Reporting","Old","no change",3200,103,18,0,13,0,0,44,28,3096,2010,1086,1,0,2010,1087,3097
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101065","Fazel Baig Secondary School","Aabrasani",7,"Reporting","Old","no change",3330,169,31,0,17,0,0,88,33,3143,2412,731,18,0,2426,735,3161
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101066","Shuhadai Fazel Baig Mosque","Fazel Baig",4,"Reporting","New","no change",1794,91,33,0,5,0,0,46,7,1703,1341,362,0,0,1341,362,1703
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101067","Hazrat Usman Mosque","Fazel Baig village",4,"Reporting","Old","no change",2808,108,15,0,9,0,0,63,21,2689,2161,528,11,0,2168,532,2700
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101068","Itefaq Mosque","Qalla e Toofan",3,"Reporting","Old","no change",2226,168,35,0,19,0,0,94,20,1984,1596,388,74,0,1653,405,2058
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101069","Haji Yaqoub Jame Mosque","Niaz Baig village",5,"Reporting","Old","no change",2238,66,9,0,16,0,0,34,7,2142,1573,569,30,0,1587,585,2172
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101070","Naheed Shaheed High School","B Section- Khusahal Khan Mena",7,"Reporting","Old","no change",3846,172,44,0,30,0,0,79,19,3650,2072,1578,24,0,2085,1589,3674
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101071","Mohammad Ismael Hasanzai High School","B Section- Khusahal Khan Mena",6,"Reporting","Old","no change",3408,152,30,0,19,0,0,81,22,3250,2271,979,6,0,2277,979,3256
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101072","Mir Ghulam Mohammad Ghubar High School","Speen Kalai",4,"Reporting","Old","no change",2364,165,44,0,10,0,0,96,15,2187,1811,376,12,0,1820,379,2199
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101073","Mohammadi Darulhefaz Mosque","B Section- Khusahal Khan Mena",5,"Reporting","Old","no change",2778,181,76,0,13,0,0,67,25,2592,2075,517,5,0,2079,518,2597
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101074","Wardaki ha Mosque","Sarai Herati ha",6,"Reporting","Old","no change",3882,176,83,0,17,0,0,67,9,3688,2724,964,18,0,2734,972,3706
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101075","Imam Hussain Mosque","Dewan Begi",4,"Reporting","Old","no change",1572,96,43,0,7,0,0,34,12,1432,957,475,44,0,972,504,1476
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101076","Speen Kalai Girls High School","Section A - Khushal Khan Mena",4,"Reporting","Old","no change",3000,80,31,0,11,0,0,21,17,2914,1825,1089,6,0,1831,1089,2920
