"province_code","province_name_eng","candidate_code","candidate_name_eng","candidate_name_dari","candidate_name_pashto"
1,"Kabul","1-1786-165","Sediqa Popalzai","صدیقه پوپلزی","صدیقه پوپلزی"
1,"Kabul","1-1512-131","Dr. Wahidullah Ahmadzai","داکتر وحید الله احمدزی ","داکتر وحید الله احمدزی "
1,"Kabul","1-1611-46","Alhaj Hasibullah Samim","الحاج حسیب الله صمیم","الحاج حسیب الله صمیم"
1,"Kabul","1-1602-45","Alhaj Faizullah Hashemi","الحاج فیض الله هاشمی ","الحاج فیض الله هاشمی "
1,"Kabul","1-1508-103","Ahmad Shekeb Farahi","احمد شکیب فراهی","احمد شکیب فراهی"
1,"Kabul","1-1756-3040","Reza Khan Aref Mukhles","رضا خان عارف مخلص","رضا خان عارف مخلص"
1,"Kabul","1-1149-80","Salim Khan Kunduzi","سلیم خان کندوزی","سلیم خان کندوزی"
1,"Kabul","1-1091-1104","Fatema Akbari","فاطمه اکبری","فاطمه اکبری"
1,"Kabul","1-1248-120","Qurban Ali Uruzghani","قربان علی ارزگانی ","قربان علی ارزگانی "
1,"Kabul","1-1174-19","Hamed Sultani","حامد سلطانی","حامد سلطانی"
1,"Kabul","1-1213-174","Khatera Isshaqzai","خاطره اسحق زی","خاطره اسحق زی"
1,"Kabul","1-1040-15","Ramazan Ali Rasooli","رمضان علی رسولی","رمضان علی رسولی"
1,"Kabul","1-1493-1080","Mawalawi Nader Shah Baligh","مولوی نادرشاه  بلیغ","مولوی نادرشاه  بلیغ"
1,"Kabul","1-1155-102","Kalimullah Hamsukhan","کلیم الله هم سخن ","کلیم الله هم سخن "
1,"Kabul","1-2009-1107","Phd. Mohammad Dawood Rawosh","پوهاند محمد داود راوش ","پوهاند محمد داود راوش "
1,"Kabul","1-1043-94","Mohammad Nabi Baraki","محمد نبی بره کی ","محمد نبی بره کی "
1,"Kabul","1-1481-144","Dr. Abdul Satar Stanikzai","داکتر عبدالستار ستانکزی","داکتر عبدالستار ستانکزی"
1,"Kabul","1-1529-6","Sohaila Sahar","سهیلا سحر","سهیلا سحر"
1,"Kabul","1-1010-32","Obaidullah Kalimzai Wardak"," عبیدالله کلیمزی وردک"," عبیدالله کلیمزی وردک"
1,"Kabul","1-1103-149","Mohammad Ibrahim Fedaye","محمد ابراهیم فدای","محمد ابراهیم فدای"
1,"Kabul","1-1631-1210","Laila Ali","لیلا علی ","لیلا علی "
1,"Kabul","1-1424-173","Shaima Rahimi","شیما رحیمی ","شیما رحیمی "
1,"Kabul","1-1287-68","Mustafa Sultani","مصطفی سلطانی","مصطفی سلطانی"
1,"Kabul","1-1216-47","Ahmad Zaki Zahed","احمد ذکی زاهد ","احمد ذکی زاهد "
1,"Kabul","1-1784-3072","Sayed Assadullah Hashimi","سید اسدالله  هاشمی","سید اسدالله  هاشمی"
1,"Kabul","1-1478-72","Ajmal Balochzadah","اجمل بلوچ زاده ","اجمل بلوچ زاده "
1,"Kabul","1-1831-147","Deen Mohammad Darwishi","دین محمد درویشی ","دین محمد درویشی "
1,"Kabul","1-1895-177","sayed Ibrahim Hashemi","سید ابراهیم هاشیمی ","سید ابراهیم هاشیمی "
1,"Kabul","1-1111-151","Ustad Robaba Parwani Darwish","استاد ربابه پروانی درویش","استاد ربابه پروانی درویش"
1,"Kabul","1-1279-222","Mariam Yousufi","مریم یوسفی","مریم یوسفی"
1,"Kabul","1-1440-71","Mohammad Nazir Ahmadzai","محمد نذیر احمدزی","محمد نذیر احمدزی"
1,"Kabul","1-1178-72","Zahra Sepher","زهرا سپهر","زهرا سپهر"
1,"Kabul","1-1117-1019","Helai Ershad","هیلۍ  ارشاد","هیلۍ  ارشاد"
1,"Kabul","1-1147-213","Eng. Rohullah Zarif","انجنیر روح الله ظریف","انجنیر روح الله ظریف"
1,"Kabul","1-1544-3","Farida Sediqi","فریده صدیقی ","فریده صدیقی "
1,"Kabul","1-1031-1011","Mawla Mohammad Paiman Akakhel","مولا محمد ‍‍‍پیمان اکاخیل","مولا محمد ‍‍‍پیمان اکاخیل"
1,"Kabul","1-1733-168","Mohammad Nabi Ayani","محمد نبی عیانی","محمد نبی عیانی"
1,"Kabul","1-1359-3057","Mohammad Edris Stanikzai","محمد ادریس  ستانکزی ","محمد ادریس  ستانکزی "
1,"Kabul","1-1747-181","Sayed Paiwand Ali Sajadi","سید پیوند علی سجادی","سید پیوند علی سجادی"
1,"Kabul","1-1051-43","Dr. Sayed Makhdom Rahin","دکتور سید مخدوم رهین","دکتور سید مخدوم رهین"
1,"Kabul","1-1096-16","Alhaj Shir Aqa Mohammadi","الحاج شیراقا محمدی","الحاج شیراقا محمدی"
1,"Kabul","1-1442-4","Alhaj Abdul Qayoum Khairkhwah","الحاج عبدالقیوم خیرخواه","الحاج عبدالقیوم خیرخواه"
1,"Kabul","1-1138-3053","Ahmadullah Aksir","احمدالله  اکسیر","احمدالله  اکسیر"
1,"Kabul","1-1024-53","Mawlana Mohammad Qasem Wazirzada","مولانا محمد قاسم وزیرزاده","مولانا محمد قاسم وزیرزاده"
1,"Kabul","1-1313-64","Haji Mohammad Zaman Rajabi","حاجی محمد زمان رجبی","حاجی محمد زمان رجبی"
1,"Kabul","1-1659-122","Arezo Akbari","آرزو اکبری","آرزو اکبری"
1,"Kabul","1-1503-1199","Eng. Karimullah Waziri"," انجنیر کریم الله وزیری"," انجنیر کریم الله وزیری"
1,"Kabul","1-1613-65","Ahmadullah Barikzai","احمد الله بارکزی","احمد الله بارکزی"
1,"Kabul","1-1822-141","Mohammad Yousuf Nawabi","محمد یوسف نوابی","محمد یوسف نوابی"
1,"Kabul","1-1560-1014","Toryalai Shofaye","توریالی شوفه یی","توریالی شوفه یی"
1,"Kabul","1-1535-45","Mohammad Ibrahim Qasemi","محمد ابراهیم قاسمی","محمد ابراهیم قاسمی"
1,"Kabul","1-1793-167","Dr. Ajmal Aazem","داکتر اجمل عازم ","داکتر اجمل عازم "
1,"Kabul","1-1644-87","Mohammad Yaqoob Zalmai Naseri","محمد یعقوب زلمی ناصری","محمد یعقوب زلمی ناصری"
1,"Kabul","1-1098-175","Sayed Aziz Ahmad Wardak","سید عزیز احمد وردک","سید عزیز احمد وردک"
1,"Kabul","1-1325-39","Abdul Hafiz Mansoor","عبدالحفیظ منصور","عبدالحفیظ منصور"
1,"Kabul","1-1737-251","Mawezuddin Osmani","موعیزالدین عثمانی","موعیزالدین عثمانی"
1,"Kabul","1-1243-35","Dr. Mohammad Qasem Elyasi","دکترمحمد قاسم الیاسی","دکترمحمد قاسم الیاسی"
1,"Kabul","1-1003-13","Freshta Farah","فرشته فرح","فرشته فرح"
1,"Kabul","1-1321-71","Aashna Gull Bandawal","اشنا گل بانډه وال","اشنا گل بانډه وال"
1,"Kabul","1-1525-53","Mohammad Latif Fayaz","محمد لطیف فیاض","محمد لطیف فیاض"
1,"Kabul","1-1888-175","Temorshah shahi","تیمورشاه شاهی","تیمورشاه شاهی"
1,"Kabul","1-1211-78","Abdul Sabor Gardizi","عبدالصبور گردیزی","عبدالصبور گردیزی"
1,"Kabul","1-1399-63","Habib Zaki Rohgar","حبیبه ذکی روهگر","حبیبه ذکی روهگر"
1,"Kabul","1-1005-179","Mohammad Azam Azami Dehsabzi","محمد اعظم اعظمی ده سبزی ","محمد اعظم اعظمی ده سبزی "
1,"Kabul","1-1328-79","Fahima Babakarkhel","فهیمه بابکر خیل","فهیمه بابکر خیل"
1,"Kabul","1-1033-16","Mufti Sayed Masood Hashemi","مفتی سید مسعود هاشمی ","مفتی سید مسعود هاشمی "
1,"Kabul","1-2002-1033","Leyaqat Ali Faramarz","لیاقت علی فرامرز","لیاقت علی فرامرز"
1,"Kabul","1-1263-3047","Najibullah Islamyar","نجیب الله اسلام یار","نجیب الله اسلام یار"
1,"Kabul","1-1824-193","Mohammad Nayem Nazari","محمد نعیم نظری","محمد نعیم نظری"
1,"Kabul","1-1534-62","Haji Mohammad Nawab Totakhel","حاجی محمد نواب طوطا خیل","حاجی محمد نواب طوطا خیل"
1,"Kabul","1-1792-203","Sahebzada Mohammad Wali Mutaqi","صاحب زاده محمد ولی  متقی","صاحب زاده محمد ولی  متقی"
1,"Kabul","1-1311-6","Sayed Akbar Shah Hashemi","سید اکبرشاه هاشمی","سید اکبرشاه هاشمی"
1,"Kabul","1-1558-80","Saifuddin Shahab","سیف الدین شهاب","سیف الدین شهاب"
1,"Kabul","1-1869-219","Zarghona Wali","زرغونه ولی","زرغونه ولی"
1,"Kabul","1-1530-63","Dr. jafar mahdawi"," د کتر جعفر مهدوی "," د کتر جعفر مهدوی "
1,"Kabul","1-1576-133","Pashtonmal Ahmadzai","پشتونمل احمدزی ","پشتونمل احمدزی "
1,"Kabul","1-1514-3042","Alhaj Mohammad Ibrahim Aasem","الحاج محمد ابراهیم عاصم","الحاج محمد ابراهیم عاصم"
1,"Kabul","1-1510-185","Dr. Ahmad Tamim Rahman","داکتر احمد تمیم رحمان","داکتر احمد تمیم رحمان"
1,"Kabul","1-1413-184","Karimullah Akhondzadah","کریم الله اخندزاده","کریم الله اخندزاده"
1,"Kabul","1-1720-136","Abdul Baqi Amin","عبدالباقی امین ","عبدالباقی امین "
1,"Kabul","1-1191-1055","Somaya Bayat Kazemi","سٌمیه بیات کاظمی","سٌمیه بیات کاظمی"
1,"Kabul","1-1233-189","Habibullah Esmati","حبیب الله عصمتی","حبیب الله عصمتی"
1,"Kabul","1-1690-120","Rahimullah Hanifi","رحیم الله حنیفی","رحیم الله حنیفی"
1,"Kabul","1-1894-143","Haji Salim Logarwal","حاجی سلیم لوگروال","حاجی سلیم لوگروال"
1,"Kabul","1-1206-66","Dr. Abdul Rashid Janbaz","داکتر عبدالرشید جانباز","داکتر عبدالرشید جانباز"
1,"Kabul","1-1845-3038","Shakila Nawid","شکیلا نوید","شکیلا نوید"
1,"Kabul","1-1574-167","Eng. Ahmad Fahim Nasimyar","انجنیر احمد فهیم نسیمیار","انجنیر احمد فهیم نسیمیار"
1,"Kabul","1-1722-145","Dr. Sayed Abdul Wahab Rahmani","داکترسید عبدالوهاب رحمانی","داکترسید عبدالوهاب رحمانی"
1,"Kabul","1-1223-100","Haji Mohammad Dawood Kalakani","حاجی محمد داود کلکانی","حاجی محمد داود کلکانی"
1,"Kabul","1-1167-148","Mohammad Tariq Eqtedari","محمد طارق اقتداری","محمد طارق اقتداری"
1,"Kabul","1-1299-1040","Abdul Samad stanikzai","عبدالصمد ستانکزی","عبدالصمد ستانکزی"
1,"Kabul","1-1770-199","Farid Ahmad Nezami","فرید احمد نظامی","فرید احمد نظامی"
1,"Kabul","1-1843-141","Mahsa Qurbani","مهسا قربانی ","مهسا قربانی "
1,"Kabul","1-1378-159","Khaleqdad Balaaghi","خالقداد بلاغی ","خالقداد بلاغی "
1,"Kabul","1-1693-3045","Toorpekai Patman","تورپیکی پتمن","تورپیکی پتمن"
1,"Kabul","1-1547-22","Dr. Abdul Ali Mohammadi","دوکتور عبدالعلی محمدی","دوکتور عبدالعلی محمدی"
1,"Kabul","1-1635-21","Mohammad Mahdi Taqadusi","محمد مهدی تقدسی","محمد مهدی تقدسی"
1,"Kabul","1-1284-32","Sayed Baqer Mohseni Kazemi","سید باقر محسنی کاظمی","سید باقر محسنی کاظمی"
1,"Kabul","1-1408-111","Mohammad Shafiq Basharyar","محمد شفیق بشریار","محمد شفیق بشریار"
1,"Kabul","1-1506-109","Alhaj Mirza Mohammad Safi","الحاج میرزا محمد صافی","الحاج میرزا محمد صافی"
1,"Kabul","1-1528-31","Ghullam Reza Barati","غلام رضابراتی","غلام رضابراتی"
1,"Kabul","1-1258-2032","Gheljai Noorzai","غلجی  نورزی","غلجی  نورزی"
1,"Kabul","1-1074-92","Mumtaz Jahangir","ممتاز جهانگیر","ممتاز جهانگیر"
1,"Kabul","1-1835-1197","Farid Delawar","فرید دلاور ","فرید دلاور "
1,"Kabul","1-1139-138","Mohammad Zaman Panahi","محمد زمان پناهی","محمد زمان پناهی"
1,"Kabul","1-1207-66","Alhaj Abdul Satar Behzad","الحاج عبد الستار بهزاد","الحاج عبد الستار بهزاد"
1,"Kabul","1-1283-128","Alhaj Mulla Mohammad Khan Ahmadi","الحاج ملامحمد خان احمدی","الحاج ملامحمد خان احمدی"
1,"Kabul","1-1763-153","Mawlawi Abdul Rahman Rahmani","مولوی عبدالرحمن رحمانی","مولوی عبدالرحمن رحمانی"
1,"Kabul","1-1429-225","Aafyat Hashmatullah Omari","عافیت حشمت الله عمری","عافیت حشمت الله عمری"
1,"Kabul","1-1432-81","Anwar Khan Oryakhel","انور خان اوریاخیل ","انور خان اوریاخیل "
1,"Kabul","1-1419-20","Mohammad Hanif Sayar","محمد حنیف سیار","محمد حنیف سیار"
1,"Kabul","1-102-1165-105","Awal Khan Rustamkhel","اول خان رستم خیل","اول خان رستم خیل"
1,"Kabul","1-1651-47","Mohammad Faazel Sayedkheli","محمد فاضل سید خیلی","محمد فاضل سید خیلی"
1,"Kabul","1-1182-2","Muslim Shirzad","مسلم شیرزاد ","مسلم شیرزاد "
1,"Kabul","1-1500-1164","Qadam Ali Khadem","قدم علی خادم ","قدم علی خادم "
1,"Kabul","1-1582-118","Haji Shirshah Hassanzai","حاجی شیرشاه حسن زی ","حاجی شیرشاه حسن زی "
1,"Kabul","1-1242-34","Kamela Aimaq","کامله ایماق","کامله ایماق"
1,"Kabul","1-1505-191","Safia Sediqi","صفیه صدیقی","صفیه صدیقی"
1,"Kabul","1-1105-111","Sayed Nasim Hashimi","سید نسیم هاشمی","سید نسیم هاشمی"
1,"Kabul","1-1772-1157","Abdullah Kohbandi","عبدالله کوهبندی ","عبدالله کوهبندی "
1,"Kabul","1-1214-133","Gen. Baz Mohammad Jawhari","جنرال باز محمد جوهری ","جنرال باز محمد جوهری "
1,"Kabul","1-1382-30","Roqia Alemi Balkhi","رقیه عالمی بلخی","رقیه عالمی بلخی"
1,"Kabul","1-1123-129","Sayed Ahmad Burhani","سید احمد برهانی","سید احمد برهانی"
1,"Kabul","1-1546-7","Ghullam Haidar Faqirzai","غلام حیدر فقیرزی ","غلام حیدر فقیرزی "
1,"Kabul","1-1063-67","Dr. Zuhra Nawabi","داکتر زهره نوابی","داکتر زهره نوابی"
1,"Kabul","1-1887-162","Masooda Qazi Waziri","مسعوده قاضی وزیری","مسعوده قاضی وزیری"
1,"Kabul","1-1817-131","Sanaullah Mukhles","ثناء الله مخلص","ثناء الله مخلص"
1,"Kabul","1-1136-52","Eng. Wahidullah Sabawon","انجنیر وحید الله سباوون ","انجنیر وحید الله سباوون "
1,"Kabul","35-1893-157","Eng. Lajmir Khair Andesh","انجنیر لاجمیر خیر اندیش","انجنیر لاجمیر خیر اندیش"
1,"Kabul","1-1146-1087","Samira Lame","سمیرا لامع","سمیرا لامع"
1,"Kabul","1-1601-28","Salima Nekbin","سلیمه نیکبین","سلیمه نیکبین"
1,"Kabul","1-1200-21","Shirzai salar","شیرزی سالار ","شیرزی سالار "
1,"Kabul","1-1553-206","Sayeda Masooda Yari","سیده مسعوده یاری ","سیده مسعوده یاری "
1,"Kabul","1-1511-194","Abdul Qudos Jawzjani","عبدالقدوس جوزجانی","عبدالقدوس جوزجانی"
1,"Kabul","1-1584-44","Shakila Ibrahim","شکیلا ابراهیم ","شکیلا ابراهیم "
1,"Kabul","1-1872-1061","Ezharulhaq Hamim","اظهارالحق همیم","اظهارالحق همیم"
