"link","file_target","failed"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301012/18988_W130058_Sheet1.jpg","18988_W130058_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301013/5948_R130095_Sheet1.jpg","5948_R130095_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301014/6644_W130063_Sheet1.jpg","6644_W130063_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301014/6646_W130064_Sheet1.jpg","6646_W130064_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301014/6647_W130065_Sheet1.jpg","6647_W130065_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301014/6648_W130066_Sheet1.jpg","6648_W130066_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301015/5957_R130086_Sheet1.jpg","5957_R130086_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301015/5958_R130058_Sheet1.jpg","5958_R130058_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301015/5959_R130085_Sheet1.jpg","5959_R130085_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301016/5977_R130092_Sheet1.jpg","5977_R130092_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301016/5978_R130072_Sheet1.jpg","5978_R130072_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301016/5979_W130075_Sheet1.jpg","5979_W130075_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301016/5980_R130188_Sheet1.jpg","5980_R130188_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301017/18981_W130077_Sheet1.jpg","18981_W130077_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301017/18982_W130078_Sheet1.jpg","18982_W130078_Sheet1.jpg","YES"
