"pc","list_position","x"
"Sangbaran Madrassah - 908184",3,"#pc > option:nth-child(3)"
"Deh Salah Bazar School - 908185",4,"#pc > option:nth-child(4)"
"Shareef Sakah Mosque - 908186",5,"#pc > option:nth-child(5)"
"Anas Deezak High School - 908187",6,"#pc > option:nth-child(6)"
"Shaheed Mohammad Rasoul Mohsini High School - 908188",7,"#pc > option:nth-child(7)"
"Imam Qutaibah Madrasah - 908189",8,"#pc > option:nth-child(8)"
"Dargai Secondary School - 908190",9,"#pc > option:nth-child(9)"
"Shahshan High School - 908191",10,"#pc > option:nth-child(10)"
"Kotal E Murgh School - 908192",11,"#pc > option:nth-child(11)"
"Tal Mir Ghazi School - 908193",12,"#pc > option:nth-child(12)"
"Masan Mosque - 909194",1,"#pc > option:nth-child(1)"
"Khwajah Awlia Jame Mosque - 909195",2,"#pc > option:nth-child(2)"
"Hameedullah Shaheed High School - 909196",3,"#pc > option:nth-child(3)"
"Zard Aspan Jame Mosque - 909197",4,"#pc > option:nth-child(4)"
"Yaram Ulya High School - 909198",5,"#pc > option:nth-child(5)"
"Mawlawi Sayed Ahmad High School - 909199",6,"#pc > option:nth-child(6)"
"Wareechi Madrassah  - 909200",7,"#pc > option:nth-child(7)"
"Gadari Primary School - 909201",8,"#pc > option:nth-child(8)"
"Ghori Sang School - 909202",9,"#pc > option:nth-child(9)"
"Gadari Jame Mosque - 909203",10,"#pc > option:nth-child(10)"
"Khwajah Hejran Primary School - 909204",11,"#pc > option:nth-child(11)"
"Shorchah School - 910205",1,"#pc > option:nth-child(1)"
"Shar Shar School - 910206",2,"#pc > option:nth-child(2)"
"Fulol Ulya School - 910208",3,"#pc > option:nth-child(3)"
"Fulol High School - 910209",4,"#pc > option:nth-child(4)"
"Nawabad Dasht e Fulol School - 910210",5,"#pc > option:nth-child(5)"
"Markaz Girls High School - 910211",6,"#pc > option:nth-child(6)"
"Har du Aab Mosque - 911225",1,"#pc > option:nth-child(1)"
"Afghan Qul Mosque - 911226",2,"#pc > option:nth-child(2)"
"Dahana e Astmah Secondary School - 911234",3,"#pc > option:nth-child(3)"
"Hindukush School - 912238",1,"#pc > option:nth-child(1)"
"Sarab High School - 912239",2,"#pc > option:nth-child(2)"
"Samandan School - 912240",3,"#pc > option:nth-child(3)"
"Qazah Boys High School - 912241",4,"#pc > option:nth-child(4)"
"Lakar Mar Mosque - 912242",5,"#pc > option:nth-child(5)"
"Sayed Abad School - 912243",6,"#pc > option:nth-child(6)"
"Deh Yak School - 912244",7,"#pc > option:nth-child(7)"
"Ashab e Kahf School - 912245",8,"#pc > option:nth-child(8)"
"Nawbahar School - 912246",9,"#pc > option:nth-child(9)"
"Anamak Secondary School - 912247",10,"#pc > option:nth-child(10)"
"Taghanak School - 912248",11,"#pc > option:nth-child(11)"
"Dreshu School - 912249",12,"#pc > option:nth-child(12)"
"Khahosh Primary School - 913250",1,"#pc > option:nth-child(1)"
"Guzar School - 913251",2,"#pc > option:nth-child(2)"
"Malam Secondary School - 913252",3,"#pc > option:nth-child(3)"
"Deh Kalam Madrassah - 913253",4,"#pc > option:nth-child(4)"
"Abdul Latif Secondary School - 913254",5,"#pc > option:nth-child(5)"
"Mohammad Afzal Shaheed School - 913255",6,"#pc > option:nth-child(6)"
"Itefaq Primary School - 913256",7,"#pc > option:nth-child(7)"
"Khoshdarah Boys School - 913258",8,"#pc > option:nth-child(8)"
"Qalla e Mir Primary School - 913259",9,"#pc > option:nth-child(9)"
"Kunjak Secondary School - 913260",10,"#pc > option:nth-child(10)"
"Gardan Tal School - 913261",11,"#pc > option:nth-child(11)"
"Do Aabi Girls School - 913262",12,"#pc > option:nth-child(12)"
"Garam Aabah School - 913263",13,"#pc > option:nth-child(13)"
"Myan Shahr High School - 913264",14,"#pc > option:nth-child(14)"
"Yakha Primary School - 913265",15,"#pc > option:nth-child(15)"
"Wech Primary School - 913267",16,"#pc > option:nth-child(16)"
"Bazzar High School - 913268",17,"#pc > option:nth-child(17)"
"Abdul Haq Narzu School - 913269",18,"#pc > option:nth-child(18)"
"Deh Meerak Madrassah - 913270",19,"#pc > option:nth-child(19)"
"Jar Aab Secondary School - 914272",1,"#pc > option:nth-child(1)"
"Gharu Boys High School - 914273",2,"#pc > option:nth-child(2)"
"Mohammad Hanif Girls School - 914274",3,"#pc > option:nth-child(3)"
"Yahoor High School - 914275",4,"#pc > option:nth-child(4)"
"Maihan Rameen Dahana e Farang High School - 915276",1,"#pc > option:nth-child(1)"
"Deh Mir Mosque - 915277",2,"#pc > option:nth-child(2)"
"Haji Mohammad Alam Khan Mosque - 915278",3,"#pc > option:nth-child(3)"
"Mawlawi Fazlul Rahman Mosque - 915279",4,"#pc > option:nth-child(4)"
"Markazi Souq High School - 915280",5,"#pc > option:nth-child(5)"
"Souq Mosque - 915281",6,"#pc > option:nth-child(6)"
"Hazrat Saheb Mosque - 915282",7,"#pc > option:nth-child(7)"
"Dasht e Shahan Mosque - 915283",8,"#pc > option:nth-child(8)"
"Murad Shahr Mosque - 915284",9,"#pc > option:nth-child(9)"
"Directorate of Teacher Training - 1001001",1,"#pc > option:nth-child(1)"
"Said Abad Girls School - 1001002",2,"#pc > option:nth-child(2)"
"Lala Khil Mosque - 1001003",3,"#pc > option:nth-child(3)"
"Khatimul Nabeen Mosque - 1001004",4,"#pc > option:nth-child(4)"
"Zargaran Girls School - 1001005",5,"#pc > option:nth-child(5)"
"Tee Botee Girls High School - 1001006",6,"#pc > option:nth-child(6)"
"Markaz Bamyan Boys High School - 1001007",7,"#pc > option:nth-child(7)"
"Kart e Sulah High School - 1001008",8,"#pc > option:nth-child(8)"
"Surkh Darah Boys School - 1001009",9,"#pc > option:nth-child(9)"
"Dahan Nek Mosque - 1001010",10,"#pc > option:nth-child(10)"
"Bam Sarai School - 1001011",11,"#pc > option:nth-child(11)"
"Sheneah Madrassah - 1001012",12,"#pc > option:nth-child(12)"
"Dasht Tekar Shura (Council) bilding - 1001013",13,"#pc > option:nth-child(13)"
"Zekria Girls School - 1001014",14,"#pc > option:nth-child(14)"
"Qazan School - 1001015",15,"#pc > option:nth-child(15)"
"Jawkar Dalak School - 1001016",16,"#pc > option:nth-child(16)"
"Menbar Chap Darah - 1001017",17,"#pc > option:nth-child(17)"
"Dokani School - 1001018",18,"#pc > option:nth-child(18)"
"Dakdan School - 1001019",19,"#pc > option:nth-child(19)"
"Haiderabad High School - 1001020",20,"#pc > option:nth-child(20)"
"Sumarah Mosque - 1001021",21,"#pc > option:nth-child(21)"
"Toupchi Mosque - 1001022",22,"#pc > option:nth-child(22)"
"Aaq Rubat School - 1001023",23,"#pc > option:nth-child(23)"
"Bareeki Shaheedan School - 1001024",24,"#pc > option:nth-child(24)"
"Syah La Yak School - 1001025",25,"#pc > option:nth-child(25)"
"Nal Sheerah Mosque - 1001026",26,"#pc > option:nth-child(26)"
"Shaheedan School - 1001027",27,"#pc > option:nth-child(27)"
"Dahan e Joplal Mosque - 1001028",28,"#pc > option:nth-child(28)"
"Menbar Jeem Qalla - 1001029",29,"#pc > option:nth-child(29)"
"Peerdad Shebartu School - 1001030",30,"#pc > option:nth-child(30)"
"Toup Ali School - 1001031",31,"#pc > option:nth-child(31)"
"Chahar Chashma School - 1001032",32,"#pc > option:nth-child(32)"
"Sarkalu Girls School - 1002033",1,"#pc > option:nth-child(1)"
"Dahan e Diwalak High School - 1002034",2,"#pc > option:nth-child(2)"
"Sabz Aab Mosque - 1002035",3,"#pc > option:nth-child(3)"
"Sheneah Iraq School - 1002036",4,"#pc > option:nth-child(4)"
"Watah Pour School - 1002037",5,"#pc > option:nth-child(5)"
"Jola Secondary School - 1002038",6,"#pc > option:nth-child(6)"
"Shanbal Girls School - 1002039",7,"#pc > option:nth-child(7)"
"Shanbal Boys School - 1002040",8,"#pc > option:nth-child(8)"
"Barglej Girls School - 1002041",9,"#pc > option:nth-child(9)"
"Jalmash Mosque - 1002042",10,"#pc > option:nth-child(10)"
"Dahan e Ghundak Girls School - 1002043",11,"#pc > option:nth-child(11)"
"Toghi Bala Mosque - 1002044",12,"#pc > option:nth-child(12)"
"Baghak Mosque - 1002045",13,"#pc > option:nth-child(13)"
"Kangoor School - 1002047",14,"#pc > option:nth-child(14)"
"Sar Deh Jame Mosque - 1002048",15,"#pc > option:nth-child(15)"
"Kogadai Mosque - 1003049",1,"#pc > option:nth-child(1)"
"Gharab Mosque - 1003050",2,"#pc > option:nth-child(2)"
"Jawdarah Mosque - 1003051",3,"#pc > option:nth-child(3)"
"Peeshang School - 1003052",4,"#pc > option:nth-child(4)"
"Bayan Quli Jame Mosque - 1003053",5,"#pc > option:nth-child(5)"
"Eshan Ha Mosque - 1003054",6,"#pc > option:nth-child(6)"
"Ghorchi Girls School - 1003055",7,"#pc > option:nth-child(7)"
"Cheraghdan Mosque - 1003056",8,"#pc > option:nth-child(8)"
"Bughundi Qurghan Mosque - 1003057",9,"#pc > option:nth-child(9)"
"Markaz Khudadad Khil Boys High School - 1003058",10,"#pc > option:nth-child(10)"
"Soukhta Chinar Shura (Council) Office - 1003059",11,"#pc > option:nth-child(11)"
"Qaroonah Sufla Shura (Council) building - 1003060",12,"#pc > option:nth-child(12)"
"Deh Iman School - 1003061",13,"#pc > option:nth-child(13)"
"Khwaja Ganj Mosque - 1003062",14,"#pc > option:nth-child(14)"
"Pushtah waz Mosque - 1003063",15,"#pc > option:nth-child(15)"
"Menbar Umoomi Qalla e Begal - 1003064",16,"#pc > option:nth-child(16)"
"Qalacha Mosque - 1003065",17,"#pc > option:nth-child(17)"
"Duru Boys School - 1004066",1,"#pc > option:nth-child(1)"
"Du Shakh Girls Secondary School - 1004067",2,"#pc > option:nth-child(2)"
"Bajgah School - 1004068",3,"#pc > option:nth-child(3)"
"Andab Boys High School - 1004069",4,"#pc > option:nth-child(4)"
"Dasht e Safid School - 1004070",5,"#pc > option:nth-child(5)"
"Darband Mosque - 1004071",6,"#pc > option:nth-child(6)"
"Kaleech Secondary School - 1004072",7,"#pc > option:nth-child(7)"
"Du Aab Madrassah - 1004073",8,"#pc > option:nth-child(8)"
"Ishpeshtah School - 1004074",9,"#pc > option:nth-child(9)"
"Sar Guli Jame Mosque - 1004075",10,"#pc > option:nth-child(10)"
"Chokri Darah Mosque - 1004076",11,"#pc > option:nth-child(11)"
"Madar Boys Secondary School - 1004077",12,"#pc > option:nth-child(12)"
"Lawranj School - 1004078",13,"#pc > option:nth-child(13)"
"Yalgah Mosque - 1004079",14,"#pc > option:nth-child(14)"
"Aajer School - 1004080",15,"#pc > option:nth-child(15)"
"Banq School - 1004081",16,"#pc > option:nth-child(16)"
"Roy Sang School - 1004082",17,"#pc > option:nth-child(17)"
"Laghaki Primary School - 1004083",18,"#pc > option:nth-child(18)"
"Payan Bagh Mosque - 1004084",19,"#pc > option:nth-child(19)"
"Andah Girls High School - 1005085",1,"#pc > option:nth-child(1)"
"Nek Madrassah - 1005086",2,"#pc > option:nth-child(2)"
"Menbar Neshar - 1005087",3,"#pc > option:nth-child(3)"
"Ferozbahar School - 1005088",4,"#pc > option:nth-child(4)"
"Sar Qul Girls High School - 1005089",5,"#pc > option:nth-child(5)"
"Syah Bomak Secondary School - 1005090",6,"#pc > option:nth-child(6)"
"Sherdosh Secondary School - 1005091",7,"#pc > option:nth-child(7)"
"Pasroyah High School - 1005092",8,"#pc > option:nth-child(8)"
"Shahrestan Secondary School - 1005093",9,"#pc > option:nth-child(9)"
"Shaheed Mahmoodi High School - 1005094",10,"#pc > option:nth-child(10)"
"Kaparak Secondary School - 1005095",11,"#pc > option:nth-child(11)"
"Menbar Nawshorah - 1005096",12,"#pc > option:nth-child(12)"
"Duzdan Chashmah School - 1005097",13,"#pc > option:nth-child(13)"
"Menbar Kashkak Naqshi - 1005098",14,"#pc > option:nth-child(14)"
"Menbar Khorjeen Balaq Sufla - 1005099",15,"#pc > option:nth-child(15)"
"Baghalak Secondary School - 1005100",16,"#pc > option:nth-child(16)"
"Menbar Bala Hesar Gazak - 1005101",17,"#pc > option:nth-child(17)"
"Dagah School - 1005102",18,"#pc > option:nth-child(18)"
"Dasht e Sufla Naitaq Boys School - 1005103",19,"#pc > option:nth-child(19)"
"Sar TarNook School - 1005104",20,"#pc > option:nth-child(20)"
"Tangi Safedak School - 1005105",21,"#pc > option:nth-child(21)"
"Menbar Surkhak Payeen - 1005106",22,"#pc > option:nth-child(22)"
"Syah Darah Ulya Girls Secondary School - 1005107",23,"#pc > option:nth-child(23)"
"Menbar Sheneah - 1005108",24,"#pc > option:nth-child(24)"
"Bakak Secondary School - 1005109",25,"#pc > option:nth-child(25)"
"Menbar e Sarkanak - 1005110",26,"#pc > option:nth-child(26)"
"Deh Surkh School - 1005111",27,"#pc > option:nth-child(27)"
"Zareen Boys High School - 1005112",28,"#pc > option:nth-child(28)"
"Baghalak Rustam Girls School - 1005113",29,"#pc > option:nth-child(29)"
"Ilmiah Kazimiah Madrassah - 1006114",1,"#pc > option:nth-child(1)"
"Imam Kazim Madrassah - 1006115",2,"#pc > option:nth-child(2)"
"Khatimul Anbya Madrassah - 1006116",3,"#pc > option:nth-child(3)"
"Sarai Zard Sang Boys High School - 1006117",4,"#pc > option:nth-child(4)"
"Sejadiah Mosque - 1006118",5,"#pc > option:nth-child(5)"
"Du Aabi Secondary School - 1006119",6,"#pc > option:nth-child(6)"
"Menbar Sheneah Trapis - 1006120",7,"#pc > option:nth-child(7)"
"Myan Qul Mosque - 1006121",8,"#pc > option:nth-child(8)"
"Surkhak Mosque - 1006122",9,"#pc > option:nth-child(9)"
"Menbar e Qalla e Akhund - 1006123",10,"#pc > option:nth-child(10)"
"Zeerahgak Secondary School - 1006124",11,"#pc > option:nth-child(11)"
"Pusht e Telegraph Girls School - 1006125",12,"#pc > option:nth-child(12)"
"Paybom Girls School - 1006126",13,"#pc > option:nth-child(13)"
"Gardani Mosque - 1006127",14,"#pc > option:nth-child(14)"
"Menbar Safid Joi - 1006128",15,"#pc > option:nth-child(15)"
"Qalla e Ashor Secondary School - 1006129",16,"#pc > option:nth-child(16)"
"Dahan e Ghouch Naw Girls School - 1006130",17,"#pc > option:nth-child(17)"
"Dahan e Bulaq Primary School - 1006131",18,"#pc > option:nth-child(18)"
"Bar Ghusang School - 1006132",19,"#pc > option:nth-child(19)"
"Sheneah Gandaab Mosque - 1006133",20,"#pc > option:nth-child(20)"
"Dahan e Qalacha Mosque - 1006134",21,"#pc > option:nth-child(21)"
"Dahan e Kohdar Religious Madrassah - 1006135",22,"#pc > option:nth-child(22)"
"Sheneah Akhzarat School - 1006136",23,"#pc > option:nth-child(23)"
"Menbar Qurghan - 1006137",24,"#pc > option:nth-child(24)"
"Lashkar Rah Akhzarab Girls School - 1006138",25,"#pc > option:nth-child(25)"
"Masjid I Naw Daraz Kerman Mosque - 1006139",26,"#pc > option:nth-child(26)"
"Pamul Targhan Secondary School - 1006140",27,"#pc > option:nth-child(27)"
"Surkh Boom Kerman Boys and Girls High School - 1006141",28,"#pc > option:nth-child(28)"
"Shaheed Nematullah Boys and Girls High School - 1006142",29,"#pc > option:nth-child(29)"
"Kharqul Jame School - 1006143",30,"#pc > option:nth-child(30)"
"Dahan Tahir Madrassah - 1006144",31,"#pc > option:nth-child(31)"
"Sagzeez High School - 1006145",32,"#pc > option:nth-child(32)"
"Myankawak High School - 1006146",33,"#pc > option:nth-child(33)"
"Pyazan Secondary School - 1006147",34,"#pc > option:nth-child(34)"
"Jeeran Secondary School - 1007148",1,"#pc > option:nth-child(1)"
"Owcha Sangang Leegan School - 1007149",2,"#pc > option:nth-child(2)"
"Sadmani Legan School - 1007150",3,"#pc > option:nth-child(3)"
"Tobak Zer Koh e Puchandoor Mosque - 1007151",4,"#pc > option:nth-child(4)"
"Nawmeelak Sheneah Pachandoor Mosque - 1007152",5,"#pc > option:nth-child(5)"
"Menbar Tasour - 1007153",6,"#pc > option:nth-child(6)"
"Peetab Kandook Mosque - 1007154",7,"#pc > option:nth-child(7)"
"Warzang Mosque - 1007155",8,"#pc > option:nth-child(8)"
"Deewan Mosque - 1007156",9,"#pc > option:nth-child(9)"
"Ghorzeelo Mosque - 1007157",10,"#pc > option:nth-child(10)"
"Khaimah Kalan Zameen Mosque - 1007158",11,"#pc > option:nth-child(11)"
"Gunbatak Mosque - 1007159",12,"#pc > option:nth-child(12)"
"Masjid Gerd Bed Tagab Galqul Mosque - 1007160",13,"#pc > option:nth-child(13)"
"Chob Taman Mosque - 1007161",14,"#pc > option:nth-child(14)"
"Selburdah School - 1007162",15,"#pc > option:nth-child(15)"
"Seb Bareek Mosque - 1007163",16,"#pc > option:nth-child(16)"
"Khakshkah Mosque - 1007164",17,"#pc > option:nth-child(17)"
"Dahan Mangos Sheneah Obah Mosque - 1007165",18,"#pc > option:nth-child(18)"
"Joqul Boys High School - 1007166",19,"#pc > option:nth-child(19)"
"Deerandar Mosque - 1007167",20,"#pc > option:nth-child(20)"
"Sheneah Bastouk Mosque - 1007168",21,"#pc > option:nth-child(21)"
"Darah Ghoul Syah Mosque - 1007169",22,"#pc > option:nth-child(22)"
"Razak Mosque - 1007170",23,"#pc > option:nth-child(23)"
"Warzagh School - 1007171",24,"#pc > option:nth-child(24)"
"Waz Darghan Mosque - 1007172",25,"#pc > option:nth-child(25)"
"Band e Haidarak Secondary School - 1007173",26,"#pc > option:nth-child(26)"
"Takhta ha Mosque - 1007174",27,"#pc > option:nth-child(27)"
"Sang Surakh School - 1007175",28,"#pc > option:nth-child(28)"
"Toup Ismael Mosque - 1007176",29,"#pc > option:nth-child(29)"
"Pulan Secondary School - 1007177",30,"#pc > option:nth-child(30)"
"Sultan Rubat High School - 1007178",31,"#pc > option:nth-child(31)"
"Fato Primary School - 1007179",32,"#pc > option:nth-child(32)"
"Seb Joi Bazgeerak High School - 1007180",33,"#pc > option:nth-child(33)"
"Surkh Kook High School - 1007181",34,"#pc > option:nth-child(34)"
"Shahr e Naw School - 1007182",35,"#pc > option:nth-child(35)"
"Waras central Mosque - 1007183",36,"#pc > option:nth-child(36)"
"Dola and Qawm Mirza High School - 1007184",37,"#pc > option:nth-child(37)"
"Pesh Deh Mosque - 1007185",38,"#pc > option:nth-child(38)"
"Sar Sar Aab Baqeria Madrassah - 1007186",39,"#pc > option:nth-child(39)"
"NekPai Secondary School - 1007187",40,"#pc > option:nth-child(40)"
"Sheneah Qawm Barfi Mosque - 1007188",41,"#pc > option:nth-child(41)"
"Chejeen High School - 1007189",42,"#pc > option:nth-child(42)"
"Kharabah Qul Mosque - 1007190",43,"#pc > option:nth-child(43)"
"Qalla e Soukhtah Mosque - 1007191",44,"#pc > option:nth-child(44)"
"Sabz Joi Primary School - 1007192",45,"#pc > option:nth-child(45)"
"Sheneah Takht High School - 1007193",46,"#pc > option:nth-child(46)"
"Dahan Dewalak Secondary School - 1007194",47,"#pc > option:nth-child(47)"
"Myan Malik Dahan Surkh Kungak School - 1007195",48,"#pc > option:nth-child(48)"
"Aestak wa UrduKhak School - 1007196",49,"#pc > option:nth-child(49)"
"Band Kosah Boys High School - 1007197",50,"#pc > option:nth-child(50)"
"Sheneah Tangi Sepi Mosque - 1007198",51,"#pc > option:nth-child(51)"
"Regjoi Qunaq Mosque - 1007199",52,"#pc > option:nth-child(52)"
"Qul Masout Secondary School - 1007200",53,"#pc > option:nth-child(53)"
"Tangi Zardak Mosque - 1007201",54,"#pc > option:nth-child(54)"
"Qarah Ghajour Boys High School - 1007202",55,"#pc > option:nth-child(55)"
"Iljam (Imam Jafar Sadeq) Mosque - 1007203",56,"#pc > option:nth-child(56)"
"Qulbatu Boys High School - 1007204",57,"#pc > option:nth-child(57)"
"Sabz Darah Girls High School - 1008205",1,"#pc > option:nth-child(1)"
"Kaligan Girls High School - 1008206",2,"#pc > option:nth-child(2)"
"Sachak High School - 1008207",3,"#pc > option:nth-child(3)"
"Menbar Khaimah Syah Khak - 1008208",4,"#pc > option:nth-child(4)"
"Ghar Gharak Sarzawlej School - 1008209",5,"#pc > option:nth-child(5)"
"Menbar Sheneah Sarzawlej - 1008210",6,"#pc > option:nth-child(6)"
"Sokhtagi Darah e Chasht Girls High School - 1008211",7,"#pc > option:nth-child(7)"
"Menbar Elbobak - 1008212",8,"#pc > option:nth-child(8)"
"Menbar Pai wocha - 1008213",9,"#pc > option:nth-child(9)"
"Qalla e Gheshar Girls School - 1008214",10,"#pc > option:nth-child(10)"
"Darah e Mazar Girls School - 1008215",11,"#pc > option:nth-child(11)"
"Menbar Zer Dakhmag - 1008216",12,"#pc > option:nth-child(12)"
"Menbar Payeen Du Aabi Shah Qadam - 1008217",13,"#pc > option:nth-child(13)"
"Menbar Dahan Murghi - 1008218",14,"#pc > option:nth-child(14)"
"Darah e Chasht School - 1008219",15,"#pc > option:nth-child(15)"
"Menbar Sheneah Sar Murghi - 1008220",16,"#pc > option:nth-child(16)"
"Sharan Hospital - 1201001",1,"#pc > option:nth-child(1)"
"Ali Baba High School - 1201002",2,"#pc > option:nth-child(2)"
"Mohammad Khil High School (New name) - 1201003",3,"#pc > option:nth-child(3)"
"Old Kotwal School - 1201004",4,"#pc > option:nth-child(4)"
"Hazrat Bilal High School - 1201005",5,"#pc > option:nth-child(5)"
"Rafiq School - 1201006",6,"#pc > option:nth-child(6)"
"Spwanai Mosque - 1201007",7,"#pc > option:nth-child(7)"
"Bi Bi Zainab School - 1201008",8,"#pc > option:nth-child(8)"
"Eisa Ba Ba School - 1201009",9,"#pc > option:nth-child(9)"
"Banosai Qalla Mosque - 1201010",10,"#pc > option:nth-child(10)"
"Al Jihad Primary School - 1201011",11,"#pc > option:nth-child(11)"
"Badria School - 1201012",12,"#pc > option:nth-child(12)"
"Jeenai School - 1201013",13,"#pc > option:nth-child(13)"
"Primary School - 1201014",14,"#pc > option:nth-child(14)"
"Mohammad Ali Jalali School - 1201016",15,"#pc > option:nth-child(15)"
"Cheenah Bagh District Center  - 1202017",1,"#pc > option:nth-child(1)"
"Chamrrai School - 1202018",2,"#pc > option:nth-child(2)"
"Mata Khan High School - 1202019",3,"#pc > option:nth-child(3)"
"Qalla Saidu High School (New name) - 1202020",4,"#pc > option:nth-child(4)"
"Folad Khil High School - 1202021",5,"#pc > option:nth-child(5)"
"Lagahro High School - 1202022",6,"#pc > option:nth-child(6)"
"Maryanni Mosque - 1202023",7,"#pc > option:nth-child(7)"
"Shorkachi Mosque - 1202024",8,"#pc > option:nth-child(8)"
"Koti Khil School - 1202025",9,"#pc > option:nth-child(9)"
"Ibrahimzai Mosque - 1202026",10,"#pc > option:nth-child(10)"
"Baran Mosque - 1203027",1,"#pc > option:nth-child(1)"
"Yousuf Khil Central High School - 1203030",2,"#pc > option:nth-child(2)"
"Saidu Khil Mosque - 1203033",3,"#pc > option:nth-child(3)"
"Mest Bazar School - 1203034",4,"#pc > option:nth-child(4)"
"Noor Mohammad Mosque - 1204035",1,"#pc > option:nth-child(1)"
"Yahya Khil High School - 1204036",2,"#pc > option:nth-child(2)"
"Wahdat Primary School - 1204037",3,"#pc > option:nth-child(3)"
"Qurbuddin School - 1204038",4,"#pc > option:nth-child(4)"
"Nizamuddin Secondary School - 1204039",5,"#pc > option:nth-child(5)"
"Ghaeb Khilo High School - 1204040",6,"#pc > option:nth-child(6)"
"Zanku Mosque - 1204041",7,"#pc > option:nth-child(7)"
"Atalano Primary School - 1204042",8,"#pc > option:nth-child(8)"
"Shaheed Shah Mahmoud Secondary School - 1204043",9,"#pc > option:nth-child(9)"
"Galaruddin School - 1205046",1,"#pc > option:nth-child(1)"
"Eidgah Mosque - 1205047",2,"#pc > option:nth-child(2)"
"Sar Rawzah Primary School - 1205050",3,"#pc > option:nth-child(3)"
"District Administrator Office, Second building - 1205051",4,"#pc > option:nth-child(4)"
"Parraw School - 1205053",5,"#pc > option:nth-child(5)"
"Zwakah High School - 1206055",1,"#pc > option:nth-child(1)"
"Genawah Primary School - 1206056",2,"#pc > option:nth-child(2)"
"Shah Gul Kala, Preliminary School - 1207060",1,"#pc > option:nth-child(1)"
"Hasani High School - 1207062",2,"#pc > option:nth-child(2)"
"Bi Bi Fatima School - 1207063",3,"#pc > option:nth-child(3)"
"Sadatu Mosque - 1207065",4,"#pc > option:nth-child(4)"
"Haji Pacha Mosque - 1207066",5,"#pc > option:nth-child(5)"
"Hashimiah High School - 1207067",6,"#pc > option:nth-child(6)"
"Payenda Khil Village School - 1207068",7,"#pc > option:nth-child(7)"
"Haji Gul Baran Mosque - 1207069",8,"#pc > option:nth-child(8)"
"Kewol Ba Ba School - 1207070",9,"#pc > option:nth-child(9)"
"SeGanah Preliminary School - 1207071",10,"#pc > option:nth-child(10)"
"Shaheed Abdul Hakim Khan School - 1207072",11,"#pc > option:nth-child(11)"
"Bi Bi Zahra High School - 1207073",12,"#pc > option:nth-child(12)"
"Bazar Hospital - 1207074",13,"#pc > option:nth-child(13)"
"Mach Faqeer Mosque - 1208085",1,"#pc > option:nth-child(1)"
"Shakeen Secondary School - 1208086",2,"#pc > option:nth-child(2)"
"Shakeen Bazar Mosque - 1208087",3,"#pc > option:nth-child(3)"
"Soor Daag - 1208088",4,"#pc > option:nth-child(4)"
"Shakeen Primary School - 1208089",5,"#pc > option:nth-child(5)"
"Shah Khil Abad School - 1209104",1,"#pc > option:nth-child(1)"
"Noorani Boys Primary School - 1209105",2,"#pc > option:nth-child(2)"
"Guldad Mosque - 1209106",3,"#pc > option:nth-child(3)"
"Chambaran Girls Primary School - 1209107",4,"#pc > option:nth-child(4)"
"Shaheed Abdul Rahman Primary School - 1209108",5,"#pc > option:nth-child(5)"
"Jani Khil School - 1209109",6,"#pc > option:nth-child(6)"
"Jalozo Girls School - 1209110",7,"#pc > option:nth-child(7)"
"Hasthi Itehad Secondary School - 1209112",8,"#pc > option:nth-child(8)"
"Hasthi Primary School - 1209113",9,"#pc > option:nth-child(9)"
"Reyazul Uloom Secondary School no.2 - 1210114",1,"#pc > option:nth-child(1)"
"Rubat Asghar Kala Primary School - 1210115",2,"#pc > option:nth-child(2)"
"Mohammad Amin Mosque - 1210117",3,"#pc > option:nth-child(3)"
"Markazi High School - 1210118",4,"#pc > option:nth-child(4)"
"Reyazul Uloom Primary School no. 1 - 1210119",5,"#pc > option:nth-child(5)"
"Tawoos Khil Mosque - 1210120",6,"#pc > option:nth-child(6)"
"Abas Khil School - 1210121",7,"#pc > option:nth-child(7)"
"Zami Secondary School - 1210122",8,"#pc > option:nth-child(8)"
"Nawai Qalla High School - 1210123",9,"#pc > option:nth-child(9)"
"Zarra Qalla High School - 1210124",10,"#pc > option:nth-child(10)"
"Khani Qalla High School - 1210126",11,"#pc > option:nth-child(11)"
"Shiekhan Girls Primary School - 1211128",1,"#pc > option:nth-child(1)"
"Pushte Mosque - 1211135",2,"#pc > option:nth-child(2)"
"Chena Khwa Madrassah - 1211138",3,"#pc > option:nth-child(3)"
"Faqeeran village Mosque - 1211139",4,"#pc > option:nth-child(4)"
"Meera Gul Mosque - 1211140",5,"#pc > option:nth-child(5)"
"Sarhadi Zadran village School - 1211141",6,"#pc > option:nth-child(6)"
"Barakat Girls School - 1211143",7,"#pc > option:nth-child(7)"
"Balesh Girls Primary School - 1211144",8,"#pc > option:nth-child(8)"
"Balesh School - 1211145",9,"#pc > option:nth-child(9)"
"Gulaki village Mosque - 1211146",10,"#pc > option:nth-child(10)"
"Urgoon old School Qarkhil - 1211147",11,"#pc > option:nth-child(11)"
"Chambarano Mosque - 1211148",12,"#pc > option:nth-child(12)"
"Kalandar Madrassah - 1211150",13,"#pc > option:nth-child(13)"
"Ba Ba Sahib Shiekhan School - 1211152",14,"#pc > option:nth-child(14)"
"Malakano Secondary School - 1211153",15,"#pc > option:nth-child(15)"
"Noorli School - 1211154",16,"#pc > option:nth-child(16)"
