"province_code","candidate_name_eng","candidate_gender"
"03","Abdul Hay A.K.A Zabit Zelgay","Male"
"03","Sayed Abdul Razaq  Hashimi A.K.A Agha Sahib","Male"
"04"," Nafisa Nasib","Female"
"04","Hajji Ghulam Hasan Akbari","Male"
"04","Fatima Fatir","Female"
"04"," Bakhto Jan Gurbati Wardak","Male"
"04","Zaidullah Haidari","Male"
"05","Nafisa Bahar","Female"
"05","Dr. Rahila Nadir","Female"
"05","Ustad Abdul Razaq Azizi","Male"
"05"," Anisa Safi Sadat","Female"
"05","Alhaj Dr. Asadullah Hematyar","Male"
"05","Alhaj Mustafa Badar","Male"
"05","Eng. Hamisha Gul","Male"
"06","Sayed Sardar Alimi","Male"
"06"," Husai Andar","Female"
"06"," Eng. Qutb-u-din Taraki","Male"
"06"," Hajji Ghulam Naqeeb Jamuradwal","Male"
"06","Abdul Qadir Wahidi","Male"
"06","Ajmal Sultani","Male"
"06"," Aziz Agha","Male"
"06"," Muhammad Nasim Qasimi","Male"
"06","Hajji Abdul Halim Andar","Male"
"06","Muhammad Ali Afzali","Male"
"06","Alhaj Abdul Qadir Saadat Ghaznawi","Male"
"06","Hajji Taj Muhammad Musa","Male"
"06","Muder Shawali Hotak","Male"
"06"," Alhaj Muhammad Esa Akhlaqi","Male"
"06"," Hekmatullah","Male"
"06","Muhammad Sharif Nazari","Male"
"06","Ahmad Sanjar Azad Zoy","Male"
"06","Alhaj Najeebullah Gulestani","Male"
"07"," Gul Andama Dena","Female"
"08","Sardar Khan Zadran","Male"
"08","Haleema Paktianai","Female"
"08","Dost Muhammad Khan Zadran","Male"
"08"," Dr. Zekeria Mutmaien","Male"
"08"," Alhaj Dr. Muhammad Sharif","Male"
"08","Muhammad Zahir Paktiawal","Male"
"08","Lieutenant General  Hai Gul Sulayman Khil","Male"
"09"," Nadia Bawari","Female"
"09","Azizullah Sarwari","Male"
"09"," Nawab Amirzai","Male"
"09","Abdul Rashed Mangal","Male"
"09","Zabit Khan Khatak Zoy","Male"
"09","Hajji Muhammad  Kareem Khan Qazi Zada","Male"
"09"," Kareem Khil","Male"
"09"," Dr. Muhammad Rahman","Male"
"09"," Alhaj Zahidullah Zahid","Male"
"09"," Hazrat Mir Reshtia","Male"
"10","Ustad Ghafori","Male"
"10","Malik Asmatullah Shenwari","Male"
"10","Hasiba Sadat","Female"
"10"," Fauzia Hotak","Female"
"10","Eng. Hashima Sharif","Female"
"10","Abdullah Qari Baba","Male"
"10"," Hajji Anaam Shah Anaam Shenwari","Male"
"10","Hajji Feda Mahmud Miakhel","Male"
"10","Qazi Samiullah","Male"
"10","Sediq Mansor Ansari","Male"
"10","Ihsanullah Munawr","Male"
"10","Lutf-u-Rahman Khamosh","Male"
"10"," Nabatai Safi","Female"
"10","Sajida Hashimi","Female"
"10","Barialay Gullyar","Male"
"10"," Maiwand Shenwari","Male"
"10","Sayed Jalal Ahmad Pacha","Male"
"10"," Dr. Maliha Obaidi","Female"
"10","Muhammad Ishaq Atmar","Male"
"10","Qazi Naseer Ahmad","Male"
"11","Shuja ‐ul‐ Mulk Jalala","Male"
