"results_status","province_code","district_code","pc_code","reporting_results"
"PRELIMINARY","01","0101","0101233","YES"
"FINAL","01","0101","0101234","YES"
"PRELIMINARY","01","0101","0101234","YES"
"FINAL","01","0101","0101235","NO"
"PRELIMINARY","01","0101","0101235","YES"
"FINAL","01","0101","0101236","YES"
"PRELIMINARY","01","0101","0101236","YES"
"FINAL","01","0101","0101237","YES"
"PRELIMINARY","01","0101","0101237","YES"
"FINAL","01","0101","0101238","YES"
"PRELIMINARY","01","0101","0101238","YES"
"FINAL","01","0101","0101239","YES"
"PRELIMINARY","01","0101","0101239","YES"
"FINAL","01","0101","0101240","YES"
"PRELIMINARY","01","0101","0101240","YES"
"FINAL","01","0101","0101241","YES"
"PRELIMINARY","01","0101","0101241","YES"
"FINAL","01","0101","0101242","YES"
"PRELIMINARY","01","0101","0101242","YES"
"FINAL","01","0101","0101243","YES"
"PRELIMINARY","01","0101","0101243","YES"
"FINAL","01","0101","0101244","YES"
"PRELIMINARY","01","0101","0101244","YES"
"FINAL","01","0101","0101245","YES"
"PRELIMINARY","01","0101","0101245","YES"
"FINAL","01","0101","0101246","NO"
"PRELIMINARY","01","0101","0101246","YES"
"FINAL","01","0101","0101247","YES"
"PRELIMINARY","01","0101","0101247","YES"
"FINAL","01","0101","0101248","YES"
"PRELIMINARY","01","0101","0101248","YES"
"FINAL","01","0101","0101249","YES"
"PRELIMINARY","01","0101","0101249","YES"
"FINAL","01","0101","0101250","YES"
"PRELIMINARY","01","0101","0101250","YES"
"FINAL","01","0101","0101251","YES"
"PRELIMINARY","01","0101","0101251","YES"
"FINAL","01","0101","0101252","YES"
"PRELIMINARY","01","0101","0101252","YES"
"FINAL","01","0101","0101253","NO"
"PRELIMINARY","01","0101","0101253","YES"
"FINAL","01","0101","0101254","NO"
"PRELIMINARY","01","0101","0101254","YES"
"FINAL","01","0101","0101255","YES"
"PRELIMINARY","01","0101","0101255","YES"
"FINAL","01","0101","0101256","YES"
"PRELIMINARY","01","0101","0101256","YES"
"FINAL","01","0101","0101257","YES"
"PRELIMINARY","01","0101","0101257","YES"
"FINAL","01","0101","0101258","YES"
"PRELIMINARY","01","0101","0101258","YES"
"FINAL","01","0101","0101259","YES"
"PRELIMINARY","01","0101","0101259","YES"
"FINAL","01","0101","0101260","YES"
"PRELIMINARY","01","0101","0101260","YES"
"FINAL","01","0101","0101261","YES"
"PRELIMINARY","01","0101","0101261","YES"
"FINAL","01","0101","0101262","YES"
"PRELIMINARY","01","0101","0101262","YES"
"FINAL","01","0101","0101263","YES"
"PRELIMINARY","01","0101","0101263","YES"
"FINAL","01","0101","0101264","YES"
"PRELIMINARY","01","0101","0101264","YES"
"FINAL","01","0101","0101265","YES"
"PRELIMINARY","01","0101","0101265","YES"
"FINAL","01","0101","0101266","YES"
"PRELIMINARY","01","0101","0101266","YES"
"FINAL","01","0101","0101267","YES"
"PRELIMINARY","01","0101","0101267","YES"
"FINAL","01","0101","0101268","YES"
"PRELIMINARY","01","0101","0101268","YES"
"FINAL","01","0101","0101269","YES"
"PRELIMINARY","01","0101","0101269","YES"
"FINAL","01","0101","0101270","YES"
"PRELIMINARY","01","0101","0101270","YES"
"FINAL","01","0101","0101271","YES"
"PRELIMINARY","01","0101","0101271","YES"
"FINAL","01","0101","0101272","YES"
"PRELIMINARY","01","0101","0101272","YES"
"FINAL","01","0101","0101273","YES"
"PRELIMINARY","01","0101","0101273","YES"
"FINAL","01","0101","0101274","YES"
"PRELIMINARY","01","0101","0101274","YES"
"FINAL","01","0101","0101275","YES"
"PRELIMINARY","01","0101","0101275","YES"
"FINAL","01","0101","0101276","YES"
"PRELIMINARY","01","0101","0101276","YES"
"FINAL","01","0101","0101277","YES"
"PRELIMINARY","01","0101","0101277","YES"
"FINAL","01","0101","0101278","YES"
"PRELIMINARY","01","0101","0101278","YES"
"FINAL","01","0101","0101279","YES"
"PRELIMINARY","01","0101","0101279","YES"
"FINAL","01","0101","0101280","YES"
"PRELIMINARY","01","0101","0101280","YES"
"FINAL","01","0101","0101281","YES"
"PRELIMINARY","01","0101","0101281","YES"
"FINAL","01","0101","0101282","YES"
"PRELIMINARY","01","0101","0101282","YES"
"FINAL","01","0101","0101283","YES"
"PRELIMINARY","01","0101","0101283","YES"
"FINAL","01","0101","0101284","YES"
"PRELIMINARY","01","0101","0101284","YES"
"FINAL","01","0101","0101285","YES"
"PRELIMINARY","01","0101","0101285","YES"
"FINAL","01","0101","0101286","YES"
"PRELIMINARY","01","0101","0101286","YES"
"FINAL","01","0101","0101287","YES"
"PRELIMINARY","01","0101","0101287","YES"
"FINAL","01","0101","0101288","NO"
"PRELIMINARY","01","0101","0101288","YES"
"FINAL","01","0101","0101289","YES"
"PRELIMINARY","01","0101","0101289","YES"
"FINAL","01","0101","0101290","YES"
"PRELIMINARY","01","0101","0101290","YES"
"FINAL","01","0101","0101291","YES"
"PRELIMINARY","01","0101","0101291","YES"
"FINAL","01","0101","0101292","YES"
"PRELIMINARY","01","0101","0101292","YES"
"FINAL","01","0101","0101293","YES"
"PRELIMINARY","01","0101","0101293","YES"
"FINAL","01","0101","0101294","YES"
"PRELIMINARY","01","0101","0101294","YES"
"FINAL","01","0101","0101295","YES"
"PRELIMINARY","01","0101","0101295","YES"
"FINAL","01","0101","0101296","YES"
"PRELIMINARY","01","0101","0101296","YES"
"FINAL","01","0101","0101297","NO"
"PRELIMINARY","01","0101","0101297","YES"
"FINAL","01","0101","0101300","YES"
"PRELIMINARY","01","0101","0101300","YES"
"FINAL","01","0101","0101301","YES"
"PRELIMINARY","01","0101","0101301","YES"
"FINAL","01","0101","0101302","YES"
"PRELIMINARY","01","0101","0101302","YES"
"FINAL","01","0101","0101303","YES"
"PRELIMINARY","01","0101","0101303","YES"
"FINAL","01","0101","0101304","YES"
"PRELIMINARY","01","0101","0101304","YES"
"FINAL","01","0101","0101305","YES"
"PRELIMINARY","01","0101","0101305","YES"
"FINAL","01","0101","0101306","YES"
"PRELIMINARY","01","0101","0101306","YES"
"FINAL","01","0101","0101307","YES"
"PRELIMINARY","01","0101","0101307","YES"
"FINAL","01","0101","0101308","YES"
"PRELIMINARY","01","0101","0101308","YES"
"FINAL","01","0101","0101309","YES"
"PRELIMINARY","01","0101","0101309","YES"
"FINAL","01","0101","0101310","YES"
"PRELIMINARY","01","0101","0101310","YES"
"FINAL","01","0101","0101311","YES"
"PRELIMINARY","01","0101","0101311","YES"
"FINAL","01","0101","0101312","YES"
"PRELIMINARY","01","0101","0101312","YES"
"FINAL","01","0101","0101313","NO"
"PRELIMINARY","01","0101","0101313","YES"
"FINAL","01","0101","0101314","YES"
"PRELIMINARY","01","0101","0101314","YES"
"FINAL","01","0101","0101315","YES"
"PRELIMINARY","01","0101","0101315","YES"
"FINAL","01","0101","0101316","YES"
"PRELIMINARY","01","0101","0101316","YES"
"FINAL","01","0101","0101317","YES"
"PRELIMINARY","01","0101","0101317","YES"
"FINAL","01","0101","0101318","YES"
"PRELIMINARY","01","0101","0101318","YES"
"FINAL","01","0101","0101319","YES"
"PRELIMINARY","01","0101","0101319","YES"
"FINAL","01","0101","0101320","YES"
"PRELIMINARY","01","0101","0101320","YES"
"FINAL","01","0101","0101321","NO"
"PRELIMINARY","01","0101","0101321","NO"
"FINAL","01","0101","0101322","YES"
"PRELIMINARY","01","0101","0101322","YES"
"FINAL","01","0101","0101323","NO"
"PRELIMINARY","01","0101","0101323","YES"
"FINAL","01","0101","0101324","YES"
"PRELIMINARY","01","0101","0101324","YES"
"FINAL","01","0101","0101325","YES"
"PRELIMINARY","01","0101","0101325","YES"
"FINAL","01","0101","0101326","YES"
"PRELIMINARY","01","0101","0101326","YES"
"FINAL","01","0101","0101327","YES"
"PRELIMINARY","01","0101","0101327","YES"
"FINAL","01","0101","0101328","YES"
"PRELIMINARY","01","0101","0101328","YES"
"FINAL","01","0101","0101329","YES"
"PRELIMINARY","01","0101","0101329","YES"
"FINAL","01","0101","0101330","YES"
"PRELIMINARY","01","0101","0101330","YES"
"FINAL","01","0101","0101331","YES"
"PRELIMINARY","01","0101","0101331","YES"
"FINAL","01","0101","0101332","YES"
"PRELIMINARY","01","0101","0101332","YES"
"FINAL","01","0101","0101333","YES"
"PRELIMINARY","01","0101","0101333","YES"
"FINAL","01","0101","0101334","YES"
