"province_code","district_code","pc_code","ps_code","prelim_reporting","final_reporting"
"01","0101","0101060","0101060-06","YES","YES"
"01","0101","0101060","0101060-07","YES","YES"
"01","0101","0101061","0101061-01","YES","YES"
"01","0101","0101061","0101061-02","YES","YES"
"01","0101","0101061","0101061-03","YES","YES"
"01","0101","0101061","0101061-04","YES","YES"
"01","0101","0101061","0101061-05","YES","YES"
"01","0101","0101061","0101061-06","YES","YES"
"01","0101","0101061","0101061-07","YES","YES"
"01","0101","0101061","0101061-08","YES","YES"
"01","0101","0101061","0101061-09","YES","NO"
"01","0101","0101061","0101061-10","YES","NO"
"01","0101","0101061","0101061-11","YES","NO"
"01","0101","0101061","0101061-12","YES","NO"
"01","0101","0101061","0101061-13","YES","NO"
"01","0101","0101062","0101062-01","YES","YES"
"01","0101","0101062","0101062-02","YES","YES"
"01","0101","0101062","0101062-03","YES","YES"
"01","0101","0101062","0101062-04","YES","YES"
"01","0101","0101062","0101062-05","YES","YES"
"01","0101","0101062","0101062-06","YES","YES"
"01","0101","0101062","0101062-07","YES","YES"
"01","0101","0101062","0101062-08","YES","YES"
"01","0101","0101062","0101062-09","YES","YES"
"01","0101","0101062","0101062-10","YES","YES"
"01","0101","0101063","0101063-01","YES","NO"
"01","0101","0101063","0101063-02","YES","NO"
"01","0101","0101063","0101063-03","YES","NO"
"01","0101","0101063","0101063-04","YES","NO"
"01","0101","0101063","0101063-05","YES","NO"
"01","0101","0101063","0101063-06","YES","NO"
"01","0101","0101064","0101064-01","YES","YES"
"01","0101","0101064","0101064-02","YES","YES"
"01","0101","0101064","0101064-03","YES","YES"
"01","0101","0101064","0101064-04","YES","YES"
"01","0101","0101064","0101064-05","YES","YES"
"01","0101","0101064","0101064-06","YES","YES"
"01","0101","0101065","0101065-01","YES","YES"
"01","0101","0101065","0101065-02","YES","YES"
"01","0101","0101065","0101065-03","YES","YES"
"01","0101","0101065","0101065-04","YES","YES"
"01","0101","0101065","0101065-05","YES","YES"
"01","0101","0101065","0101065-06","YES","YES"
"01","0101","0101065","0101065-07","YES","YES"
"01","0101","0101066","0101066-01","YES","YES"
"01","0101","0101066","0101066-02","YES","YES"
"01","0101","0101066","0101066-03","YES","YES"
"01","0101","0101066","0101066-04","YES","YES"
"01","0101","0101067","0101067-01","YES","YES"
"01","0101","0101067","0101067-02","YES","YES"
"01","0101","0101067","0101067-03","YES","NO"
"01","0101","0101067","0101067-04","YES","NO"
"01","0101","0101068","0101068-01","YES","NO"
"01","0101","0101068","0101068-02","YES","NO"
"01","0101","0101068","0101068-03","YES","NO"
"01","0101","0101069","0101069-01","YES","YES"
"01","0101","0101069","0101069-02","YES","YES"
"01","0101","0101069","0101069-03","YES","YES"
"01","0101","0101069","0101069-04","YES","YES"
"01","0101","0101069","0101069-05","YES","YES"
"01","0101","0101070","0101070-01","YES","YES"
"01","0101","0101070","0101070-02","YES","YES"
"01","0101","0101070","0101070-03","YES","YES"
"01","0101","0101070","0101070-04","YES","YES"
"01","0101","0101070","0101070-05","YES","YES"
"01","0101","0101070","0101070-06","YES","YES"
"01","0101","0101070","0101070-07","YES","YES"
"01","0101","0101071","0101071-01","YES","YES"
"01","0101","0101071","0101071-02","YES","YES"
"01","0101","0101071","0101071-03","YES","YES"
"01","0101","0101071","0101071-04","YES","YES"
"01","0101","0101071","0101071-05","YES","NO"
"01","0101","0101071","0101071-06","YES","NO"
"01","0101","0101072","0101072-01","YES","NO"
"01","0101","0101072","0101072-02","YES","NO"
"01","0101","0101072","0101072-03","YES","NO"
"01","0101","0101072","0101072-04","YES","NO"
"01","0101","0101073","0101073-01","YES","YES"
"01","0101","0101073","0101073-02","YES","YES"
"01","0101","0101073","0101073-03","YES","YES"
"01","0101","0101073","0101073-04","YES","YES"
"01","0101","0101073","0101073-05","YES","YES"
"01","0101","0101074","0101074-01","YES","YES"
"01","0101","0101074","0101074-02","YES","YES"
"01","0101","0101074","0101074-03","YES","YES"
"01","0101","0101074","0101074-04","YES","YES"
"01","0101","0101074","0101074-05","YES","YES"
"01","0101","0101074","0101074-06","YES","YES"
"01","0101","0101075","0101075-01","YES","YES"
"01","0101","0101075","0101075-02","YES","YES"
"01","0101","0101075","0101075-03","YES","YES"
"01","0101","0101075","0101075-04","YES","YES"
"01","0101","0101076","0101076-01","YES","YES"
"01","0101","0101076","0101076-02","YES","YES"
"01","0101","0101076","0101076-03","YES","YES"
"01","0101","0101076","0101076-04","YES","YES"
"01","0101","0101077","0101077-01","YES","YES"
"01","0101","0101077","0101077-02","YES","YES"
"01","0101","0101077","0101077-03","YES","YES"
"01","0101","0101077","0101077-04","YES","YES"
"01","0101","0101077","0101077-05","YES","YES"
"01","0101","0101077","0101077-06","YES","YES"
"01","0101","0101078","0101078-01","YES","YES"
"01","0101","0101078","0101078-02","YES","YES"
"01","0101","0101078","0101078-03","YES","YES"
"01","0101","0101079","0101079-01","YES","YES"
"01","0101","0101079","0101079-02","YES","YES"
"01","0101","0101079","0101079-03","YES","YES"
"01","0101","0101079","0101079-04","YES","YES"
"01","0101","0101080","0101080-01","YES","YES"
"01","0101","0101080","0101080-02","YES","YES"
"01","0101","0101080","0101080-03","YES","YES"
"01","0101","0101080","0101080-04","YES","YES"
"01","0101","0101080","0101080-05","YES","YES"
"01","0101","0101080","0101080-06","YES","YES"
"01","0101","0101081","0101081-01","YES","YES"
"01","0101","0101081","0101081-02","YES","YES"
"01","0101","0101081","0101081-03","YES","YES"
"01","0101","0101081","0101081-04","YES","YES"
"01","0101","0101081","0101081-05","YES","YES"
"01","0101","0101081","0101081-06","YES","YES"
"01","0101","0101082","0101082-01","YES","YES"
"01","0101","0101082","0101082-02","YES","YES"
"01","0101","0101082","0101082-03","YES","YES"
"01","0101","0101082","0101082-04","YES","YES"
"01","0101","0101082","0101082-05","YES","YES"
"01","0101","0101082","0101082-06","YES","YES"
"01","0101","0101082","0101082-07","YES","YES"
"01","0101","0101082","0101082-08","YES","YES"
"01","0101","0101082","0101082-09","YES","YES"
"01","0101","0101082","0101082-10","YES","YES"
"01","0101","0101083","0101083-01","YES","YES"
"01","0101","0101083","0101083-02","YES","YES"
"01","0101","0101083","0101083-03","YES","YES"
"01","0101","0101083","0101083-04","YES","YES"
"01","0101","0101084","0101084-01","YES","YES"
"01","0101","0101084","0101084-02","YES","YES"
"01","0101","0101084","0101084-03","YES","YES"
"01","0101","0101084","0101084-04","YES","YES"
"01","0101","0101084","0101084-05","YES","YES"
"01","0101","0101085","0101085-01","YES","YES"
"01","0101","0101085","0101085-02","YES","YES"
"01","0101","0101085","0101085-03","YES","YES"
"01","0101","0101086","0101086-01","YES","YES"
"01","0101","0101086","0101086-02","YES","NO"
"01","0101","0101086","0101086-03","YES","NO"
"01","0101","0101086","0101086-04","YES","NO"
"01","0101","0101086","0101086-05","YES","NO"
"01","0101","0101086","0101086-06","YES","NO"
"01","0101","0101087","0101087-01","YES","NO"
"01","0101","0101087","0101087-02","YES","NO"
"01","0101","0101087","0101087-03","YES","NO"
"01","0101","0101087","0101087-04","YES","NO"
"01","0101","0101088","0101088-01","YES","YES"
"01","0101","0101088","0101088-02","YES","YES"
"01","0101","0101088","0101088-03","YES","YES"
"01","0101","0101088","0101088-04","YES","YES"
"01","0101","0101088","0101088-05","YES","YES"
"01","0101","0101088","0101088-06","YES","YES"
"01","0101","0101088","0101088-07","YES","YES"
"01","0101","0101088","0101088-08","YES","YES"
"01","0101","0101088","0101088-09","YES","YES"
"01","0101","0101088","0101088-10","YES","YES"
"01","0101","0101088","0101088-11","YES","YES"
"01","0101","0101089","0101089-01","YES","YES"
"01","0101","0101089","0101089-02","YES","YES"
"01","0101","0101089","0101089-03","YES","YES"
"01","0101","0101089","0101089-04","YES","NO"
"01","0101","0101089","0101089-05","YES","NO"
"01","0101","0101090","0101090-01","YES","YES"
