"results_status","electorate","province_code","pc_count","ps_count","candidate_count","vote_count"
"PRELIMINARY","Kuchi","05",17,118,44,2381
"FINAL","Kuchi","06",115,742,44,4806
"PRELIMINARY","Kuchi","06",115,737,44,4806
"FINAL","Kuchi","07",17,131,44,1598
"PRELIMINARY","Kuchi","07",17,133,44,1598
"FINAL","Kuchi","09",11,62,44,2492
"PRELIMINARY","Kuchi","09",11,62,44,2492
"FINAL","Kuchi","12",52,184,44,766
"PRELIMINARY","Kuchi","12",52,207,44,766
"FINAL","Kuchi","13",16,17,44,875
"PRELIMINARY","Kuchi","13",16,92,44,875
"FINAL","Kuchi","14",24,117,44,1203
"PRELIMINARY","Kuchi","14",24,118,44,1203
"FINAL","Kuchi","15",2,14,44,19
"PRELIMINARY","Kuchi","15",2,14,44,19
"FINAL","Kuchi","18",1,3,44,34
"PRELIMINARY","Kuchi","18",1,3,44,34
"FINAL","Kuchi","20",1,6,44,8
"PRELIMINARY","Kuchi","20",1,6,44,8
"FINAL","Kuchi","21",23,139,44,1241
"PRELIMINARY","Kuchi","21",23,141,44,1241
"FINAL","Kuchi","22",1,5,44,239
"PRELIMINARY","Kuchi","22",1,5,44,239
"FINAL","Kuchi","23",5,25,44,79
"PRELIMINARY","Kuchi","23",5,26,44,79
"FINAL","Kuchi","25",2,4,44,178
"PRELIMINARY","Kuchi","25",2,4,44,178
"FINAL","Kuchi","26",16,92,44,308
"PRELIMINARY","Kuchi","26",16,92,44,308
"FINAL","Kuchi","27",86,673,44,8458
"PRELIMINARY","Kuchi","27",86,676,44,8458
"FINAL","Kuchi","28",3,12,44,137
"PRELIMINARY","Kuchi","28",3,12,44,137
"FINAL","Kuchi","30",22,204,44,249
"PRELIMINARY","Kuchi","30",22,206,44,249
"FINAL","Kuchi","31",7,30,44,404
"PRELIMINARY","Kuchi","31",7,30,44,404
"FINAL","Kuchi","32",15,92,44,984
"PRELIMINARY","Kuchi","32",15,98,44,984
"FINAL","Kuchi","33",10,64,44,45
"PRELIMINARY","Kuchi","33",10,66,44,45
"FINAL","Kuchi","34",4,37,44,70
"PRELIMINARY","Kuchi","34",4,37,44,70
"FINAL","Sikh / Hindu","01",2,2,1,216
"PRELIMINARY","Sikh / Hindu","01",2,10,1,216
"FINAL","Sikh / Hindu","06",2,16,1,87
"PRELIMINARY","Sikh / Hindu","06",2,16,1,87
