"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","iec_vote_total","vote_share","candidate_rank","results_date","results_status","calculated_vote_total","error"
"01","Kabul",570353,"1-1257-12",412,413,"Haji Hamidullah Nawabi","حاجی حمید الله  نوابی ","حاجی حمید الله  نوابی ",292,0.000511963643568106,376,"2019-05-15","Results Status : Certified",194,"ERROR"
"01","Kabul",570353,"1-1273-91",461,462,"Mohammad Ajmal Hodman","محمد اجمل هوډ من ","محمد اجمل هوډ من ",290,0.000508457043269694,377,"2019-05-15","Results Status : Certified",215,"ERROR"
"01","Kabul",570353,"1-1105-111",229,229,"Sayed Nasim Hashimi","سید نسیم هاشمی","سید نسیم هاشمی",290,0.000508457043269694,377,"2019-05-15","Results Status : Certified",143,"ERROR"
"01","Kabul",570353,"1-1819-136",793,794,"Mohammad Qasem Ferdawsi","محمد قاسم فردوسی ","محمد قاسم فردوسی ",289,0.000506703743120488,378,"2019-05-15","Results Status : Certified",192,"ERROR"
"01","Kabul",570353,"1-1027-1",589,590,"Noor Ahmad Ghafoori","نوراحمد غفوری","نوراحمد غفوری",288,0.000504950442971283,379,"2019-05-15","Results Status : Certified",213,"ERROR"
"01","Kabul",570353,"1-1129-79",391,392,"Mohammad Aref","محمد عارف ","محمد عارف ",288,0.000504950442971283,379,"2019-05-15","Results Status : Certified",249,"ERROR"
"01","Kabul",570353,"1-1548-197",100,100,"Mirza Alizadah","میرزا علی زاده","میرزا علی زاده",288,0.000504950442971283,379,"2019-05-15","Results Status : Certified",168,"ERROR"
"01","Kabul",570353,"1-1312-49",544,545,"Kheyal Mohammad Khpelwak","خیال محمد خپلواک","خیال محمد خپلواک",287,0.000503197142822077,380,"2019-05-15","Results Status : Certified",205,"ERROR"
"01","Kabul",570353,"1-1420-6",747,748,"Sayed Maroof Hashemi Jahed","سید معروف ها شمی جاهد","سید معروف ها شمی جاهد",283,0.000496183942225254,381,"2019-05-15","Results Status : Certified",201,"ERROR"
"01","Kabul",570353,"1-1791-1178",675,676,"Alhaj Khaibar Zeyarmal","الحاج خیبر زیارمل ","الحاج خیبر زیارمل ",283,0.000496183942225254,381,"2019-05-15","Results Status : Certified",211,"ERROR"
"01","Kabul",570353,"1-1793-167",162,162,"Dr. Ajmal Aazem","داکتر اجمل عازم ","داکتر اجمل عازم ",281,0.000492677341926842,382,"2019-05-15","Results Status : Certified",171,"ERROR"
"01","Kabul",570353,"1-1415-1169",27,27,"Mohammad Qayoum Khostwal","محمد قیوم خوستوال ","محمد قیوم خوستوال ",280,0.000490924041777636,383,"2019-05-15","Results Status : Certified",214,"ERROR"
"01","Kabul",570353,"1-1235-71",482,483,"Dr. Mohebullah Moheb","دوکتور محب الله  محب","دوکتور محب الله  محب",279,0.00048917074162843,384,"2019-05-15","Results Status : Certified",183,"ERROR"
"01","Kabul",570353,"1-1700-93",364,365,"Haji Taza khan Zurmati","حاجی تازه خان زرمتی","حاجی تازه خان زرمتی",279,0.00048917074162843,384,"2019-05-15","Results Status : Certified",252,"ERROR"
"01","Kabul",570353,"1-1490-20",690,691,"Jamshid Iqbal","جمشید اقبال","جمشید اقبال",278,0.000487417441479224,385,"2019-05-15","Results Status : Certified",147,"ERROR"
"01","Kabul",570353,"1-1639-57",289,289,"Salma Akbari","سلما اکبری ","سلما اکبری ",278,0.000487417441479224,385,"2019-05-15","Results Status : Certified",162,"ERROR"
"01","Kabul",570353,"1-1878-154",291,291,"Abdul Rauf Assadi","عبدالروف اسدی ","عبدالروف اسدی ",277,0.000485664141330018,386,"2019-05-15","Results Status : Certified",205,"ERROR"
"01","Kabul",570353,"1-1064-7",75,75,"Mohammad Sajad Hashimi","محمد سجاد هاشمی ","محمد سجاد هاشمی ",277,0.000485664141330018,386,"2019-05-15","Results Status : Certified",185,"ERROR"
"01","Kabul",570353,"1-1184-84",345,345,"Wahid Rahman Amiri","وحید الرحمن امیری ","وحید الرحمن امیری ",276,0.000483910841180813,387,"2019-05-15","Results Status : Certified",202,"ERROR"
"01","Kabul",570353,"35-1771-158",85,85,"Gen. Abdul Rashid Sheja","جنرال عبدالرشید شجاع","جنرال عبدالرشید شجاع",276,0.000483910841180813,387,"2019-05-15","Results Status : Certified",220,"ERROR"
"01","Kabul",570353,"1-1701-6",622,623,"Najibullah Kabuli","نجیب الله کابلی","نجیب الله کابلی",273,0.000478650940733195,388,"2019-05-15","Results Status : Certified",189,"ERROR"
"01","Kabul",570353,"1-1547-22",206,206,"Dr. Abdul Ali Mohammadi","دوکتور عبدالعلی محمدی","دوکتور عبدالعلی محمدی",272,0.000476897640583989,389,"2019-05-15","Results Status : Certified",171,"ERROR"
"01","Kabul",570353,"1-1597-1209",380,381,"Mohammad Yahya Wayar Ahmadzai","محمد یحی ویاړ احمدزی","محمد یحی ویاړ احمدزی",271,0.000475144340434783,390,"2019-05-15","Results Status : Certified",215,"ERROR"
"01","Kabul",570353,"1-1785-130",349,349,"Dr. Ziauddin Kamal ","داکتر ضیأالدین کمال ","داکتر ضیأالدین کمال ",271,0.000475144340434783,390,"2019-05-15","Results Status : Certified",210,"ERROR"
"01","Kabul",570353,"1-1052-88",629,630,"Abdul Baqi Saranwal Hotak","عبدالباقی څارنوال هوتک","عبدالباقی څارنوال هوتک",270,0.000473391040285578,391,"2019-05-15","Results Status : Certified",205,"ERROR"
"01","Kabul",570353,"1-1259-105",558,559,"Mohammad Allamazadah","محمد علامه زاده ","محمد علامه زاده ",270,0.000473391040285578,391,"2019-05-15","Results Status : Certified",180,"ERROR"
"01","Kabul",570353,"1-1613-65",158,158,"Ahmadullah Barikzai","احمد الله بارکزی","احمد الله بارکزی",269,0.000471637740136372,392,"2019-05-15","Results Status : Certified",173,"ERROR"
"01","Kabul",570353,"1-1826-188",567,568,"Sahel Khan","ساحل خان","ساحل خان",266,0.000466377839688754,393,"2019-05-15","Results Status : Certified",205,"ERROR"
"01","Kabul",570353,"1-1333-55",453,454,"Abdul Hadi Naseri","عبدالهادی ناصری","عبدالهادی ناصری",266,0.000466377839688754,393,"2019-05-15","Results Status : Certified",168,"ERROR"
"01","Kabul",570353,"1-1806-1167",6,6,"Shokria Jalalzai","شکریه جلالزی ","شکریه جلالزی ",266,0.000466377839688754,393,"2019-05-15","Results Status : Certified",175,"ERROR"
