"pc_code","prelim_results_reporting","final_results_reporting"
"0603098","YES","YES"
"0603099","NO","NO"
"0603100","NO","NO"
"0604101","YES","YES"
"0604102","YES","YES"
"0604103","YES","YES"
"0604104","YES","YES"
"0604105","NO","NO"
"0604106","NO","NO"
"0604107","YES","YES"
"0604108","YES","YES"
"0604109","YES","YES"
"0604110","YES","YES"
"0604111","NO","NO"
"0604112","YES","YES"
"0604113","YES","YES"
"0604114","YES","YES"
"0604115","NO","NO"
"0604116","YES","YES"
"0604117","YES","YES"
"0604118","YES","YES"
"0604119","YES","YES"
"0604120","NO","NO"
"0604121","NO","NO"
"0605122","YES","YES"
"0605123","YES","YES"
"0605124","YES","YES"
"0605125","YES","YES"
"0605126","YES","YES"
"0605127","YES","YES"
"0605128","YES","YES"
"0605129","YES","YES"
"0605130","YES","YES"
"0605131","YES","YES"
"0605132","YES","YES"
"0605133","YES","YES"
"0605134","YES","YES"
"0605135","YES","YES"
"0605136","YES","YES"
"0605137","YES","YES"
"0605138","YES","YES"
"0605139","YES","YES"
"0605140","YES","YES"
"0605141","YES","YES"
"0605142","YES","YES"
"0605143","YES","YES"
"0605144","YES","YES"
"0605145","YES","YES"
"0605146","YES","YES"
"0605147","YES","YES"
"0606148","YES","YES"
"0606149","YES","YES"
"0606150","YES","YES"
"0606151","YES","YES"
"0606152","YES","YES"
"0606153","YES","YES"
"0606154","YES","YES"
"0606155","YES","YES"
"0606156","YES","YES"
"0606157","YES","YES"
"0606158","YES","YES"
"0606159","YES","YES"
"0606160","YES","YES"
"0606161","YES","YES"
"0606162","YES","YES"
"0606163","YES","YES"
"0606164","YES","YES"
"0606165","YES","YES"
"0606166","YES","YES"
"0606167","YES","YES"
"0606168","YES","YES"
"0606169","YES","YES"
"0606170","YES","YES"
"0606171","YES","YES"
"0606172","YES","YES"
"0607173","YES","YES"
"0607174","YES","YES"
"0607175","YES","YES"
"0607176","YES","YES"
"0607177","YES","YES"
"0607178","YES","YES"
"0607179","YES","YES"
"0607180","YES","YES"
"0607181","YES","YES"
"0607182","YES","YES"
"0607183","YES","YES"
"0607184","YES","YES"
"0607185","YES","YES"
"0607186","YES","YES"
"0607187","YES","YES"
"0607188","YES","YES"
"0607189","YES","YES"
"0607190","YES","YES"
"0607191","YES","YES"
"0608192","YES","YES"
"0608193","YES","YES"
"0608194","YES","YES"
"0608195","YES","YES"
"0608196","YES","YES"
"0608197","YES","YES"
"0608198","YES","YES"
"0608199","YES","YES"
"0608200","YES","YES"
"0608201","YES","YES"
"0608202","YES","YES"
"0608203","YES","YES"
"0608204","YES","YES"
"0608205","YES","YES"
"0608206","YES","YES"
"0608207","YES","YES"
"0608208","YES","YES"
"0608209","YES","YES"
"0608210","YES","YES"
"0608211","YES","YES"
"0608212","NO","NO"
"0608213","YES","YES"
"0608214","NO","NO"
"0608215","YES","YES"
"0608216","YES","YES"
"0608217","YES","YES"
"0608218","NO","NO"
"0608219","NO","NO"
"0608220","NO","NO"
"0609221","YES","YES"
"0609222","YES","YES"
"0609223","YES","YES"
"0609224","YES","YES"
"0609225","YES","YES"
"0609226","NO","NO"
"0609227","YES","YES"
"0609228","YES","YES"
"0609229","YES","YES"
"0609230","NO","NO"
"0609231","YES","YES"
"0609232","YES","YES"
"0609233","YES","YES"
"0609234","YES","YES"
"0609235","YES","YES"
"0609236","YES","YES"
"0609237","YES","YES"
"0609238","YES","YES"
"0609239","YES","YES"
"0609240","YES","YES"
"0609241","YES","YES"
"0610242","NO","NO"
"0610243","YES","YES"
"0610244","YES","YES"
"0610245","YES","YES"
"0610246","YES","YES"
"0610247","YES","YES"
"0610248","YES","YES"
"0610249","YES","YES"
"0610250","YES","YES"
"0610251","YES","YES"
"0610252","NO","NO"
"0610253","NO","NO"
"0610254","YES","YES"
"0610255","NO","NO"
"0611256","NO","NO"
"0611257","NO","NO"
"0611258","YES","YES"
"0611259","YES","YES"
"0611260","YES","YES"
"0611261","YES","YES"
"0611262","YES","YES"
"0611263","YES","YES"
"0611264","YES","YES"
"0611265","YES","YES"
"0611266","YES","YES"
"0611267","YES","YES"
"0611268","YES","YES"
"0611269","YES","YES"
"0611270","YES","YES"
"0611271","YES","YES"
"0611272","NO","NO"
"0612273","YES","YES"
"0612274","YES","YES"
"0612275","YES","YES"
"0612276","YES","YES"
"0612277","YES","YES"
"0612278","YES","YES"
"0612279","YES","YES"
"0612280","YES","YES"
"0612281","YES","YES"
"0612282","YES","YES"
"0612283","YES","YES"
"0612284","YES","YES"
"0612285","YES","YES"
"0612286","YES","YES"
"0612287","YES","YES"
"0612288","YES","YES"
"0613289","YES","YES"
"0613290","YES","YES"
"0613291","YES","YES"
"0613292","YES","YES"
"0613293","YES","YES"
"0613294","YES","YES"
"0613295","YES","YES"
"0613296","YES","YES"
"0613297","YES","YES"
"0613298","YES","YES"
"0613299","YES","YES"
"0613300","YES","YES"
"0613301","YES","YES"
"0613302","YES","YES"
"0613303","YES","YES"
"0613304","YES","YES"
"0613305","YES","YES"
"0614306","YES","YES"
"0614307","YES","YES"
"0614308","NO","YES"
"0614309","YES","YES"
"0614310","YES","YES"
"0614311","YES","YES"
"0614312","YES","YES"
"0614313","YES","YES"
"0614314","YES","YES"
"0614315","YES","YES"
"0614316","YES","YES"
"0614317","YES","YES"
"0614318","YES","YES"
"0614319","YES","YES"
"0614320","YES","YES"
"0615321","NO","NO"
"0615322","NO","NO"
"0615323","NO","NO"
"0615324","YES","YES"
"0615325","YES","YES"
"0615326","YES","YES"
"0615327","YES","YES"
"0615328","YES","YES"
"0615329","YES","YES"
"0615330","YES","YES"
"0615331","YES","YES"
"0615332","YES","YES"
"0615333","YES","YES"
"0615334","NO","NO"
"0615335","NO","NO"
"0615336","NO","NO"
"0615337","NO","NO"
"0615338","NO","NO"
"0615339","NO","NO"
"0615340","NO","NO"
"0615341","NO","NO"
"0615342","NO","NO"
"0615343","NO","NO"
"0615344","NO","NO"
"0615345","NO","NO"
"0615346","YES","YES"
"0615347","YES","YES"
"0615348","YES","YES"
"0615349","YES","YES"
"0615350","NO","NO"
"0615351","NO","NO"
"0615352","NO","NO"
"0615353","NO","NO"
"0615354","NO","NO"
"0615355","NO","NO"
"0615356","NO","NO"
"0615357","NO","NO"
"0616358","YES","YES"
"0616359","YES","YES"
"0616360","YES","YES"
"0616361","YES","YES"
"0616362","YES","YES"
"0616363","YES","YES"
"0616364","NO","NO"
"0616365","YES","YES"
"0616366","YES","YES"
"0616367","NO","NO"
"0616368","YES","YES"
"0616369","NO","NO"
"0616370","NO","NO"
"0617371","YES","YES"
"0617372","YES","YES"
"0617373","YES","YES"
"0617374","YES","YES"
"0617375","NO","NO"
"0617376","YES","YES"
"0617377","YES","YES"
"0617378","YES","YES"
"0617379","YES","YES"
"0617380","YES","YES"
"0617381","YES","YES"
"0617382","YES","YES"
"0617383","YES","YES"
"0617384","NO","NO"
"0617385","NO","NO"
"0617386","NO","NO"
"0617387","YES","YES"
"0617388","YES","YES"
"0617389","NO","NO"
"0618390","YES","YES"
"0618391","YES","YES"
"0618392","NO","NO"
"0618393","NO","NO"
"0619394","NO","NO"
"0619395","NO","NO"
"0619396","NO","NO"
"0619397","NO","NO"
"0619398","NO","NO"
"0619399","YES","YES"
"0619400","NO","NO"
"0619401","NO","NO"
"0619402","NO","NO"
"0619403","NO","NO"
"0619404","NO","NO"
"0619405","NO","NO"
"0620406","NO","NO"
"0620407","NO","NO"
"0620408","NO","NO"
"0620409","NO","NO"
"0620410","NO","NO"
"0620411","NO","NO"
"0620412","NO","NO"
"0620413","NO","NO"
"0620414","NO","NO"
"0620415","YES","YES"
"0620416","YES","YES"
"0620417","YES","YES"
"0620418","YES","YES"
"0620419","YES","YES"
"0620420","YES","YES"
"0621421","NO","NO"
"0621422","NO","NO"
"0621423","NO","NO"
"0621424","NO","NO"
"0621425","NO","NO"
"0621426","YES","YES"
"0621427","YES","YES"
"0621428","YES","YES"
"0621429","NO","NO"
"0621430","YES","YES"
"0621431","YES","YES"
"0621432","NO","NO"
"0621433","NO","NO"
"0621434","NO","NO"
"0621435","NO","NO"
"0621436","NO","NO"
"0621437","NO","NO"
"0621438","NO","NO"
"0621439","NO","NO"
"0621440","NO","NO"
"0621441","NO","NO"
"0621442","NO","NO"
"0621443","NO","NO"
"0621444","NO","NO"
"0621445","NO","NO"
"0622446","YES","YES"
"0622447","YES","YES"
"0622448","YES","YES"
"0622449","YES","YES"
"0622450","YES","YES"
"0622451","YES","YES"
"0622452","YES","YES"
"0622453","YES","YES"
"0622454","YES","YES"
"0622455","YES","YES"
"0622456","YES","YES"
"0622457","YES","YES"
"0623334","NO","NO"
"0623337","YES","YES"
"0623338","YES","YES"
"0623340","NO","NO"
"0623341","YES","YES"
"0623342","YES","YES"
"0623343","YES","YES"
"0623344","YES","YES"
"0623345","YES","YES"
"0623350","YES","YES"
"0623351","YES","YES"
"0623352","NO","NO"
"0623353","YES","YES"
"0623354","NO","NO"
"0623355","YES","YES"
"0623356","NO","NO"
"0701001","YES","YES"
"0701002","YES","YES"
"0701003","YES","YES"
"0701004","YES","YES"
"0701005","YES","YES"
"0701006","YES","YES"
"0701007","YES","YES"
"0701008","YES","YES"
"0701009","YES","YES"
"0701010","YES","YES"
"0701011","YES","YES"
"0701012","YES","YES"
"0701013","YES","YES"
"0701014","YES","YES"
"0701015","YES","YES"
"0701016","YES","YES"
"0701017","YES","YES"
"0701018","YES","YES"
"0701019","YES","YES"
"0701020","YES","YES"
"0701021","YES","YES"
"0701022","YES","YES"
"0701023","YES","YES"
"0701024","YES","YES"
"0701025","YES","YES"
"0701124","YES","YES"
"0702026","YES","YES"
"0702027","YES","YES"
"0702028","YES","YES"
"0702029","YES","YES"
"0702030","YES","YES"
"0702031","YES","YES"
"0702032","YES","YES"
"0702033","YES","YES"
"0702034","YES","YES"
"0702035","YES","YES"
"0702036","YES","YES"
"0702037","YES","YES"
"0702038","YES","YES"
"0702039","YES","YES"
"0702040","YES","YES"
"0702041","YES","YES"
"0702042","YES","YES"
"0702043","YES","YES"
"0702044","YES","YES"
"0702045","YES","YES"
"0702046","YES","YES"
"0703047","NO","NO"
"0703048","NO","NO"
"0703049","NO","NO"
"0703050","NO","NO"
"0703051","YES","YES"
"0703052","YES","YES"
"0703053","NO","NO"
"0703054","YES","YES"
"0703055","NO","NO"
"0703056","YES","YES"
"0703057","YES","YES"
"0703058","YES","YES"
"0703059","NO","NO"
"0703060","YES","YES"
"0703061","NO","NO"
"0703062","NO","NO"
"0703063","NO","NO"
"0703064","NO","NO"
"0703065","YES","YES"
"0703066","NO","NO"
"0703067","NO","NO"
"0703068","NO","NO"
"0703069","NO","NO"
"0704070","NO","NO"
"0704071","NO","NO"
"0704072","YES","YES"
"0704073","NO","NO"
"0704074","NO","NO"
"0704075","YES","YES"
"0704076","YES","YES"
"0704077","NO","NO"
"0704078","NO","NO"
"0704079","NO","NO"
"0704080","NO","NO"
"0704081","NO","NO"
"0704082","NO","NO"
"0704083","NO","NO"
"0704084","NO","NO"
"0704085","NO","NO"
"0704086","NO","NO"
"0704087","NO","NO"
"0704088","NO","NO"
"0704089","NO","NO"
"0704090","NO","NO"
"0704091","YES","YES"
"0704092","YES","YES"
"0704093","NO","NO"
"0704094","NO","NO"
"0704095","NO","NO"
"0704096","NO","NO"
"0704097","NO","NO"
"0704098","NO","NO"
"0704099","NO","NO"
"0704100","NO","NO"
"0704101","YES","YES"
"0704102","YES","YES"
"0705103","YES","YES"
"0705104","YES","YES"
"0705105","YES","YES"
"0705106","YES","YES"
"0705107","NO","NO"
"0705108","YES","YES"
"0705109","NO","NO"
"0705110","NO","NO"
"0705111","NO","NO"
"0705112","NO","NO"
"0705113","NO","NO"
"0705114","NO","NO"
"0705115","NO","NO"
"0705116","NO","NO"
"0705117","NO","NO"
"0705118","NO","NO"
"0705119","NO","NO"
"0705120","NO","NO"
"0706121","YES","YES"
"0706122","NO","NO"
"0706123","NO","NO"
"0801001","YES","YES"
"0801002","YES","YES"
"0801003","YES","YES"
"0801004","YES","YES"
"0801005","YES","YES"
"0801006","YES","YES"
"0801007","YES","YES"
"0801008","YES","YES"
"0801009","YES","YES"
"0801010","YES","YES"
"0801011","YES","YES"
"0801018","YES","YES"
"0802012","YES","YES"
"0802013","YES","YES"
"0802014","YES","YES"
"0802015","YES","YES"
"0802016","YES","YES"
"0802017","YES","YES"
"0802018","NO","NO"
"0802019","YES","YES"
"0802020","YES","YES"
"0803021","YES","YES"
"0803022","YES","YES"
"0803023","YES","YES"
"0803024","YES","YES"
"0803025","YES","YES"
"0803026","YES","YES"
"0803027","YES","YES"
"0803028","YES","YES"
"0803029","YES","YES"
"0803030","YES","YES"
"0803031","YES","YES"
"0803032","YES","YES"
"0803033","YES","YES"
"0804034","YES","YES"
"0804035","YES","YES"
"0804036","YES","YES"
"0804037","YES","YES"
"0804038","YES","YES"
"0804039","YES","YES"
"0804040","YES","YES"
"0804041","YES","YES"
"0804042","YES","YES"
"0804043","YES","YES"
"0804044","YES","YES"
"0804045","YES","YES"
"0804046","YES","YES"
"0804047","YES","YES"
"0804048","YES","YES"
"0804049","YES","YES"
"0804050","YES","YES"
"0805051","YES","YES"
"0805052","YES","YES"
"0805053","YES","YES"
"0805054","YES","YES"
"0805055","YES","YES"
"0805056","YES","YES"
"0805057","YES","YES"
"0805058","YES","YES"
"0805059","YES","YES"
"0805060","YES","YES"
"0805061","YES","YES"
"0806062","YES","YES"
"0806063","YES","YES"
"0806064","YES","YES"
"0806065","YES","YES"
"0806066","YES","YES"
"0806067","YES","YES"
"0807068","YES","YES"
"0807069","YES","YES"
"0807070","YES","YES"
"0807071","YES","YES"
"0807072","YES","YES"
"0807073","YES","YES"
"0807074","YES","YES"
"0807075","YES","YES"
"0807076","YES","YES"
"0807077","YES","YES"
"0807078","YES","YES"
"0807079","YES","YES"
"0807080","YES","YES"
"0807081","YES","YES"
"0807082","YES","YES"
"0807083","YES","YES"
"0807084","NO","NO"
"0808085","YES","YES"
"0808086","YES","YES"
"0808087","YES","YES"
"0808088","YES","YES"
"0808089","YES","YES"
"0808090","YES","YES"
"0808091","YES","YES"
"0808092","YES","YES"
"0808093","YES","YES"
"0808094","YES","YES"
"0808095","YES","YES"
"0808096","YES","YES"
"0808097","YES","YES"
"0901001","NO","NO"
"0901002","YES","YES"
"0901003","YES","YES"
"0901004","YES","YES"
"0901005","YES","YES"
"0901006","YES","YES"
"0901007","YES","YES"
"0901008","YES","YES"
"0901009","YES","YES"
"0901010","YES","YES"
"0901011","YES","YES"
"0901012","YES","YES"
"0901013","YES","YES"
"0901014","YES","YES"
"0901015","YES","YES"
"0901016","YES","YES"
"0901017","NO","NO"
"0901018","YES","YES"
"0901019","NO","NO"
"0901020","NO","NO"
"0901021","NO","NO"
"0901022","YES","YES"
"0901023","YES","YES"
"0901024","NO","NO"
"0901025","YES","YES"
"0901026","NO","NO"
"0901027","NO","NO"
"0901028","NO","NO"
"0901029","NO","NO"
"0901030","NO","NO"
"0901031","NO","NO"
"0901032","NO","NO"
"0901033","NO","NO"
"0901034","NO","NO"
"0901035","NO","NO"
"0901036","NO","NO"
"0901037","NO","NO"
"0901038","NO","NO"
"0901039","NO","NO"
"0901040","NO","NO"
"0901041","NO","NO"
"0901042","NO","NO"
"0901043","NO","NO"
"0902044","NO","NO"
"0902045","NO","NO"
"0902046","NO","NO"
"0902047","NO","NO"
"0902048","NO","NO"
"0902049","NO","NO"
"0902050","NO","NO"
"0902051","NO","NO"
"0902052","NO","NO"
"0902053","NO","NO"
"0902054","NO","NO"
"0902055","NO","NO"
"0902056","NO","NO"
"0902057","NO","NO"
"0902058","NO","NO"
"0902059","NO","NO"
"0902060","NO","NO"
"0902061","NO","NO"
"0902062","NO","NO"
"0902063","NO","NO"
"0902064","NO","NO"
"0902065","NO","NO"
"0902066","NO","NO"
"0903067","YES","YES"
"0903068","NO","NO"
"0903069","YES","YES"
"0903070","YES","YES"
"0903071","YES","YES"
"0903072","YES","YES"
"0903073","YES","YES"
"0903074","YES","YES"
"0903075","YES","YES"
"0903076","YES","YES"
"0903077","YES","YES"
"0903078","YES","YES"
"0903079","YES","YES"
"0903080","YES","YES"
"0903081","NO","NO"
"0903082","NO","NO"
"0903083","NO","NO"
"0903084","NO","NO"
"0903085","NO","NO"
"0903086","NO","NO"
"0903087","NO","NO"
"0903088","YES","YES"
"0903089","NO","NO"
"0903090","YES","YES"
"0904091","YES","YES"
"0904092","YES","YES"
"0904093","YES","YES"
"0904094","YES","YES"
"0904095","YES","YES"
"0904096","YES","YES"
"0904097","YES","YES"
"0904098","YES","YES"
"0904099","YES","YES"
"0904100","NO","NO"
"0904101","YES","YES"
"0904102","YES","YES"
"0904103","YES","YES"
"0904104","YES","YES"
"0904105","YES","YES"
"0904106","YES","YES"
"0904107","NO","NO"
"0904108","NO","NO"
"0904109","NO","NO"
"0904110","NO","NO"
"0904111","NO","NO"
"0904112","NO","NO"
"0904113","YES","YES"
"0904114","YES","YES"
"0904115","YES","YES"
"0904116","NO","NO"
"0904117","YES","YES"
"0905118","YES","YES"
"0905119","YES","YES"
"0905120","YES","YES"
"0905121","YES","YES"
"0905122","YES","YES"
"0905123","YES","YES"
"0905124","YES","YES"
"0905125","YES","YES"
"0905126","YES","YES"
"0905127","YES","YES"
"0905128","YES","YES"
"0905129","YES","YES"
"0905130","NO","NO"
"0905131","NO","NO"
"0905132","YES","YES"
"0905133","YES","YES"
"0905134","NO","NO"
"0905135","YES","YES"
"0905136","YES","YES"
"0905137","YES","YES"
"0905138","YES","YES"
"0905139","YES","YES"
"0905140","YES","YES"
"0905141","YES","YES"
"0905142","YES","YES"
"0905143","YES","YES"
"0905144","YES","YES"
"0905145","YES","YES"
"0905146","NO","NO"
"0905147","NO","NO"
"0905148","NO","NO"
"0905149","NO","NO"
"0905150","NO","NO"
"0905151","NO","NO"
"0905152","NO","NO"
"0905153","NO","NO"
"0905154","NO","NO"
"0905155","NO","NO"
"0905156","NO","NO"
"0905157","YES","YES"
"0905158","YES","YES"
"0905159","YES","YES"
"0905160","NO","NO"
"0905161","NO","NO"
"0905162","NO","NO"
"0905163","NO","NO"
"0906164","YES","YES"
"0906165","YES","YES"
"0906166","YES","YES"
"0906167","YES","YES"
"0906168","YES","YES"
"0906169","YES","YES"
"0906170","YES","YES"
"0906171","YES","YES"
"0906172","YES","YES"
"0907173","YES","YES"
"0907174","YES","YES"
"0907175","YES","YES"
"0907176","YES","YES"
"0907177","YES","YES"
"0907178","YES","YES"
"0907179","YES","YES"
"0907180","YES","YES"
"0907181","YES","YES"
"0908182","YES","YES"
"0908183","YES","YES"
"0908184","YES","YES"
"0908185","YES","YES"
"0908186","YES","YES"
"0908187","YES","YES"
"0908188","YES","YES"
"0908189","YES","YES"
"0908190","YES","YES"
"0908191","YES","YES"
"0908192","YES","YES"
"0908193","YES","YES"
"0909194","YES","YES"
"0909195","YES","YES"
"0909196","YES","YES"
"0909197","YES","YES"
"0909198","YES","YES"
"0909199","YES","YES"
"0909200","YES","YES"
"0909201","YES","YES"
"0909202","YES","YES"
"0909203","YES","YES"
"0909204","YES","YES"
"0910205","YES","YES"
"0910206","YES","YES"
"0910207","NO","NO"
"0910208","YES","YES"
"0910209","YES","YES"
"0910210","YES","YES"
"0910211","YES","YES"
"0910212","NO","NO"
"0910213","NO","NO"
"0910214","NO","NO"
"0910215","NO","NO"
"0910216","NO","NO"
"0910217","NO","NO"
"0910218","NO","NO"
"0910219","NO","NO"
"0910220","NO","NO"
"0910221","NO","NO"
"0910222","NO","NO"
"0911223","NO","NO"
"0911224","NO","NO"
"0911225","YES","YES"
"0911226","YES","YES"
"0911227","NO","NO"
"0911228","NO","NO"
"0911229","NO","NO"
"0911230","NO","NO"
"0911231","NO","NO"
"0911232","NO","NO"
"0911233","NO","NO"
"0911234","YES","YES"
"0911235","NO","NO"
"0911236","NO","NO"
"0911237","NO","NO"
"0912238","YES","YES"
"0912239","YES","YES"
"0912240","YES","YES"
"0912241","YES","YES"
"0912242","YES","YES"
"0912243","YES","YES"
"0912244","YES","YES"
"0912245","YES","YES"
"0912246","YES","YES"
"0912247","YES","YES"
"0912248","YES","YES"
"0912249","YES","YES"
"0913250","YES","YES"
"0913251","YES","YES"
"0913252","YES","YES"
"0913253","YES","YES"
"0913254","YES","YES"
"0913255","YES","YES"
"0913256","YES","YES"
"0913257","NO","NO"
"0913258","YES","YES"
"0913259","YES","YES"
"0913260","YES","YES"
"0913261","YES","YES"
"0913262","YES","YES"
"0913263","YES","YES"
"0913264","YES","YES"
"0913265","YES","YES"
"0913266","NO","NO"
"0913267","YES","YES"
"0913268","YES","YES"
"0913269","YES","YES"
"0913270","YES","YES"
"0913271","NO","NO"
"0914272","YES","YES"
"0914273","YES","YES"
"0914274","YES","YES"
"0914275","YES","YES"
"0915276","YES","YES"
"0915277","YES","YES"
"0915278","YES","YES"
"0915279","YES","YES"
"0915280","YES","YES"
"0915281","YES","YES"
"0915282","YES","YES"
"0915283","YES","YES"
"0915284","YES","YES"
"1001001","YES","YES"
"1001002","YES","YES"
"1001003","YES","YES"
"1001004","YES","YES"
"1001005","YES","YES"
"1001006","YES","YES"
"1001007","YES","YES"
"1001008","YES","YES"
"1001009","YES","YES"
"1001010","YES","YES"
"1001011","YES","YES"
"1001012","YES","YES"
"1001013","YES","YES"
"1001014","YES","YES"
"1001015","YES","YES"
"1001016","YES","YES"
"1001017","YES","YES"
"1001018","YES","YES"
"1001019","YES","YES"
"1001020","YES","YES"
"1001021","YES","YES"
"1001022","YES","YES"
"1001023","YES","YES"
"1001024","YES","YES"
"1001025","YES","YES"
"1001026","YES","YES"
"1001027","YES","YES"
"1001028","YES","YES"
"1001029","YES","YES"
"1001030","YES","YES"
"1001031","YES","YES"
"1001032","YES","YES"
"1002033","YES","YES"
"1002034","YES","YES"
"1002035","YES","YES"
"1002036","YES","YES"
"1002037","YES","YES"
"1002038","YES","YES"
"1002039","YES","YES"
"1002040","YES","YES"
"1002041","YES","YES"
"1002042","YES","YES"
"1002043","YES","YES"
"1002044","YES","YES"
"1002045","YES","YES"
"1002046","NO","NO"
"1002047","YES","YES"
"1002048","YES","YES"
"1003049","YES","YES"
"1003050","YES","YES"
"1003051","YES","YES"
"1003052","YES","YES"
"1003053","YES","YES"
"1003054","YES","YES"
"1003055","YES","YES"
"1003056","YES","YES"
"1003057","YES","YES"
"1003058","YES","YES"
"1003059","YES","YES"
"1003060","YES","YES"
"1003061","YES","YES"
"1003062","YES","YES"
"1003063","YES","YES"
"1003064","YES","YES"
"1003065","YES","YES"
"1004066","YES","YES"
"1004067","YES","YES"
"1004068","YES","YES"
"1004069","YES","YES"
"1004070","YES","YES"
"1004071","YES","YES"
"1004072","YES","YES"
"1004073","YES","YES"
"1004074","YES","YES"
"1004075","YES","YES"
"1004076","YES","YES"
"1004077","YES","YES"
"1004078","YES","YES"
"1004079","YES","YES"
"1004080","YES","YES"
"1004081","YES","YES"
"1004082","YES","YES"
"1004083","YES","YES"
"1004084","YES","YES"
"1005085","YES","YES"
"1005086","YES","YES"
"1005087","YES","YES"
"1005088","YES","YES"
"1005089","YES","YES"
"1005090","YES","YES"
"1005091","YES","YES"
"1005092","YES","YES"
"1005093","YES","YES"
"1005094","YES","YES"
"1005095","YES","YES"
"1005096","YES","YES"
"1005097","YES","YES"
"1005098","YES","YES"
"1005099","YES","YES"
"1005100","YES","YES"
"1005101","YES","YES"
"1005102","YES","YES"
"1005103","YES","YES"
"1005104","YES","YES"
"1005105","YES","YES"
"1005106","YES","YES"
"1005107","YES","YES"
"1005108","YES","YES"
"1005109","YES","YES"
"1005110","YES","YES"
"1005111","YES","YES"
"1005112","YES","YES"
"1005113","YES","YES"
"1006114","YES","YES"
"1006115","YES","YES"
"1006116","YES","YES"
"1006117","YES","YES"
"1006118","YES","YES"
"1006119","YES","YES"
"1006120","YES","YES"
"1006121","YES","YES"
"1006122","YES","YES"
"1006123","YES","YES"
"1006124","YES","YES"
"1006125","YES","YES"
"1006126","YES","YES"
"1006127","YES","YES"
"1006128","YES","YES"
"1006129","YES","YES"
"1006130","YES","YES"
"1006131","YES","YES"
"1006132","YES","YES"
"1006133","YES","YES"
"1006134","YES","YES"
"1006135","YES","YES"
"1006136","YES","YES"
"1006137","YES","YES"
"1006138","YES","YES"
"1006139","YES","YES"
"1006140","YES","YES"
"1006141","YES","YES"
"1006142","YES","YES"
"1006143","YES","YES"
"1006144","YES","YES"
"1006145","YES","YES"
"1006146","YES","YES"
"1006147","YES","YES"
"1007148","YES","YES"
"1007149","YES","YES"
"1007150","YES","YES"
"1007151","YES","YES"
"1007152","YES","YES"
"1007153","YES","YES"
"1007154","YES","YES"
"1007155","YES","YES"
"1007156","YES","YES"
"1007157","YES","YES"
"1007158","YES","YES"
"1007159","YES","YES"
"1007160","YES","YES"
"1007161","YES","YES"
"1007162","YES","YES"
"1007163","YES","YES"
"1007164","YES","YES"
"1007165","YES","YES"
"1007166","YES","YES"
"1007167","YES","YES"
"1007168","YES","YES"
"1007169","YES","YES"
"1007170","YES","YES"
"1007171","YES","YES"
"1007172","YES","YES"
"1007173","YES","YES"
"1007174","YES","YES"
"1007175","YES","YES"
"1007176","YES","YES"
"1007177","YES","YES"
"1007178","YES","YES"
"1007179","YES","YES"
"1007180","YES","YES"
"1007181","YES","YES"
"1007182","YES","YES"
"1007183","YES","YES"
"1007184","YES","YES"
"1007185","YES","YES"
"1007186","YES","YES"
"1007187","YES","YES"
"1007188","YES","YES"
"1007189","YES","YES"
"1007190","YES","YES"
"1007191","YES","YES"
"1007192","YES","YES"
"1007193","YES","YES"
"1007194","YES","YES"
"1007195","YES","YES"
"1007196","YES","YES"
"1007197","YES","YES"
"1007198","YES","YES"
"1007199","YES","YES"
"1007200","YES","YES"
"1007201","YES","YES"
"1007202","YES","YES"
"1007203","YES","YES"
"1007204","YES","YES"
"1008205","YES","YES"
"1008206","YES","YES"
"1008207","YES","YES"
"1008208","YES","YES"
"1008209","YES","YES"
"1008210","YES","YES"
"1008211","YES","YES"
"1008212","YES","YES"
"1008213","YES","YES"
"1008214","YES","YES"
"1008215","YES","YES"
"1008216","YES","YES"
"1008217","YES","YES"
"1008218","YES","YES"
"1008219","YES","YES"
"1008220","YES","YES"
"1101001","NO","NO"
"1101002","NO","NO"
"1101003","NO","NO"
"1101004","NO","NO"
"1101005","NO","NO"
"1101006","NO","NO"
"1101007","NO","NO"
"1101008","NO","NO"
"1101009","NO","NO"
"1101010","NO","NO"
"1101011","NO","NO"
"1101012","NO","NO"
"1101013","NO","NO"
"1101014","NO","NO"
"1101015","NO","NO"
"1101016","NO","NO"
"1101017","NO","NO"
"1101018","NO","NO"
"1101019","NO","NO"
"1101020","NO","NO"
"1101021","NO","NO"
"1101022","NO","NO"
"1101023","NO","NO"
"1101024","NO","NO"
"1101025","NO","NO"
"1101026","NO","NO"
"1101027","NO","NO"
"1101028","NO","NO"
"1101029","NO","NO"
"1101030","NO","NO"
"1101031","NO","NO"
"1101032","NO","NO"
"1101033","NO","NO"
"1101034","NO","NO"
"1101035","NO","NO"
"1101036","NO","NO"
"1101037","NO","NO"
"1101038","NO","NO"
"1101039","NO","NO"
"1101040","NO","NO"
"1101041","NO","NO"
"1101042","NO","NO"
"1101043","NO","NO"
"1101044","NO","NO"
"1101045","NO","NO"
"1101046","NO","NO"
"1101047","NO","NO"
"1101048","NO","NO"
"1101049","NO","NO"
"1101050","NO","NO"
"1101051","NO","NO"
"1101052","NO","NO"
"1101053","NO","NO"
"1101054","NO","NO"
"1101055","NO","NO"
"1102056","NO","NO"
"1102057","NO","NO"
"1102058","NO","NO"
"1102059","NO","NO"
"1102060","NO","NO"
"1102061","NO","NO"
"1102062","NO","NO"
