"province_code","province_name_CSO_421","district_code","district_name_CSO_421","district_name_CSO_OCHA_414","district_name_USFOR_407","district_name_farsi_CSO_421","district_name_pashto_CSO","pop_18_19_421_CSO","pop_18_19_419_CSO","pop_18_19_407_CSO","pop_18_19_399_CSO","pop_16_17_414_CSO-OCHA","pop_16_17_407_CSO-OCHA","pop_16_17_399_CSO-OCHA","pop_Jan_18_407_USFOR","pop_Jan_18_399_USFOR-AGCHO","pop_17_399_iMMAP-AGCHO"
"10","BAMIYAN","1004","Kahmard","Kahmard","Kahmard","کهمرد","د کهمرد ","39648","39648","39648","39648","37689","37689","37689","44000","44000","57700"
"10","BAMIYAN","1005","Yakawlang","Yakawlang","Yakawlang","یکاولنگ","د يکاولنگ ","66468","66468","95467","95467","63181","90747","90747","110000","110000","103000"
"10","BAMIYAN","1006","Panjab","Panjab","Panjab","پنجاب","د پنجاب ","74423","74423","74423","74423","70744","70744","70744","84000","84000","60300"
"10","BAMIYAN","1007","Waras","Waras","Waras","ورس","د ورس ","119075","119075","119075","119075","113190","113190","113190","134000","134000","110000"
"10","BAMIYAN","1008","Yakawlang No. 2","Yakawlang No 2",NA,"یکاولنگ ۲","د يکاولنگ  ۲","28999","28999",NA,NA,"27566",NA,NA,NA,NA,NA
"11","GHAZNI","1101","Ghazni","Ghazni Center(Ghazni)","Ghazni","غزنی","غزنی","179459","179459","179459","179459","169929","169929","169929","199000","199000","238000"
"11","GHAZNI","1102","Wali Muhammad Shahid","Wali M. Shahid (khugyani)","Wali Muhammad Shahid Khugyani","ولی محمدشهید","د ولی محمد شهيد (خوگيانی) ","21942","21942","21942","21942","20857","20857","20857","22000","22000","17800"
"11","GHAZNI","1103","Khwaja Omari","Khwaja Omari","Khwajah Omari","خواجه عمری","د خواجه عمری ","20659","20659","20659","20659","19637","19637","19637","23000","23000","22400"
"11","GHAZNI","1104","Waghaz","Waghaz","Waghaz","واغظ","د واغظ ","42087","42087","42087","42087","40006","40006","40006","46000","46000","40400"
"11","GHAZNI","1105","Deh Yak","Deh Yak","Deh Yak","ده یک","د ده يک ","53380","53380","53380","53380","50740","50740","50740","60000","60000","69300"
"11","GHAZNI","1106","Jaghatu","Jaghatu","Bahram-e Shahid (Jaghatu)","جغتو","د جغتو ","34645","34645","34645","34645","32932","32932","32932","44000","44000","32600"
"11","GHAZNI","1107","Andar","Andar","Andar","اندر","د اندړ ","136141","136141","136141","136141","129412","129412","129412","153000","153000","126000"
"11","GHAZNI","1108","Zanakhan","Zanakhan","Zanakhan","زنخان","د زنخان ","13729","13729","13729","13729","13051","13051","13051","15000","15000","18300"
"11","GHAZNI","1109","Rashidan","Rashidan","Rashidan","رشیدان","د رشيدان ","19632","19632","19632","19632","18662","18662","18662","22000","22000","32700"
"11","GHAZNI","1110","Nawur","Nawur","Nawur","ناور","د ناور ","103293","103293","103293","103293","98187","98187","98187","166000","166000","108000"
"11","GHAZNI","1111","Qara Bagh","Qara Bagh","Qarah Bagh","قره باغ","د قره باغ ","155902","155902","155902","155902","148195","148195","148195","181000","181000","134000"
"11","GHAZNI","1112","Giro","Giro","Giro","گیرو","د گيرو ","39905","39905","39905","39905","37933","37933","37933","45000","45000","46600"
"11","GHAZNI","1113","Ab Band","Ab Band","Ab Band","آب بند","د اب بند ","30026","30026","30026","30026","28542","28542","28542","34000","34000","49000"
"11","GHAZNI","1114","Jaghuri","Jaghuri","Jaghuri","جاغوری","د جاغوری ","192728","192728","192728","192728","183201","183201","183201","209000","209000","233000"
