2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2010_IEC_district_code_matched_to_2012_AGCHO_district_code,2010_IEC_district_code_matched_to_2018_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2012_AGCHO_district_code_matched_to_2018_IEC_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
10,10,32,SAIGHAN,3203,1002,1003,Sayghan,1002,1003,Sayghan,1003,سیغان,سيغان,,"Saighan, Sayghan."
10,10,32,KOHMARD,3204,1006,1004,Kahmard,1006,1004,Kahmard,1004,کهمرد,کهمر,,"Kahmard, Kohmard."
10,10,32,YAKAWULANG,3205,1003,1005,Yakawlang,1003,1005,Yakawlang,1005,یکاولنگ,يکاولنگ,,"Yakawlang, Yakawlang No. 1, Yakawlang Hesa-i Awal, Yakawland Hise Awal.  (The 399 and 407 sets show Yakawlang No. 2 as part of Yakawlang.)"
10,10,32,PANJAB,3206,1004,1006,Panjab,1004,1006,Panjab,1006,پنجاب,پنجاب,,Panjab.
10,10,32,WARAS,3207,1007,1007,Waras,1007,1007,Waras,1007,ورس,ورس,,Waras.
10,10,32,NA,NA,NA,1005,NA,NA,1005,Yakawlang No. 2,1008,یکاولنگ ۲,يکاولنگ  ۲,یکاولنگ نمبر 2,"Yakawlang No. 2, Yakawlang Hesa-i-Doyem.  (The 399 and 407 sets show Yakawlang No. 2 as part of Yakawlang.  It is a temporary district in the 422 set.)"
24,22,34,DAIKONDI,3401,2201,2401,Nili,2201,2401,Neli,2401,نیلی,نیلی,,"Nili, Layli."
24,22,34,SHAHRESTAN,3402,2206,2402,Shahrestan,2206,2402,Shahristan,2402,شهرستان,شهرستان,,"Shahristan, Shahrestan."
24,22,34,MERAMOR,3403,2209,2406,Miramor,2209,2406,Meramor,2406,میرامور,ميرامور,,"Miramor, Mir Amor."
24,22,34,ISHTRALI,3404,2202,2403,Ashtarlay,2202,2403,Ashtarlay,2403,اشترلی,اشترلی,,"Ishterlai, Ashtarlay, Ishterli."
24,22,34,SANG-E-TAKHTBANDER,3405,2207,2407,Sang-e-Takht,2207,2407,Sang-e-Takht,2407,سنگ تخت,سنگ تخت,,"Sang-e-Takht, Sangi Takht, Sang-e-Takht Bandar, Bandar."
24,22,34,KHADEU,3406,2203,2404,Khadir,2203,2404,Khader,2404,خدیر,خدير,,"Khedir, Khadir."
24,22,34,KIJRAN,3407,2208,2408,Kajran,2208,2408,Kajran,2408,کجران,کجران,,"Kejran, Kajran, Kajaran."
24,22,34,KITEE,3408,2204,2405,Kiti,2204,2405,Keti,2405,گیتی,گيتی,,"Giti, Kiti, Gayti."
