candidate_code,candidate_name_dari,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
1-1170-95,برید جنرال ارکان حرب غالم فاروق نعیمی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1848-195,بشیر احمد بیژن,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1667-17,بشیراحمد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1539-169,بکتاش سیاووش,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1588-3,بی بی حاجی پروین درانی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1317-101,بی بی کبرا مصطفوی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1676-166,بی بی نور دروازی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1351-1158,پروانه زمانی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1471-1085,پروین ظفر احدی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1634-8,پریزا رحمانی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1576-133,پشتونمل احمدزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1473-108,پشتونیار عسکرزاده,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1383-171,پښتنه عربزۍ,مستقل / خپلواک,F,1,Kabul,,Independent,
1-2009-1107,پوهاند محمد داود راوش,حزب ملی ترقی مردم افغانستان,M,1,Kabul,,,
1-1882-1077,تفسیر سیاه پوش,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1768-205,تمنا زریاب پریانی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1693-3045,تورپیکی پتمن,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1426-218,تورنجنرال سید امان,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1560-1014,توریالی شوفه یی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1066-102,توفیق وحدت,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1643-83,تیمور شاه ایوبزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1774-142,تیمورشاه بشار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1888-175,تیمورشاه شاهی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1377-119,ثارنوال عبدالجلیل مدافع,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1817-131,ثناء هللا مخلص,مستقل / خپلواک,M,1,Kabul,,Independent,
